,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
0,59.0,2022-02-27,12:28:58.00,1.0,1.0,"Reiter, Tyler",1000121384.0,Right,RED_UNI,"Bedrosian, David",1000115604.0,Left,POM_COL,Undefined,9.0,Bottom,0.0,0.0,0.0,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0.0,0.0,,83.98417,-1.39512,-1.719823,1874.678195,214.569384,1:15,5.85044,1.457,5.41939,-22.5471,18.90615,11.86843,2.66383,0.83456,74.79233,-5.678212,0.391387,0.463394,101.43013,15.873246,6.299849,1640.945827,109.43387,25.73114,11.13906,313.89413,,7.41833,2.904571,-6.60461,10.47942,-1.31293,50.0,5.71167,3.14077,-121.48245,-3.64267,-9.58978,30.0911,-16.95813,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,e4613200-980b-11ec-a5e6-45aab00a6108,81.3399,29.62815,,9.19184,,,,2.12453,2.77175,-0.81538,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:28:58.00,2022-02-27T12:28:58.0049702-08:00,2022-02-27T20:28:58.0049702Z,LineDrive,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383.0,Right,RED_UNI,05af2504-121d-4503-87cf-a677e9008a94,55.07505,-122.7331,15.04555,5.84842,-2.93786,-8.47907,-1.45175,3.53934,-4.79489,173.751112,2.12465,142.22086,-19.07602,3.65126,-0.53808,-0.02965,0.04516,-0.01258,0.00134,2.77165,40.69372,-16.5718,1.09212,-0.30316,0.15816,-0.06107,0.01419,-0.0014,-0.81524,15.69417,-2.60025,1.35796,-0.26188,-0.01018,0.0162,-0.00324,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
1,238.0,2022-01-22,14:10:12.99,3.0,6.0,"Williams, Joe",1000115635.0,Right,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,7.0,Top,1.0,3.0,2.0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0.0,1.0,,88.18014,-0.586202,-3.158724,2186.0637,230.782546,1:45,5.42087,2.4141,6.18297,-25.30222,10.25422,11.19501,2.77021,0.42731,80.67683,-5.33088,-1.141577,0.429171,96.18529,12.854826,-14.646492,2032.458801,104.09666,19.19084,-35.55092,248.72582,,-23.889865,2.344586,-6.6965,5.80697,-2.18116,50.0,5.36368,6.62154,-128.01911,-2.10086,-11.11492,26.38857,-22.53558,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,125f9230-7bd0-11ec-a125-75b61e234a41,87.82609,19.81106,,7.50331,,,,1.29489,2.76172,-0.4368,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,22:10:12.99,2022-01-22T14:10:12.9954958-08:00,2022-01-22T22:10:12.9954958Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,dbee1b12-b49d-4813-a6d3-fc93843b5532,54.31623,-128.90574,13.19429,5.42155,-1.34368,-11.26779,-2.40991,6.99499,-5.55746,116.803179,1.29489,133.06564,-23.44842,4.85728,-0.77997,0.00785,0.04357,-0.01291,0.00135,2.76174,31.38642,-14.88003,0.46944,-0.19587,0.20191,-0.09685,0.02373,-0.00235,-0.43682,-34.77759,-7.22546,2.62631,-0.40763,-0.14807,0.11374,-0.03021,0.00306,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,80.0,2022-01-22,12:41:53.15,3.0,4.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,3.0,Top,1.0,1.0,2.0,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1.0,0.0,,88.41636,-1.229002,2.215565,1916.1922,138.575675,10:30,5.13769,-1.10926,5.83698,-21.30639,14.70032,-11.90953,2.21885,-0.04147,80.43526,-5.242707,0.081193,0.43188,89.9241,-19.44078,15.30762,,,,,8.25786,,12.26928,0.05128,6.76784,8.23524,0.93582,50.0,5.02504,-4.46614,-128.28938,-3.42395,11.21462,27.95488,-18.52783,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,bb6c0320-7bc3-11ec-a125-75b61e234a41,87.27522,2.25529,,7.9811,,,,1.90624,2.25529,0.06796,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:41:53.15,2022-01-22T12:41:53.1579534-08:00,2022-01-22T20:41:53.1579534Z,GroundBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,e15d2cfe-42a1-46e2-86f2-9634b5c70f24,54.66138,-129.30113,13.97744,5.13682,-2.75339,-9.26392,1.1048,-4.87202,5.60731,180.0,1.90436,120.18418,,,,,,,,2.25597,-43.98001,,,,,,,,0.06744,32.89585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,21.0,2022-01-22,12:12:01.65,5.0,5.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,1.0,Top,1.0,1.0,2.0,Curveball,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,1.0,1.0,,71.81257,3.334929,0.65745,1945.111095,320.482478,4:45,4.94798,-1.21658,5.73508,-63.4694,-8.23792,8.36107,2.76811,0.09242,65.22709,-8.314102,2.153899,0.53489,88.07219,5.202793,5.632781,1326.877279,,,,85.71477,,6.037148,0.7072,-4.07225,-4.79965,1.15646,50.0,5.18666,-1.48282,-104.10262,4.16974,-4.40698,19.73403,-37.36822,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,8fa92640-7bbf-11ec-a125-75b61e234a41,70.46759,4.36846,,6.58549,,,,2.07663,2.9215,-0.06004,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:12:01.65,2022-01-22T12:12:01.6530000-08:00,2022-01-22T20:12:01.6530000Z,GroundBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,5baff617-4b25-4c39-b74b-220e5d794b2a,54.76596,-105.00219,9.86701,4.95776,5.87315,-18.68411,1.21948,-1.28193,-2.20349,343.344478,2.10088,127.55475,-14.17763,,,,,,,2.96343,10.91092,-21.43151,,,,,,,-0.0643,12.70856,0.19115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,17.0,2022-01-22,12:10:10.50,5.0,1.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,1.0,Top,1.0,0.0,0.0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0.0,0.0,,87.58753,-1.961937,1.766037,2026.244742,162.074806,11:30,5.32474,-0.95558,5.8034,-15.9708,21.18324,-6.40622,2.16762,0.15354,78.80772,-5.047936,0.618813,0.438707,,,,,,,,,,,,3.8089,11.7952,0.81428,50.0,5.15417,-3.63272,-126.86523,-4.76362,6.1087,29.81227,-13.25693,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,4d633500-7bbf-11ec-a125-75b61e234a41,85.91712,,,8.77981,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:10:10.50,2022-01-22T12:10:10.5080000-08:00,2022-01-22T20:10:10.5080000Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,e11d008a-5032-4557-b0aa-d90e67972255,54.69029,-127.96266,14.90614,5.32054,-4.27561,-6.62846,0.95215,-3.85759,3.05435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,18.0,2022-01-22,12:10:31.10,5.0,2.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,1.0,Top,1.0,0.0,1.0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,88.65366,-3.195505,4.58782,2196.701036,164.618694,11:30,5.22135,-0.86379,6.12419,-13.85268,22.22926,-5.74103,1.10039,2.90796,79.7658,-5.902932,3.55869,0.432331,,,,,,,,,,,,4.45075,12.88847,0.51501,50.0,4.96863,-10.03449,-128.02966,-7.48539,7.26464,30.5322,-11.13713,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,59a0e790-7bbf-11ec-a125-75b61e234a41,87.18423,,,8.88786,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:10:31.10,2022-01-22T12:10:31.1070000-08:00,2022-01-22T20:10:31.1070000Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,1b304f22-78e1-47a0-92d8-9cdfc491be36,54.37086,-129.0678,15.2661,5.21671,-7.10672,-5.56856,0.8604,-10.2815,3.63232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,20.0,2022-01-22,12:11:35.39,5.0,4.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,1.0,Top,1.0,1.0,2.0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0.0,0.0,,88.98375,-1.059218,1.654972,2127.207261,141.646359,10:45,5.41671,-0.94835,6.01025,-18.72863,16.22576,-12.00091,2.8742,-0.41482,81.67429,-4.601083,-0.503386,0.425522,,,,,,,,,,,,6.63902,8.96414,0.82509,50.0,5.32326,-3.2468,-129.3209,-2.95255,11.29099,25.89001,-16.9287,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,7ff27990-7bbf-11ec-a125-75b61e234a41,88.57922,,,7.30946,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:11:35.39,2022-01-22T12:11:35.3950000-08:00,2022-01-22T20:11:35.3950000Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,8fd6d769-fa29-4bf5-9f4c-bfbb28107295,54.48912,-130.21652,12.945,5.41527,-2.36693,-8.46435,0.94416,-3.6374,5.6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,77.0,2022-01-22,12:40:52.77,3.0,1.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,3.0,Top,1.0,0.0,0.0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0.0,0.0,,85.15228,-1.52058,3.02053,1918.757679,142.705257,10:45,5.22109,-1.0804,6.02584,-21.88667,16.52064,-11.64241,1.98664,0.74942,77.86749,-5.651057,0.928779,0.446045,,,,,,,,,,,,6.81052,9.29241,0.85013,50.0,5.09004,-6.05361,-123.53349,-3.91674,10.52506,24.58868,-17.81343,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,977502f0-7bc3-11ec-a125-75b61e234a41,84.50371,,,7.28479,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:40:52.77,2022-01-22T12:40:52.7740046-08:00,2022-01-22T20:40:52.7740046Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,364a47e0-2584-4f7f-91b7-d2b570ffe062,54.47163,-124.42036,12.29434,5.21972,-3.27424,-8.90671,1.07532,-6.43323,5.26253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,78.0,2022-01-22,12:41:11.34,3.0,2.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,3.0,Top,1.0,0.0,1.0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0.0,0.0,,75.80357,-0.224989,2.392687,1346.148174,110.480192,9:45,4.82306,-1.11991,6.35945,-41.74672,5.78087,-11.67379,1.13693,0.11059,70.04173,-7.981656,0.277832,0.496186,,,,,,,,,,,,6.73626,3.50732,0.95188,50.0,4.78726,-4.21794,-110.2052,-1.57739,8.32064,18.78383,-27.84181,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,a2886650-7bc3-11ec-a125-75b61e234a41,75.9644,,,5.76185,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:41:11.34,2022-01-22T12:41:11.3451150-08:00,2022-01-22T20:41:11.3451150Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,c0c355c5-b87b-4237-94ee-fb0740a88e4f,54.14035,-110.90866,9.39191,4.82681,-0.53471,-13.92091,1.11568,-4.52955,4.16032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,79.0,2022-01-22,12:41:29.81,3.0,3.0,"Hilton, Jake",1000115590.0,Left,POM_COL1,"Bedrosian, David",1000115604.0,Left,POM_COL1,Undefined,3.0,Top,1.0,1.0,1.0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0.0,0.0,,87.59013,-1.348915,2.985368,1989.008127,138.559144,10:30,5.19652,-1.04869,5.81491,-20.6734,15.80312,-12.94792,2.21755,0.65068,80.26159,-5.233859,0.668092,0.434688,,,,,,,,,,,,7.40678,8.77611,0.81177,50.0,5.07364,-6.08615,-127.09412,-3.63832,12.15374,25.26554,-17.77334,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,ad82c370-7bc3-11ec-a125-75b61e234a41,86.71139,,,7.32854,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:41:29.81,2022-01-22T12:41:29.8199694-08:00,2022-01-22T20:41:29.8199694Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650.0,Right,POM_COL1,982283d7-b2a8-44b2-9340-02fe84473ed7,54.68348,-128.02179,12.63277,5.19524,-2.98575,-8.88667,1.04342,-6.53239,6.07687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
