,Date,Pitcher,RelSpeed,SpinRate,Tilt,InducedVertBreak,HorzBreak,VertBreak,RelHeight,RelSide,VertApprAngle,HorzApprAngle,Inning,ZoneSpeed,ZoneTime,EffectiveVelo,SpeedDrop,Extension,PitcherThrows,Batter,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,VertRelAngle,HorzRelAngle,PlateLocHeight,PlateLocSide,HitSpinAxis,HangTime,Bearing,Distance,HitSpinRate,Direction,Angle,ExitSpeed
0,2023-02-03,"Hilton, Jake",88.73569,2190.979131,11:00,18.20155,-9.76162,-17.55847,5.25165,-1.09559,-5.481066,0.797849,1,80.81878,0.430398,87.57579,7.91691,5.83243,Left,"Doughty, Jacob",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-2.145807,2.546036,1.79095,0.45912,,,,,,,,
1,2023-02-03,"Hilton, Jake",89.08526,2409.825446,11:45,18.98391,-3.1011,-16.4069,5.176,-0.98946,-4.455414,1.73569,1,81.32634,0.42817,88.0314,7.75892,5.79157,Left,"Doughty, Jacob",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-1.332006,2.290501,2.56845,0.88398,,,,,,,,
2,2023-02-03,"Hilton, Jake",89.38612,2446.598691,11:15,17.66623,-5.84319,-17.62773,5.19447,-1.12671,-4.424234,2.121887,1,81.62108,0.427584,88.15213,7.76504,5.69885,Left,"Doughty, Jacob",Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,-1.0897,3.164287,2.70837,1.33804,,,,,,,,
3,2023-02-03,"Hilton, Jake",89.18275,2360.805178,11:30,19.01351,-5.49382,-16.59115,5.21578,-1.10842,-3.917766,0.656469,1,80.99327,0.429462,87.76662,8.18948,5.66841,Left,"Morrison, Aidan",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-0.752848,1.63778,3.1309,-0.03877,,,,,,,,
4,2023-02-03,"Hilton, Jake",89.02457,2436.409081,11:15,20.80792,-7.25559,-14.70706,5.21839,-1.05918,-4.395734,0.058943,1,80.80518,0.428921,87.87738,8.21939,5.8627,Left,"Morrison, Aidan",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-1.55841,1.360051,2.54428,-0.40009,,,,,,,,
5,2023-02-03,"Hilton, Jake",89.8068,2332.419997,11:00,17.89249,-8.62548,-17.46139,5.16745,-1.2387,-5.238889,-0.867006,1,81.77431,0.427947,88.07735,8.0325,5.46546,Left,"Morrison, Aidan",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,-1.944474,0.669153,1.89161,-1.33117,,,,,,,,
6,2023-02-03,"Hilton, Jake",90.13924,2397.265997,11:30,19.11253,-6.02847,-15.80143,5.18037,-1.09954,-5.173584,1.738144,1,82.03419,0.425276,88.63053,8.10505,5.65904,Left,"Morrison, Aidan",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,-2.165681,2.813476,1.84056,1.02393,,,,,,,,
7,2023-02-03,"Hilton, Jake",75.44731,1524.22512,10:30,12.15209,-10.22182,-35.97896,5.06054,-1.21548,-6.953765,-0.602643,1,69.72342,0.499326,75.48664,5.72389,6.20489,Left,"Morrison, Aidan",ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,-0.249011,1.243928,1.8324,-0.91893,,,,,,,,
8,2023-02-03,"Hilton, Jake",87.88789,2280.212104,11:00,19.36139,-9.22729,-16.96863,5.13032,-1.05819,-5.49855,0.558796,1,80.13212,0.433815,86.88604,7.75577,5.8898,Left,"Warner, Dawson",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,-2.26479,2.21356,1.61068,0.22925,,,,,,,,
9,2023-02-03,"Hilton, Jake",76.24265,1554.106505,10:00,8.14532,-13.00662,-39.14412,5.02023,-1.20788,-8.652027,-1.174933,1,70.91997,0.494941,76.15544,5.32267,6.05209,Left,"Warner, Dawson",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,-1.440724,1.170985,0.42399,-1.20763,,,,,,,,
