PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-03,14:02:50.07,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Doughty, Jacob",1000120113,Left,WHI_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.73569,-2.145807,2.546036,2190.979131,150.14595,11:00,5.25165,-1.09559,5.83243,-17.55847,18.20155,-9.76162,1.79095,0.45912,80.81878,-5.481066,0.797849,0.430398,,,,,,,,,,,,5.70559,10.26343,0.89345,50,5.06604,-5.30315,-128.65038,-5.33937,9.52753,27.59521,-15.03551,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,804004d0-a40e-11ed-99d5-3bdcbe5d7b05,87.57579,,,7.91691,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:02:50.07,2023-02-03T14:02:50.0701774-08:00,2023-02-03T22:02:50.0701774Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,901e498b-180e-41dc-9a55-6ea28b8a5315,54.66549,-129.64725,13.79761,5.24911,-4.79622,-7.51775,1.09124,-5.64733,4.76377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-03,14:03:05.53,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Doughty, Jacob",1000120113,Left,WHI_PIR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.08526,-1.332006,2.290501,2409.825446,170.14419,11:45,5.176,-0.98946,5.79157,-16.4069,18.98391,-3.1011,2.56845,0.88398,81.32634,-4.455414,1.73569,0.42817,,,,,,,,,,,,2.20866,10.37276,0.80266,50,5.05641,-5.0347,-129.2465,-3.47987,3.73555,26.96509,-14.6303,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,8971d6f0-a40e-11ed-99d5-3bdcbe5d7b05,88.0314,,,7.75892,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:03:05.53,2023-02-03T14:03:05.5394382-08:00,2023-02-03T22:03:05.5394382Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,466fcee9-ee6f-4e07-8627-fc67f61a1c5f,54.70556,-130.22454,13.48254,5.173,-2.94923,-7.31515,0.98772,-5.17019,1.86777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-03,14:03:24.51,1,3,"Hilton, Jake",1000115590,Left,POM_COL,"Doughty, Jacob",1000120113,Left,WHI_PIR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.38612,-1.0897,3.164287,2446.598691,160.543731,11:15,5.19447,-1.12671,5.69885,-17.62773,17.66623,-5.84319,2.70837,1.33804,81.62108,-4.424234,2.121887,0.427584,,,,,,,,,,,,3.82457,9.60142,0.86449,50,5.09195,-6.90709,-129.59743,-3.00642,6.50938,26.89421,-15.83255,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,94cbb930-a40e-11ed-99d5-3bdcbe5d7b05,88.15213,,,7.76504,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:03:24.51,2023-02-03T14:03:24.5170000-08:00,2023-02-03T22:03:24.5170000Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,a8266830-04e4-40ba-aa81-211adf5ac042,54.79857,-130.58944,13.4471,5.19207,-2.42243,-7.91628,1.12369,-7.1472,3.25469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81361,2.637808,1.241958,1.39585,-1.53609,2.47412,-1.44595,-2.60051,5.77678,-1.06312,70.86423,14.17629,-53.92683,-2.46804,56.43913,-2.76766,5.9955,26.34652,-14.6216,-1.27766,-42.4891,3.37091,High,High,High,,,High,High,High
4,2023-02-03,14:03:50.06,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.18275,-0.752848,1.63778,2360.805178,162.870253,11:30,5.21578,-1.10842,5.66841,-16.59115,19.01351,-5.49382,3.1309,-0.03877,80.99327,-3.917766,0.656469,0.429462,,,,,,,,,,,,3.23697,10.18615,0.97345,50,5.14179,-3.4525,-129.36378,-2.18391,5.45975,28.16302,-14.99327,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,a4098c60-a40e-11ed-99d5-3bdcbe5d7b05,87.76662,,,8.18948,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:03:50.06,2023-02-03T14:03:50.0666958-08:00,2023-02-03T22:03:50.0666958Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,c83cda51-17cf-455f-9a2d-83eb942c775e,54.82745,-130.4105,14.08151,5.2126,-1.62666,-7.49664,1.10554,-3.65542,2.72988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-03,14:04:04.86,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.02457,-1.55841,1.360051,2436.409081,159.688944,11:15,5.21839,-1.05918,5.8627,-14.70706,20.80792,-7.25559,2.54428,-0.40009,80.80518,-4.395734,0.058943,0.428921,,,,,,,,,,,,4.07233,11.40973,0.95294,50,5.08333,-2.74856,-129.1443,-3.89618,6.83602,28.40986,-13.021,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,acd4d480-a40e-11ed-99d5-3bdcbe5d7b05,87.87738,,,8.21939,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:04:04.86,2023-02-03T14:04:04.8677966-08:00,2023-02-03T22:04:04.8677966Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,dfc58eb6-7b19-40cf-8365-d93c85445b9c,54.63325,-130.15955,14.20493,5.21425,-3.43087,-6.5105,1.05553,-2.99285,3.41801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-03,14:04:23.24,2,3,"Hilton, Jake",1000115590,Left,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.8068,-1.944474,0.669153,2332.419997,152.705447,11:00,5.16745,-1.2387,5.46546,-17.46139,17.89249,-8.62548,1.89161,-1.33117,81.77431,-5.238889,-0.867006,0.427947,,,,,,,,,,,,4.51473,9.91091,1.18578,50,4.98463,-1.12811,-130.24372,-4.97679,7.72626,28.30395,-15.21308,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,b7c7b790-a40e-11ed-99d5-3bdcbe5d7b05,88.07735,,,8.0325,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:04:23.24,2023-02-03T14:04:23.2469070-08:00,2023-02-03T22:04:23.2469070Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,824b2e29-5ae7-40d9-b5aa-fe513d3de13f,55.03162,-131.33262,14.15198,5.16484,-4.39152,-7.60654,1.2349,-1.42535,3.86313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-03,14:04:43.14,2,4,"Hilton, Jake",1000115590,Left,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.13924,-2.165681,2.813476,2397.265997,161.42887,11:30,5.18037,-1.09954,5.65904,-15.80143,19.11253,-6.02847,1.84056,1.02393,82.03419,-5.173584,1.738144,0.425276,,,,,,,,,,,,3.86036,10.65867,0.86512,50,4.98699,-6.1505,-130.60646,-5.41195,6.64343,28.45406,-13.8311,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,c3a4d390-a40e-11ed-99d5-3bdcbe5d7b05,88.63053,,,8.10505,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:04:43.14,2023-02-03T14:04:43.1467086-08:00,2023-02-03T22:04:43.1467086Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,046fb256-fd5b-4b51-a6c6-94e4db64c425,54.83843,-131.65635,14.22703,5.17726,-4.90161,-6.91555,1.09658,-6.39562,3.32171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-03,14:05:00.62,2,5,"Hilton, Jake",1000115590,Left,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.44731,-0.249011,1.243928,1524.22512,136.404466,10:30,5.06054,-1.21548,6.20489,-35.97896,12.15209,-10.22182,1.8324,-0.91893,69.72342,-6.953765,-0.602643,0.499326,,,,,,,,,,,,5.59981,6.81933,1.1269,50,5.02376,-2.0314,-109.71051,-1.45554,6.87342,18.12351,-23.80378,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,ce1b81c0-a40e-11ed-99d5-3bdcbe5d7b05,75.48664,,,5.72389,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:05:00.62,2023-02-03T14:05:00.6274126-08:00,2023-02-03T22:05:00.6274126Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,c0e35b12-0955-4620-9c96-adf5028c09e9,54.29395,-110.41757,9.06176,5.06243,-0.52688,-11.90189,1.21138,-2.29955,3.43671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-03,14:05:32.87,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.88789,-2.26479,2.21356,2280.212104,153.061048,11:00,5.13032,-1.05819,5.8898,-16.96863,19.36139,-9.22729,1.61068,0.22925,80.13212,-5.49855,0.558796,0.433815,,,,,,,,,,,,5.3304,10.90056,0.88491,50,4.93778,-4.53652,-127.45675,-5.51901,8.74595,26.82513,-14.2887,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,e14d7280-a40e-11ed-99d5-3bdcbe5d7b05,86.88604,,,7.75577,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:05:32.87,2023-02-03T14:05:32.8731726-08:00,2023-02-03T22:05:32.8731726Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,e1bbb7ff-ca2e-48c5-9f20-dae2acea05ed,54.60776,-128.42286,13.41256,5.12728,-5.00441,-7.14435,1.05397,-4.85151,4.37298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-03,14:06:01.95,3,2,"Hilton, Jake",1000115590,Left,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.24265,-1.440724,1.170985,1554.106505,117.593409,10:00,5.02023,-1.20788,6.05209,-39.14412,8.14532,-13.00662,0.42399,-1.20763,70.91997,-8.652027,-1.174933,0.494941,,,,,,,,,,,,7.02528,4.98067,1.12381,50,4.88695,-1.81835,-110.88093,-3.91939,8.83089,18.02732,-25.91326,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,f2ab8da0-a40e-11ed-99d5-3bdcbe5d7b05,76.15544,,,5.32267,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:06:01.95,2023-02-03T14:06:01.9507790-08:00,2023-02-03T22:06:01.9507790Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,95b124e7-2db5-464f-90d2-eebd03651e58,54.44903,-111.60193,9.01366,5.02298,-2.883,-12.95663,1.20359,-2.17153,4.41545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2023-02-03,14:06:18.80,3,3,"Hilton, Jake",1000115590,Left,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.78236,-2.094533,1.208451,2179.047219,158.151801,11:15,5.09463,-1.24165,5.84655,-19.38466,17.01005,-6.3454,1.53153,-0.64727,80.19907,-5.752918,0.070387,0.434201,,,,,,,,,,,,3.57945,9.64111,1.14705,50,4.91283,-2.42091,-127.39435,-5.24363,5.8729,26.56768,-16.35573,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,fcabac40-a40e-11ed-99d5-3bdcbe5d7b05,86.80877,,,7.5833,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:06:18.80,2023-02-03T14:06:18.8061262-08:00,2023-02-03T22:06:18.8061262Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,f3476104-dab0-417f-ab25-6cda00fc08cd,54.65153,-128.36075,13.28384,5.09275,-4.64869,-8.17786,1.239,-2.63453,2.93645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2023-02-03,14:06:40.42,3,4,"Hilton, Jake",1000115590,Left,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,2,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.20578,-0.596677,1.829703,2271.433794,154.582647,11:15,5.14713,-1.07103,5.62054,-18.55092,18.55225,-8.25725,3.04408,-0.05102,79.63815,-4.10468,0.356177,0.438406,,,,,,,,,,,,4.71307,9.93607,0.92045,50,5.08455,-3.69567,-126.59619,-1.88644,7.64951,25.81732,-16.04744,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,09832dd0-a40f-11ed-99d5-3bdcbe5d7b05,85.97601,,,7.56763,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:06:40.42,2023-02-03T14:06:40.4272718-08:00,2023-02-03T22:06:40.4272718Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,475e34d1-dae7-4b66-8fcc-0feb5dc9ba70,54.87881,-127.58726,12.90866,5.14514,-1.27041,-8.02372,1.06796,-3.98932,3.82475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2023-02-03,14:07:24.08,3,5,"Hilton, Jake",1000115590,Left,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,2,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,75.97279,-1.093053,2.390977,1617.444212,131.968425,10:30,5.05752,-1.1789,6.14068,-36.79006,11.27674,-10.80528,0.98053,0.13156,69.71551,-7.942832,0.441921,0.498992,,,,,,,,,,,,6.26237,6.61839,1.002,50,4.95519,-4.22931,-110.29468,-3.12597,7.69671,20.03067,-24.03976,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20230203-PomonaPitzer-1,239a1a80-a40f-11ed-99d5-3bdcbe5d7b05,75.53709,,,6.25728,,,,,,,1dc1f22d-194f-4599-a5fa-56a5423a4bc7,2023-02-03,22:07:24.08,2023-02-03T14:07:24.0800334-08:00,2023-02-03T22:07:24.0800334Z,,v3,POM_PIT,,,"Savas, Peter",1000115653,Right,POM_COL,1b656a5e-c9bf-468b-bb1f-ed57ad351df3,54.3579,-111.0833,10.01533,5.05963,-2.17951,-12.01988,1.17448,-4.53233,3.84835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
