PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-27,12:01:32.18,1,1,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.15258,1.345826,-6.131894,2284.019393,243.896316,2:15,3.88107,2.44423,5.90859,-26.47151,10.40201,18.41792,2.93171,-1.7343,78.88031,-3.628437,-2.854477,0.437048,,,,,,,,,,,,-11.28197,5.28118,-1.96022,50,3.97489,12.84727,-127.11395,2.14582,-18.16544,29.92404,-23.67069,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,0f5e95a0-9808-11ec-a5e6-45aab00a6108,86.24334,,,9.27228,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:01:32.18,2022-02-27T12:01:32.1829670-08:00,2022-02-27T20:01:32.1829670Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,52ba28cf-987f-4826-bc8e-7ef3da45b2e3,54.58628,-128.18906,14.96202,3.88252,2.99626,-11.83534,-2.43352,13.49992,-9.08272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-27,12:01:47.53,1,2,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.13399,2.149493,-4.398843,2388.700437,246.489854,2:15,3.87679,2.52242,5.98474,-28.99864,7.29363,13.9415,3.45934,-0.40091,79.65361,-3.268431,-1.904373,0.433589,,,,,,,,,,,,-8.38485,3.48591,-2.18184,50,4.03123,9.21093,-127.51874,3.8359,-13.7107,27.92058,-26.47396,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,18910400-9808-11ec-a5e6-45aab00a6108,86.93126,,,8.48038,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:01:47.53,2022-02-27T12:01:47.5389734-08:00,2022-02-27T20:01:47.5389734Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,a0d346ff-472d-4286-97f2-366d3ad08fc0,54.51145,-128.50274,13.96029,3.8796,4.76892,-13.23698,-2.51497,9.69413,-6.85535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-27,12:02:06.52,1,3,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.4335,0.611335,-1.996603,2291.645768,250.252462,2:15,3.94617,2.55292,5.93865,-28.64687,7.45764,17.22395,2.12641,2.13532,79.8007,-4.751189,1.096846,0.432466,,,,,,,,,,,,-9.66398,3.94162,-2.40413,50,3.97872,3.78612,-128.33672,0.42526,-15.86891,30.38215,-25.70164,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,23d27c40-9808-11ec-a5e6-45aab00a6108,87.157,,,8.6328,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:02:06.52,2022-02-27T12:02:06.5227046-08:00,2022-02-27T20:02:06.5227046Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,3451054c-be1f-44ee-a31b-d124db7c1c5f,54.56187,-129.41218,15.19108,3.94757,1.33504,-12.85082,-2.54809,4.34784,-7.93446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-27,12:02:24.01,1,4,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.07513,1.066389,-3.89389,2139.558187,255.808359,2:30,3.86914,2.69482,5.73703,-31.72242,5.83611,17.88387,2.22102,0.55364,78.63509,-4.826829,-0.702371,0.441088,,,,,,,,,,,,-10.24024,3.03776,-2.38113,50,3.9389,7.80933,-126.07383,1.25329,-16.30903,28.13649,-27.33598,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,2e4cd3f0-9808-11ec-a5e6-45aab00a6108,85.45326,,,8.44004,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:02:24.01,2022-02-27T12:02:24.0102694-08:00,2022-02-27T20:02:24.0102694Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,85f5b6e4-cd28-4ab0-839d-a3ed7cc65191,54.76026,-127.13176,14.06825,3.87245,2.28112,-13.66799,-2.68628,8.42255,-8.15452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-27,12:02:42.43,1,5,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.78543,0.433119,-4.996414,2249.726073,253.183836,2:30,3.83237,2.54741,5.85622,-29.10494,6.96024,18.79926,1.81091,-0.53994,80.10977,-4.992038,-1.641201,0.432231,,,,,,,,,,,,-11.09737,3.80248,-2.15173,50,3.85086,10.41154,-128.4028,-0.02167,-18.3258,29.28414,-25.89478,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,394a1740-9808-11ec-a5e6-45aab00a6108,87.20449,,,8.67567,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:02:42.43,2022-02-27T12:02:42.4323366-08:00,2022-02-27T20:02:42.4323366Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,0dd68321-0c64-4b79-ae6a-8a355cbae5cd,54.64125,-129.45698,14.64207,3.83486,0.9105,-12.94739,-2.5384,11.07124,-9.1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-27,12:03:01.12,1,6,"Williams, Joe",1000115635,Right,POM_COL,"Clark, Max",1000121391,Right,RED_UNI,Undefined,8,Top,0,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.92449,0.695031,-3.003741,2339.606971,242.679631,2:00,3.83373,2.60356,5.83311,-26.10234,9.68504,16.35442,2.30549,1.17188,80.37652,-4.194624,-0.076156,0.430563,,,,,,,,,,,,-9.18973,5.10189,-2.36768,50,3.87533,6.04542,-128.89043,0.68993,-15.31151,29.17737,-23.67355,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,445c9040-9808-11ec-a5e6-45aab00a6108,87.54228,,,8.54797,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:03:01.12,2022-02-27T12:03:01.1210000-08:00,2022-02-27T20:03:01.1210000Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,6cc9fec4-fd99-4cbd-8ae4-d064d11fb22e,54.66315,-129.94175,14.58868,3.8351,1.54295,-11.83678,-2.59546,6.59712,-7.65575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.59732,,,1.098193,,,,-0.03903,5.80945,2.49039,71.04985,8.84918,-53.73026,0.0243,68.80631,-3.73699,5.92514,18.66754,-14.52471,2.33072,-57.71502,6.00755,High,High,High,,,High,High,High
7,2022-02-27,12:03:29.58,2,1,"Williams, Joe",1000115635,Right,POM_COL,"Barraza, Omar",1000039354,Right,RED_UNI,Undefined,8,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.65158,1.423853,-3.054925,2332.504922,244.758444,2:15,3.98684,2.71016,5.86212,-25.62616,9.72591,17.93828,3.17623,1.36431,80.56723,-3.393422,0.156945,0.427936,,,,,,,,,,,,-9.99335,4.89351,-2.47206,50,4.08782,6.1206,-129.83837,2.37323,-16.81976,30.74501,-23.93784,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,55655f70-9808-11ec-a5e6-45aab00a6108,88.07962,,,9.08435,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:03:29.58,2022-02-27T12:03:29.5809318-08:00,2022-02-27T20:03:29.5809318Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1f8c15ae-08fd-4024-832f-d6e53560490f,54.63259,-130.93075,15.37251,3.98839,3.22375,-11.96892,-2.70014,6.71821,-8.40988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-27,12:03:49.61,2,2,"Williams, Joe",1000115635,Right,POM_COL,"Barraza, Omar",1000039354,Right,RED_UNI,Undefined,8,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.0259,0.728937,0.387584,2599.724111,126.720517,10:15,4.09354,2.64428,5.03433,-36.69837,12.37867,-14.32812,1.72311,1.81594,69.88674,-6.022986,-2.14371,0.504209,,,,,,,,,,,,7.18193,6.41681,-2.66936,50,4.13443,-0.16536,-111.62033,0.20562,8.97636,21.83981,-24.15395,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,614eb070-9808-11ec-a5e6-45aab00a6108,74.75561,,,7.13916,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:03:49.61,2022-02-27T12:03:49.6182566-08:00,2022-02-27T20:03:49.6182566Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1b19ea5d-fe29-4ced-868f-c8fa1dadf166,55.46103,-112.68378,10.91991,4.09578,1.38175,-12.07698,-2.65067,-0.60245,4.48818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-27,12:04:06.37,2,3,"Williams, Joe",1000115635,Right,POM_COL,"Barraza, Omar",1000039354,Right,RED_UNI,Undefined,8,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.42635,1.579442,-1.538499,2285.417801,247.251444,2:15,3.84917,2.64916,5.57867,-28.22628,8.88831,17.72021,2.973,2.68863,78.63177,-3.71364,1.621867,0.438474,,,,,,,,,,,,-9.35481,4.36437,-2.52806,50,3.96725,2.61568,-127.94691,2.54366,-15.1007,32.84749,-25.129,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,6b3ec980-9808-11ec-a5e6-45aab00a6108,85.96279,,,9.79458,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:04:06.37,2022-02-27T12:04:06.3758630-08:00,2022-02-27T20:04:06.3758630Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8c355c47-e2ce-4f5c-898e-6aa2e56164be,54.91374,-129.20224,16.42374,3.85169,3.50402,-12.5645,-2.63905,3.19278,-7.55035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-27,12:04:31.17,2,4,"Williams, Joe",1000115635,Right,POM_COL,"Barraza, Omar",1000039354,Right,RED_UNI,Undefined,8,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.78216,0.57848,-4.1935,2210.669656,272.194448,3:00,3.51437,2.54316,5.95636,-35.34187,0.90969,12.42768,1.10713,-0.31701,79.4734,-5.992676,-1.967389,0.433346,,,,,,,,,,,,-7.79252,0.68028,-2.21638,50,3.54103,8.88239,-128.41467,0.06051,-12.71732,32.20767,-31.06386,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220227-PomonaPitzer-1,7a0ebfb0-9808-11ec-a5e6-45aab00a6108,86.97999,,,9.30876,,,,,,,26864660-8567-4b58-9d6c-4215d219f2b0,2022-02-27,20:04:31.17,2022-02-27T12:04:31.1720230-08:00,2022-02-27T20:04:31.1720230Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e1656898-a24a-4a98-b662-1b4c554c2692,54.53977,-129.54829,16.10384,3.51966,1.15386,-15.53193,-2.5369,9.33,-6.35866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
