PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
106,2022-01-22,12:58:45.47,3,1,"Hilton, Jake",1000115590,Left,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,4,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,85.17356,-0.61942,1.006697,1922.36038,147.79951,11:00,5.14001,-0.99349,6.18071,-23.40033,14.77418,-8.52221,2.61788,-0.77396,77.67259,-5.045726,-0.53149,0.444691,97.43647,4.616441,31.834521,2485.011657,,,,87.43319,,33.792961,0.659104,4.72107,8.20441,0.92177,50,5.08134,-1.84712,-123.75532,-2.01067,7.29096,25.66239,-19.50357,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,16d1ec00-7bc6-11ec-a125-75b61e234a41,84.761,4.06596,,7.50097,,,,1.93037,2.76619,0.72453,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:58:45.47,2022-01-22T12:58:45.4705294-08:00,2022-01-22T20:58:45.4705294Z,GroundBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,40409d9e-1f35-436f-b273-27a9e879a024,54.31742,-124.64738,12.83119,5.13945,-1.33269,-9.75178,0.99039,-2.10056,3.64548,,1.97226,120.15527,-19.66835,,,,,,,2.81157,10.56676,-22.60043,,,,,,,0.71687,75.29623,-3.93283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
138,2022-01-22,13:18:39.71,2,2,"Williams, Joe",1000115635,Right,POM_COL1,"Kim, Isaac",1000115624,Right,POM_COL1,Undefined,5,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,87.93076,-1.245596,-3.67646,2116.503915,222.439218,1:30,5.3284,2.3916,5.84249,-20.5634,16.18115,13.58772,2.45464,0.10254,79.35752,-5.14722,-1.246282,0.436283,96.47837,27.814688,0.137785,4067.125915,,,,,,,,-8.0954,9.03678,-2.09999,50,5.21492,7.60521,-127.31508,-3.39511,-13.11992,29.21324,-17.52845,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,dea5db90-7bc8-11ec-a125-75b61e234a41,86.39454,62.57099,,8.57324,,,,,,,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,21:18:39.71,2022-01-22T13:18:39.7182606-08:00,2022-01-22T21:18:39.7182606Z,,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,0b08a785-3400-4cc7-b519-0754bd136325,54.65426,-128.37859,14.60662,5.32691,-2.75698,-8.76423,-2.38555,8.08284,-6.55996,,-0.07299,125.15215,-27.00043,6.29786,-1.34125,0.26328,-0.04936,0.0078,-0.0007,-1.09319,66.02645,-12.52753,-0.75239,0.50495,-0.17608,0.04938,-0.0098,0.00104,8.26812,0.30097,5.766,-2.74822,0.91823,-0.26068,0.06537,-0.01266,0.00133,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
238,2022-01-22,14:10:12.99,3,6,"Williams, Joe",1000115635,Right,POM_COL1,"Bedrosian, David",1000115604,Left,POM_COL1,Undefined,7,Top,1,3,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,1,,88.18014,-0.586202,-3.158724,2186.0637,230.782546,1:45,5.42087,2.4141,6.18297,-25.30222,10.25422,11.19501,2.77021,0.42731,80.67683,-5.33088,-1.141577,0.429171,96.18529,12.854826,-14.646492,2032.458801,104.09666,19.19084,-35.55092,248.72582,,-23.889865,2.344586,-6.6965,5.80697,-2.18116,50,5.36368,6.62154,-128.01911,-2.10086,-11.11492,26.38857,-22.53558,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,125f9230-7bd0-11ec-a125-75b61e234a41,87.82609,19.81106,,7.50331,,,,1.29489,2.76172,-0.4368,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,22:10:12.99,2022-01-22T14:10:12.9954958-08:00,2022-01-22T22:10:12.9954958Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,dbee1b12-b49d-4813-a6d3-fc93843b5532,54.31623,-128.90574,13.19429,5.42155,-1.34368,-11.26779,-2.40991,6.99499,-5.55746,116.803179,1.29489,133.06564,-23.44842,4.85728,-0.77997,0.00785,0.04357,-0.01291,0.00135,2.76174,31.38642,-14.88003,0.46944,-0.19587,0.20191,-0.09685,0.02373,-0.00235,-0.43682,-34.77759,-7.22546,2.62631,-0.40763,-0.14807,0.11374,-0.03021,0.00306,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
85,2022-01-22,12:45:14.22,4,5,"Hilton, Jake",1000115590,Left,POM_COL1,"Nishi, Ryan",1000115618,Right,POM_COL1,Undefined,3,Top,2,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,76.94775,-0.177637,2.171162,1473.059991,131.214849,10:15,4.96207,-1.32497,6.32483,-33.85136,12.67272,-12.74509,1.97742,-0.38664,70.3745,-6.536787,-0.134714,0.490919,96.0467,10.31781,-5.577096,2335.928913,109.19527,8.49574,-13.28119,163.86168,,-7.850195,1.350283,7.28221,7.09646,1.17234,50,4.93299,-3.80423,-111.78385,-1.24815,9.18174,20.81448,-23.22651,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,334d1960-7bc4-11ec-a125-75b61e234a41,76.77929,9.56934,,6.57325,,,,2.01836,2.04475,0.38898,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:45:14.22,2022-01-22T12:45:14.2294158-08:00,2022-01-22T20:45:14.2294158Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,cfe917c9-0097-46e4-9ac2-8edaa9181a23,54.17355,-112.5583,10.40724,4.96335,-0.38396,-11.61325,1.32024,-4.14585,4.59087,58.298846,2.01836,137.93429,-16.90267,2.56129,-0.53311,0.09653,-0.0189,0.00324,-0.0003,2.04475,25.23063,-22.53784,2.59875,-0.56234,0.12735,-0.02503,0.00435,-0.00044,0.38898,-13.46891,-3.78493,1.27561,-0.33196,0.08129,-0.01755,0.00318,-0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
136,2022-01-22,13:17:39.26,1,2,"Williams, Joe",1000115635,Right,POM_COL1,"Millikan, Caleb",1000115589,Left,POM_COL1,Undefined,5,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,85.92848,-0.987383,-3.73711,2154.038985,214.463373,1:15,5.17188,2.48284,6.01257,-22.02182,15.79973,10.00186,2.42001,-0.15053,78.41465,-5.143452,-1.9433,0.44263,95.62214,31.330292,21.356271,,101.34148,63.51592,42.77674,365.86342,,25.078319,5.354359,-6.22709,8.78004,-2.19487,50,5.08225,7.74288,-124.59307,-2.80115,-9.77151,25.43698,-18.39652,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,baa16de0-7bc8-11ec-a125-75b61e234a41,85.15559,90.90237,,7.51383,,,,1.7052,2.45654,0.06227,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,21:17:39.26,2022-01-22T13:17:39.2628878-08:00,2022-01-22T21:17:39.2628878Z,FlyBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,e094f7be-1d5a-47b6-91c7-cd41975eecb9,54.48599,-125.50559,12.71849,5.17091,-2.14119,-9.19826,-2.47893,8.09342,-4.88575,197.169776,1.71116,111.44788,-23.73349,5.55702,-0.76614,-0.02169,0.02882,-0.00419,0.0002,2.45153,73.0146,-16.15154,0.43223,-0.00783,-0.00492,0.00715,-0.00171,0.00011,0.06339,43.60388,-4.41533,0.07908,0.24578,-0.10045,0.02102,-0.00227,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
90,2022-01-22,12:49:44.31,1,1,"Deliyannis, Harry",1000115586,Right,POM_COL1,"Woods, Eamonn",1000115603,Right,POM_COL1,Undefined,3,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Double,1,0,,84.98014,-1.519078,-2.570501,2035.727736,238.012163,2:00,5.98141,0.78625,4.87193,-26.61592,14.14257,20.28324,2.32416,0.04248,76.81919,-6.430079,1.000988,0.459495,92.9574,29.832115,2.520409,,109.50909,58.73509,10.37967,350.18623,,10.646298,5.10711,-10.83863,7.86737,-0.55166,50,5.81008,4.60161,-122.97423,-4.22322,-16.38917,27.24329,-20.27777,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,d449b710-7bc4-11ec-a125-75b61e234a41,82.03019,80.75175,,8.16095,,,,1.11241,2.42035,-0.05324,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:49:44.31,2022-01-22T12:49:44.3141262-08:00,2022-01-22T20:49:44.3141262Z,FlyBall,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,e8ecbf5c-9065-427f-95b3-d8f4a45b462c,55.6257,-124.21427,13.62165,5.98131,-3.30022,-10.13888,-0.77809,5.34761,-8.19459,206.404162,1.11684,118.06601,-22.39599,4.56043,-0.47786,-0.07338,0.03338,-0.00417,0.00018,2.41857,67.84959,-15.72647,0.43074,0.02162,-0.03089,0.01601,-0.00306,0.00019,-0.05307,5.19677,5.71937,-2.1893,0.54079,-0.09068,0.0109,-0.00094,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
127,2022-01-22,13:10:36.68,5,1,"Deliyannis, Harry",1000115586,Right,POM_COL1,"Hagen, Jackson",1000115602,Right,POM_COL1,Undefined,4,Bottom,2,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,83.79168,-1.5327,-2.705512,2029.639829,233.973018,1:45,5.9561,1.14322,5.01104,-24.49131,17.47812,21.82777,2.46656,0.40671,75.24661,-6.107224,1.146398,0.466271,91.02296,4.566747,-31.144016,3387.988177,,,,72.30491,,-32.006958,0.560105,-11.77166,9.62355,-0.90242,50,5.79012,4.76512,-121.18746,-4.06637,-17.17005,27.92416,-18.13718,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,bec36eb0-7bc7-11ec-a125-75b61e234a41,80.83813,3.60451,,8.54507,,,,2.50707,2.62434,-0.59409,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,21:10:36.68,2022-01-22T13:10:36.6895246-08:00,2022-01-22T21:10:36.6895246Z,GroundBall,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,eff49510-e94d-42f6-9327-9a8a1743c3b9,55.48616,-122.44507,13.96208,5.95486,-3.24954,-9.06859,-1.13444,5.5384,-8.58503,,2.51638,113.67377,-15.55893,,,,,,,2.65345,9.93096,-26.27625,,,,,,,-0.58671,-69.00433,2.88894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
16,2022-01-22,12:09:09.20,4,5,"Hilton, Jake",1000115590,Left,POM_COL1,"Kim, Isaac",1000115624,Right,POM_COL1,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,75.43047,1.461294,1.528479,1538.060568,114.118497,9:45,4.98293,-1.36156,5.95624,-39.22431,10.56938,-19.56072,3.07015,-1.57384,67.9578,-5.888751,-1.985898,0.507877,90.80523,10.050135,0.633305,2106.139987,109.86064,13.73805,5.5281,219.23357,,3.810301,2.022652,10.51886,5.46063,1.25102,50,5.07741,-2.21175,-109.37125,1.68193,12.51255,22.52255,-25.67842,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,28dfd350-7bbf-11ec-a125-75b61e234a41,74.21567,13.74001,,7.47267,,,,0.35232,2.99773,1.58307,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:09:09.20,2022-01-22T12:09:09.2060000-08:00,2022-01-22T20:09:09.2060000Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,9feb4ae5-371a-401e-8a9a-3b7fba125e8f,54.54036,-110.30227,11.26127,4.98595,2.74341,-12.83921,1.35313,-2.72899,6.25628,213.796238,0.35232,131.12916,-15.71505,2.93218,-0.55239,0.09651,-0.01593,0.00227,-0.00017,2.99773,23.24136,-12.83376,0.26261,0.02814,-0.01016,0.00404,-0.00064,4E-05,1.58307,1.44948,3.86939,-1.07994,0.27542,-0.06032,0.01154,-0.00168,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
80,2022-01-22,12:41:53.15,3,4,"Hilton, Jake",1000115590,Left,POM_COL1,"Bedrosian, David",1000115604,Left,POM_COL1,Undefined,3,Top,1,1,2,Fastball,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,88.41636,-1.229002,2.215565,1916.1922,138.575675,10:30,5.13769,-1.10926,5.83698,-21.30639,14.70032,-11.90953,2.21885,-0.04147,80.43526,-5.242707,0.081193,0.43188,89.9241,-19.44078,15.30762,,,,,8.25786,,12.26928,0.05128,6.76784,8.23524,0.93582,50,5.02504,-4.46614,-128.28938,-3.42395,11.21462,27.95488,-18.52783,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,bb6c0320-7bc3-11ec-a125-75b61e234a41,87.27522,2.25529,,7.9811,,,,1.90624,2.25529,0.06796,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,20:41:53.15,2022-01-22T12:41:53.1579534-08:00,2022-01-22T20:41:53.1579534Z,GroundBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,e15d2cfe-42a1-46e2-86f2-9634b5c70f24,54.66138,-129.30113,13.97744,5.13682,-2.75339,-9.26392,1.1048,-4.87202,5.60731,180,1.90436,120.18418,,,,,,,,2.25597,-43.98001,,,,,,,,0.06744,32.89585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
145,2022-01-22,13:21:30.69,4,2,"Williams, Joe",1000115635,Right,POM_COL1,"Nishi, Ryan",1000115618,Right,POM_COL1,Undefined,5,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.0395,-1.21872,-3.175911,2210.766625,220.89601,1:15,5.26979,2.18773,5.78371,-21.21733,15.07473,12.04024,2.36591,0.2333,80.37215,-5.205619,-1.023128,0.433588,89.54463,46.935429,29.351321,5811.450101,87.22363,106.85094,67.02236,218.79353,,46.079708,5.422902,-7.06311,8.38745,-1.93317,50,5.15651,6.58267,-127.68716,-3.39125,-11.64786,26.56389,-18.3422,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220122-PomonaPitzer-Private-1,448c2180-7bc9-11ec-a125-75b61e234a41,86.93148,114.66317,,7.66735,,,,1.88869,2.40875,-0.2418,2e15b794-d8c2-438f-916f-eb6154680048,2022-01-22,21:21:30.69,2022-01-22T13:21:30.6972814-08:00,2022-01-22T21:21:30.6972814Z,FlyBall,v3,pom_pitprac,pom_pitprac,,"Nishimura, Matthew",1000115650,Right,POM_COL1,8571da2b-5123-455a-b2ee-14bfc242c14d,54.7151,-128.66434,13.28194,5.26885,-2.71651,-9.1711,-2.18321,7.01115,-5.82393,,1.90035,77.93917,-26.27217,6.35976,-0.67016,-0.10973,0.04605,-0.00554,0.00023,2.41092,95.8903,-24.12887,1.62242,0.2103,-0.21718,0.06327,-0.00843,0.00043,-0.24114,43.94374,-4.80584,0.44814,0.04115,-0.02558,0.00505,-0.00052,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
