PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
17,2022-02-26,11:09:02.06,2,2,"Kundig, Cameron",1000121400,Right,RED_UNI,"Millikan, Caleb",1000115589,Left,POM_COL,Undefined,1,Bottom,1,1,0,Sinker,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,80.56659,-0.489768,-2.596231,1674.123623,265.618348,2:45,6.0625,2.14144,5.61111,-41.49904,2.7687,14.88418,2.14663,0.95686,72.81396,-8.134884,0.063117,0.478867,121.28771,-54.196518,131.135602,,,,,0.83993,,16.215249,0.015252,-8.41111,2.02146,-1.92938,50,5.99402,4.7004,-116.72168,-2.37735,-11.39274,25.69452,-29.43601,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,8f5a7bb0-9737-11ec-a966-b1784989f2b6,78.71166,2.2028,,7.75263,,,,1.85177,2.2028,-0.96215,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,19:09:02.06,2022-02-26T11:09:02.0637562-08:00,2022-02-26T19:09:02.0637562Z,GroundBall,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,30744bd4-5486-4493-be72-e63607343aad,54.88644,-117.79244,12.84726,6.06753,-1.15067,-14.71801,-2.13515,5.17517,-5.69637,,1.85195,-68.5319,,,,,,,,2.20318,-144.42594,,,,,,,,-0.96235,78.46111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
172,2022-02-26,12:36:31.01,3,2,"Woods, Eamonn",1000115603,Right,POM_COL,"Smyley, Max",1000121381,Right,RED_UNI,Undefined,6,Top,2,0,1,Fastball,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,87.26406,-0.717172,-2.503246,1968.819246,235.861168,1:45,5.19066,0.46542,5.78072,-24.16387,13.19233,17.47284,2.50907,-0.40906,78.7211,-5.26548,0.624674,0.439899,101.65059,12.261157,-28.179775,2126.590854,95.6188,11.13962,-54.3787,170.05185,,-31.423783,1.390088,-9.76445,7.3413,-0.26976,50,5.11713,4.80178,-126.50728,-2.35627,-15.5905,29.36292,-20.45248,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,c80c3910-9743-11ec-a966-b1784989f2b6,85.68438,12.08992,,8.54296,,,,2.40625,2.58789,0.46578,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,20:36:31.01,2022-02-26T12:36:31.0120000-08:00,2022-02-26T20:36:31.0120000Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,a0b6e3e1-28ba-44f6-b03d-c7cf19646a70,54.71739,-127.59751,14.68146,5.19052,-1.59688,-10.22624,-0.4588,5.38064,-7.79525,,2.40625,128.41837,-23.11516,4.48789,-1.15162,0.28659,-0.069,0.01322,-0.00135,2.58789,31.66136,-28.7384,4.4369,-1.09387,0.28307,-0.0663,0.01257,-0.0013,0.46578,-68.79898,4.32554,-0.92322,0.22926,-0.05766,0.01372,-0.00259,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
226,2022-02-26,13:10:38.26,5,1,"Woods, Eamonn",1000115603,Right,POM_COL,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,Undefined,7,Top,1,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,Double,0,2,,74.63973,2.66579,0.67275,2120.032134,28.884787,7:00,5.12506,0.63111,5.45233,-67.89685,-15.90784,-9.82351,1.96453,0.4423,67.49932,-9.69809,-1.079786,0.518952,101.18105,14.494873,-29.589136,2296.546828,93.41843,19.47571,-58.07743,244.59859,,-35.675166,2.160207,5.18776,-8.42894,-0.68338,50,5.31335,-0.90072,-108.17177,2.78824,6.01326,22.69077,-41.9442,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,8c5fc990-9748-11ec-a966-b1784989f2b6,72.63185,19.93125,,7.14041,,,,1.8234,2.0714,-0.37236,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,21:10:38.26,2022-02-26T13:10:38.2667116-08:00,2022-02-26T21:10:38.2667116Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,89defd2c-09ad-4c0e-9c9c-9fb7da3a38f3,55.04944,-109.22583,11.34539,5.13857,4.73669,-20.9721,-0.63505,-1.18005,3.00663,,1.8234,124.93815,-22.28761,4.64213,-1.08165,0.24256,-0.04942,0.00735,-0.00054,2.0714,37.14314,-21.36434,2.56963,-0.59995,0.14025,-0.02762,0.00414,-0.00031,-0.37236,-70.94345,3.12333,-0.53005,0.11833,-0.02636,0.00555,-0.00084,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
349,2022-02-26,14:19:00.25,5,3,"Rohen, Nicholas",1000121376,Right,RED_UNI,"Bedrosian, David",1000115604,Left,POM_COL,Undefined,9,Bottom,1,2,0,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,3,,82.17164,-1.173047,-1.93581,2235.54036,230.328714,1:45,5.40782,0.53513,5.52528,-25.15541,17.26387,19.00359,2.2141,0.30833,74.41139,-5.893146,1.451648,0.468763,100.95397,28.415353,0.067938,,109.93563,59.29779,-3.76182,380.92502,,-7.357911,5.271087,-10.25646,9.52564,-0.3801,50,5.28943,3.2575,-119.12736,-3.21285,-14.5642,25.41455,-18.64763,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,19627c80-9752-11ec-a966-b1784989f2b6,80.40839,89.87787,,7.76025,,,,1.95253,2.45532,-0.29285,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,22:19:00.25,2022-02-26T14:19:00.2580000-08:00,2022-02-26T22:19:00.2580000Z,FlyBall,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,19a167a1-9bac-4d81-8528-0489b4d6f4e3,54.97278,-120.18356,12.70728,5.40684,-2.43787,-9.32382,-0.52806,3.86278,-7.2821,166.908095,1.95649,130.14919,-29.79063,7.78865,-1.53483,0.22413,-0.0241,0.00192,-9E-05,2.45407,70.47759,-13.42991,-1.38206,0.86016,-0.28324,0.05957,-0.00693,0.00033,-0.29225,0.14311,-4.41218,1.04307,-0.18283,0.02316,-0.00231,0.00021,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
199,2022-02-26,12:54:56.33,5,2,"Buchan, Nathan",1000121377,Left,RED_UNI,"Deliyannis, Harry",1000115586,Right,POM_COL,Undefined,6,Bottom,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,73.466,-0.290963,2.033907,1353.095007,139.919921,10:45,5.51422,-1.52592,5.42739,-37.15427,15.64375,-11.71201,2.14535,-0.59619,67.27685,-7.154705,-0.049771,0.522974,100.75826,-4.709663,-22.318263,,,,,21.39138,,-18.799367,0.138264,6.50689,8.46213,1.3541,50,5.46291,-3.35945,-106.57635,-1.63683,7.46784,18.68649,-22.46222,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,5ae6e8f0-9746-11ec-a966-b1784989f2b6,72.07323,2.04271,,6.18914,,,,2.2155,2.04271,0.7571,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,20:54:56.33,2022-02-26T12:54:56.3391340-08:00,2022-02-26T20:54:56.3391340Z,GroundBall,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,c56f20c1-2f45-4cb3-99a1-1870f2660f29,55.07046,-107.4617,9.34325,5.51525,-0.57259,-11.23111,1.52165,-3.71327,3.73392,61.030852,2.21722,136.08107,-41.0016,,,,,,,2.04334,-12.19375,-18.72626,,,,,,,0.75721,-55.9401,4.37957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
145,2022-02-26,12:20:02.76,5,1,"Super, Brett",1000115652,Right,POM_COL,"Kirkland, Mark",1000055131,Left,RED_UNI,Undefined,5,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,1,1,,79.16079,-1.137518,-3.263794,1809.31291,222.786635,1:30,5.29985,1.92199,5.84316,-30.57848,14.74576,12.13532,1.69266,-0.10315,71.66149,-6.86644,-1.090827,0.484548,100.67115,14.596344,6.966373,1783.959748,109.43642,22.15997,11.11684,274.74837,,4.914471,2.598859,-7.27788,8.36528,-1.66344,50,5.18938,6.08498,-114.66934,-3.16943,-9.55816,23.90339,-21.18782,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,7b0bebd0-9741-11ec-a966-b1784989f2b6,77.78892,24.28724,,7.49931,,,,2.60226,1.87954,0.06398,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,20:20:02.76,2022-02-26T12:20:02.7656570-08:00,2022-02-26T20:20:02.7656570Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,4978dd7c-b1d1-4fbf-a602-b2e84165c024,54.65419,-115.63546,11.95169,5.30017,-2.31307,-10.59391,-1.91719,6.4713,-4.77908,144.264432,2.60233,141.82618,-22.2057,4.51743,-0.76564,0.06124,0.00954,-0.00328,0.00028,1.87946,37.21432,-16.38976,0.98095,-0.30384,0.16209,-0.05652,0.01086,-0.00084,0.06411,17.32187,-6.65809,2.16082,-0.30328,-0.09185,0.05956,-0.01277,0.00101,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
241,2022-02-26,13:22:43.01,2,1,"Rohen, Nicholas",1000121376,Right,RED_UNI,"Kim, Isaac",1000115624,Right,POM_COL,Undefined,7,Bottom,1,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,81.62936,-0.279266,-1.662199,1858.003679,233.951622,1:45,5.39,0.48778,5.66962,-30.04006,12.27284,15.00005,2.62618,0.18759,74.64335,-5.862187,1.019223,0.468174,100.53931,3.737582,-19.561453,1895.095434,,,,79.64056,,-20.92981,0.575403,-8.11422,6.71394,-0.3572,50,5.34757,2.8484,-118.52134,-1.52633,-11.52317,22.99701,-22.63948,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,3c55c1f0-974a-11ec-a966-b1784989f2b6,80.50938,3.26428,,6.98601,,,,1.10734,2.34355,0.03686,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,21:22:43.01,2022-02-26T13:22:43.0144876-08:00,2022-02-26T21:22:43.0144876Z,GroundBall,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,536a1cd8-8845-4f52-8fc3-9a17328fa75e,54.82908,-119.45466,11.4985,5.39087,-0.60751,-11.31974,-0.48229,3.31606,-5.76158,46.136611,1.12855,138.15557,-18.90083,,,,,,,2.37103,8.96842,-22.82552,,,,,,,0.04554,-49.47141,-0.11197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
20,2022-02-26,11:10:04.77,2,5,"Kundig, Cameron",1000121400,Right,RED_UNI,"Millikan, Caleb",1000115589,Left,POM_COL,Undefined,1,Bottom,1,2,2,Slider,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,78.49477,-1.819228,-2.434854,2169.867917,187.630932,12:15,6.21353,1.81708,5.6179,-35.61896,9.75977,1.13602,1.54537,-0.36197,73.03046,-8.330986,-2.231982,0.484839,97.91309,-38.713716,88.856543,,,,,3.37673,,43.95043,0.019833,-1.17854,5.7828,-1.60998,50,6.03496,4.80516,-113.99295,-4.74693,-1.56866,18.6856,-24.47697,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,b4bf8ad0-9737-11ec-a966-b1784989f2b6,77.74218,1.78368,,5.46431,,,,2.38663,1.78368,0.1187,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,19:10:04.77,2022-02-26T11:10:04.7743354-08:00,2022-02-26T19:10:04.7743354Z,GroundBall,v3,POM_PIT,,,"Brumbaugh, Matthew",1000121383,Right,RED_UNI,a4c98ad6-d0be-425e-9e03-efb9a524763f,54.88219,-114.79044,9.3428,6.21526,-3.70226,-12.23848,-1.81649,4.87211,-0.78433,,2.38663,2.23905,,,,,,,,1.78406,-89.93358,,,,,,,,0.11823,112.17806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
231,2022-02-26,13:14:42.85,7,2,"Woods, Eamonn",1000115603,Right,POM_COL,"Smyley, Max",1000121381,Right,RED_UNI,Undefined,7,Top,2,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Double,0,1,,77.65942,2.364902,0.184464,2002.073462,42.026442,7:30,5.12169,0.84577,5.5383,-56.44444,-8.49823,-9.27272,2.6296,0.24546,69.86409,-7.98119,-1.470732,0.498366,97.23634,20.585466,-17.348697,1577.990263,105.26457,36.72969,-31.92747,348.40814,,-17.801808,3.823499,4.75603,-4.63351,-0.85535,50,5.28929,-0.002,-112.51275,2.75128,5.95618,24.79673,-37.97677,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,1e2041c0-9749-11ec-a966-b1784989f2b6,75.63203,47.10962,,7.79533,,,,2.15232,2.83137,-0.28478,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,21:14:42.85,2022-02-26T13:14:42.8541804-08:00,2022-02-26T21:14:42.8541804Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,47f9ffcc-5990-4a12-af89-5ac95b54c94a,54.96064,-113.60076,12.39836,5.13202,4.41761,-18.98838,-0.84953,-0.26334,2.97809,189.278956,2.15159,127.45697,-20.38785,4.7141,-1.16174,0.3236,-0.0814,0.0129,-0.00086,2.83245,50.10846,-14.4873,-0.28502,0.55361,-0.27739,0.08261,-0.01262,0.00075,-0.28452,-39.8208,7.93182,-2.75343,0.7755,-0.18436,0.03583,-0.00463,0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
225,2022-02-26,13:09:40.98,4,5,"Woods, Eamonn",1000115603,Right,POM_COL,"Kirkland, Mark",1000055131,Left,RED_UNI,Undefined,7,Top,1,3,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,84.89159,0.047373,-2.78294,1776.598086,252.998661,2:30,5.16924,0.54789,5.63936,-32.02974,7.53248,20.12568,2.54434,-0.37317,76.88218,-5.89551,0.810539,0.452701,96.63185,-6.443219,29.786258,,,,,26.47965,,28.0371,0.167949,-11.12402,4.18626,-0.32473,50,5.15293,5.15228,-123.0813,-0.97969,-16.87247,26.99064,-25.82448,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-1,6a3524f0-9748-11ec-a966-b1784989f2b6,83.2612,2.67522,,8.0094,,,,2.81295,2.67522,0.6788,12d2694a-6386-434a-820d-fbe70dd9fffe,2022-02-26,21:09:40.98,2022-02-26T13:09:40.9852268-08:00,2022-02-26T21:09:40.9852268Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,343f3761-206a-4786-a1a0-e6be152876ee,54.85973,-124.14243,13.49532,5.17148,0.03558,-12.91224,-0.54033,5.81561,-8.43623,,2.80789,122.41274,,,,,,,,2.67588,-15.92873,,,,,,,,0.6759,70.06746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
