PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
205,2022-04-09,12:41:30.06,4,3,"Hilton, Jake",1000115590,Left,POM_COL,"Ward, Kellen",1000126274,Left,WHI_COL1,Undefined,6,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,2,,85.38576,-0.775716,1.862623,2025.575743,152.109725,11:00,5.10781,-0.93051,5.87503,-22.69678,15.62276,-7.62839,2.49552,0.16436,78.11095,-5.043055,0.494459,0.445535,104.17698,28.64936,14.829182,2861.8622,105.83892,59.02194,29.96653,419.2196,,17.462846,5.533749,4.4441,8.58453,0.78444,50,5.03198,-3.72879,-124.00188,-2.36872,6.92022,24.77433,-18.80651,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,0dc03960-b83d-11ec-b537-c76278cba205,84.60044,95.48629,,7.27482,,,,2.10601,2.56856,-0.1922,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:41:30.06,2022-04-09T12:41:30.0676328-07:00,2022-04-09T19:41:30.0676328Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,666d2532-4d34-406f-aacf-381ec19642f1,54.62361,-124.92222,12.38717,5.10699,-1.67009,-9.40325,0.92774,-3.98587,3.46011,194.871707,2.1125,129.49623,-27.14567,6.47968,-1.02085,0.05166,0.01316,-0.00236,0.00011,2.56331,73.3444,-14.89422,-0.14611,0.21515,-0.0674,0.0175,-0.00255,0.00014,-0.19156,34.30673,-2.72692,-0.33624,0.29285,-0.08849,0.01531,-0.00143,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
81,2022-04-09,11:40:32.13,6,5,"Berber, Maximus",,Right,WHI_COL1,"Kim, Isaac",1000115624,Right,POM_COL,Undefined,2,Bottom,2,3,1,Slider,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,3,,76.42996,1.020827,-3.243758,2179.726314,13.182219,6:30,5.61577,2.61073,5.08944,-50.15873,-0.83063,-0.54795,2.39964,-0.49538,70.37139,-8.051033,-3.340476,0.505497,102.89203,25.510398,-23.398415,2111.976054,100.62704,48.5849,-44.43187,397.61514,,-27.68516,4.46587,-0.61528,-0.30492,-2.30327,50,5.67263,6.30028,-110.78898,0.25705,-0.76575,19.54038,-32.55356,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,8971f5c0-b834-11ec-9556-1f656bc23517,74.56511,70.08088,,6.05856,,,,2.02861,2.60099,0.48752,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,18:40:32.13,2022-04-09T11:40:32.1379048-07:00,2022-04-09T18:40:32.1379048Z,FlyBall,v3,POM_PIT,,,"Hernandez, Mike",1000126255,Right,WHI_COL1,e6ad2b55-efd7-436e-8ac4-1c267a454427,55.41092,-111.73926,9.77019,5.62163,1.84017,-16.27678,-2.61057,6.33752,-0.38287,165.112045,2.02797,125.01014,-23.70117,6.00719,-1.38301,0.32572,-0.06641,0.00851,-0.00047,2.60247,64.95764,-16.53176,0.19036,0.34397,-0.19317,0.05254,-0.00697,0.00036,0.48752,-54.08585,7.11199,-2.00544,0.46762,-0.10259,0.0193,-0.00238,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
14,2022-04-09,11:11:07.11,1,2,"Berber, Maximus",,Right,WHI_COL1,"Bedrosian, David",1000115604,Left,POM_COL,Undefined,1,Bottom,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,87.87716,-2.403349,-3.938817,2299.300514,229.150552,1:45,5.85223,2.34351,5.73955,-24.12391,12.45489,13.02745,1.59745,-0.24423,80.40014,-6.890298,-1.612898,0.435297,101.92652,25.018488,8.504743,2098.940645,108.49703,48.45083,18.11938,436.86266,,10.697833,5.206262,-7.81508,7.37449,-2.02372,50,5.63696,8.22807,-127.28043,-6.15017,-12.80639,26.38713,-20.08963,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,6d7507d0-b830-11ec-9556-1f656bc23517,86.59007,78.26365,,7.47702,,,,2.29216,1.75664,0.22421,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,18:11:07.11,2022-04-09T11:11:07.1155944-07:00,2022-04-09T18:11:07.1155944Z,FlyBall,v3,POM_PIT,,,"Hernandez, Mike",1000126255,Right,WHI_COL1,7750d773-86f4-4241-906e-060803e3206b,54.76039,-128.26353,13.19356,5.85215,-5.40169,-10.04481,-2.33917,8.7052,-6.4032,194.289825,2.29664,133.88383,-23.30302,5.04777,-0.67612,-0.01426,0.0234,-0.0034,0.00016,1.75234,63.30201,-13.30048,-0.07998,0.06147,-0.00101,0.00383,-0.00124,0.0001,0.22444,20.03036,0.10899,-0.91069,0.37125,-0.09391,0.01556,-0.00149,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
73,2022-04-09,11:36:46.80,4,3,"Berber, Maximus",,Right,WHI_COL1,"Bedrosian, David",1000115604,Left,POM_COL,Undefined,2,Bottom,1,0,2,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,1,,76.02792,0.587478,-2.876458,2072.784967,59.460115,8:00,5.50998,2.80034,5.05381,-49.7429,-0.00563,-2.50992,1.91951,-0.1239,70.28206,-8.392526,-3.319543,0.507589,101.32731,4.984761,1.908574,5634.554859,,,,116.29746,,1.74215,0.852761,0.49339,0.21413,-2.52425,50,5.52592,5.63829,-110.28441,-0.5685,0.61023,18.8325,-31.90919,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,03221c20-b834-11ec-9556-1f656bc23517,74.25777,4.30617,,5.74585,,,,2.19007,2.10178,0.13106,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,18:36:46.80,2022-04-09T11:36:46.8066536-07:00,2022-04-09T18:36:46.8066536Z,GroundBall,v3,POM_PIT,,,"Hernandez, Mike",1000126255,Right,WHI_COL1,7063374c-04b9-4ce2-b359-7a3f9b8a845b,55.44693,-111.21066,9.41625,5.51529,1.0009,-15.9546,-2.80082,5.60828,0.30511,19.754982,2.25637,146.90975,-15.61069,,,,,,,2.14708,12.19165,-17.30669,,,,,,,0.13684,4.83822,-1.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
177,2022-04-09,12:28:09.48,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Hernandez, Mike",1000126255,Right,WHI_COL1,Undefined,5,Top,0,0,1,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,2,0,,84.58608,-0.560707,0.886419,1929.96983,154.824037,11:15,5.22746,-1.08712,5.71025,-26.61076,12.91528,-5.44878,2.48744,-0.71529,76.94745,-5.533169,-0.088568,0.452494,100.35578,2.832234,9.049183,1226.831719,,,,83.80385,,10.97929,0.625235,3.04213,7.12567,1.01638,50,5.16419,-1.67693,-122.76853,-2.05137,4.6118,25.82737,-21.3717,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,30927a90-b83b-11ec-9556-1f656bc23517,83.29926,3.09565,,7.63863,,,,0.31889,2.38861,0.73295,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:28:09.48,2022-04-09T12:28:09.4826216-07:00,2022-04-09T19:28:09.4826216Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,6b3b54d3-f1e6-4e5a-ad24-3d1b39fa166a,54.787,-123.7715,12.91368,5.22774,-1.22143,-10.68585,1.08498,-1.85603,2.3059,285.247255,0.36592,144.15846,-21.16133,,,,,,,2.41146,6.77728,-17.0624,,,,,,,0.72186,23.36499,1.63791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
202,2022-04-09,12:40:21.35,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Vuz, Jared",1000126267,Right,WHI_COL1,Undefined,6,Top,2,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,84.19318,-0.543181,1.97458,1995.619598,143.464677,10:45,5.05345,-1.0977,5.89456,-24.2058,15.23245,-10.35099,2.53168,-0.12629,76.9153,-5.092366,0.117485,0.451991,99.68844,19.960914,-15.560598,1752.252704,105.77168,36.80943,-30.20508,372.66215,,-17.230435,3.946329,5.88461,8.33796,0.9448,50,4.99585,-3.80811,-122.25644,-1.88798,8.89392,24.41656,-19.57217,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,e4c81870-b83c-11ec-b537-c76278cba205,83.39193,49.94869,,7.27788,,,,2.02749,2.66481,0.10361,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:40:21.35,2022-04-09T12:40:21.3533928-07:00,2022-04-09T19:40:21.3533928Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,27e09c5b-53ee-4d3b-8f1c-2fdfc8f783d0,54.60397,-123.1725,12.20828,5.0529,-1.15368,-9.78609,1.09393,-4.14179,4.44696,168.224056,2.02676,132.41147,-22.58003,5.69747,-1.3028,0.2927,-0.05799,0.00762,-0.00044,2.66597,49.87721,-12.64664,-0.86283,0.56839,-0.20562,0.04811,-0.00596,0.00028,0.10372,-36.86814,3.82414,-0.62821,0.10798,-0.03184,0.00934,-0.00151,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
148,2022-04-09,12:11:05.76,1,7,"Hilton, Jake",1000115590,Left,POM_COL,"Barrett, Teige",1000126268,Right,WHI_COL1,Undefined,4,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,83.84189,-0.917902,0.824667,1991.839279,153.806155,11:15,5.20101,-1.0389,5.71884,-23.10415,17.14375,-7.76284,2.42049,-0.91758,76.19421,-5.270757,-0.564373,0.456607,98.62754,12.106965,3.653567,1846.696342,109.38076,19.36549,11.65417,275.25725,,9.134084,2.618692,4.21327,9.4052,0.97495,50,5.11029,-1.43853,-121.67589,-2.64489,6.26921,25.53836,-18.17934,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,ce5e2b00-b838-11ec-9556-1f656bc23517,82.54889,21.06175,,7.64768,,,,1.36069,2.46652,0.89302,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:11:05.76,2022-04-09T12:11:05.7673960-07:00,2022-04-09T19:11:05.7673960Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,f7546890-528d-4a2a-93b3-f20b6807ac1e,54.77852,-122.67475,12.76918,5.19983,-1.93386,-9.08967,1.03601,-1.68373,3.13461,218.184023,1.36069,141.14843,-22.10846,4.5409,-0.95406,0.19182,-0.03416,0.00442,-0.00028,2.46652,30.33928,-12.74898,0.29516,0.01608,-0.01156,0.00401,-0.00057,3E-05,0.89302,9.01291,4.95189,-1.39983,0.36164,-0.08325,0.01581,-0.0021,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
238,2022-04-09,12:56:13.96,8,4,"Kennedy, Zach",1000126259,Right,WHI_COL1,"Kim, Isaac",1000115624,Right,POM_COL,Undefined,6,Bottom,2,1,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,70.84454,1.438503,-0.594301,2329.517355,62.000874,8:00,5.26175,1.89659,5.25901,-60.87385,-2.9452,-9.45839,1.54079,0.55001,64.3562,-9.647502,-2.274977,0.547795,98.51278,19.028979,-40.844746,2923.991516,81.0509,24.72633,-74.3687,254.2247,,-49.177926,2.44403,4.56107,-1.42059,-1.83475,50,5.34843,1.40596,-102.67267,0.68088,4.78027,19.88071,-33.66291,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,1c9e2760-b83f-11ec-b537-c76278cba205,68.80757,25.51167,,6.48835,,,,2.48478,1.88673,-0.67076,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:56:13.96,2022-04-09T12:56:13.9690216-07:00,2022-04-09T19:56:13.9690216Z,LineDrive,v3,POM_PIT,,,"Hernandez, Mike",1000126255,Right,WHI_COL1,a87d7a1d-4e7e-49b4-a7be-f09bdf50e44a,55.23999,-103.68234,9.94035,5.27044,2.39049,-16.83146,-1.89998,1.16319,2.39014,,2.48464,103.33795,-17.04689,1.44052,-0.84729,0.83531,-0.50068,0.14932,-0.01709,1.88682,47.10309,-27.75809,4.92854,-0.8135,-0.08967,0.14977,-0.0476,0.00516,-0.67077,-89.33095,8.28269,-2.53362,0.6735,-0.19319,0.05671,-0.01381,0.00161,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
252,2022-04-09,13:03:29.04,3,4,"Hilton, Jake",1000115590,Left,POM_COL,"Hernandez, Mike",1000126255,Right,WHI_COL1,Undefined,7,Top,2,2,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,72.89142,0.368553,2.177914,1369.742501,138.234475,10:30,5.02262,-1.19271,6.31889,-40.08195,11.64142,-8.94225,2.02215,0.06898,66.93288,-7.128238,0.560389,0.517625,98.45697,25.053145,-37.664214,2559.166207,86.65512,38.53261,-67.75567,311.95501,,-46.368897,3.384773,5.2928,6.43221,1.03768,50,5.03039,-3.74257,-105.91194,-0.347,6.00768,18.20795,-24.87305,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,1ff52520-b840-11ec-b537-c76278cba205,72.81811,44.42229,,5.95855,,,,2.44873,2.10763,-0.00266,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,20:03:29.04,2022-04-09T13:03:29.0426088-07:00,2022-04-09T20:03:29.0426088Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,7a831d12-d5af-4a7a-b175-263b5f54948f,54.17984,-106.6281,9.10398,5.0248,0.63132,-12.43653,1.18953,-3.97886,3.00384,,2.44998,103.50555,-13.94695,-0.08247,1.32252,-0.9774,0.34706,-0.06049,0.00419,2.10722,61.16272,-26.95489,4.57537,-1.21432,0.32906,-0.05836,0.00493,-0.00011,-0.00271,-79.92998,9.48291,-3.03329,0.66457,-0.03948,-0.03633,0.01075,-0.00093,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
175,2022-04-09,12:26:59.53,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Gray, Cam",10030086,Right,WHI_COL1,Undefined,5,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.87053,-1.321744,1.408064,1842.476851,158.546827,11:15,5.20122,-1.09828,5.59362,-25.2336,15.59973,-5.53614,1.86374,-0.24468,75.569,-6.062937,0.419816,0.459916,98.13739,-4.425102,-6.030344,,,,,21.09024,,-5.20021,0.139517,3.26311,8.76178,0.98122,50,5.07188,-2.75583,-121.50984,-3.59121,4.7953,27.6011,-19.29811,POM_COL,WHI_COL1,PomonaPitzer,D3,Undefined,20220409-PomonaPitzer-1,06def8e0-b83b-11ec-9556-1f656bc23517,81.95501,1.93818,,8.30153,,,,1.42561,1.93818,0.2154,2acf1dd3-c321-4c8f-ada5-8bdbdc484077,2022-04-09,19:26:59.53,2022-04-09T12:26:59.5382504-07:00,2022-04-09T19:26:59.5382504Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,5bd9148d-6845-4b85-9a80-e12c63d8664b,54.90156,-122.61818,13.80055,5.20053,-2.81629,-9.64905,1.09574,-2.94838,2.39765,29.195009,1.42585,142.68871,-16.95879,,,,,,,1.93845,-11.13097,-19.81984,,,,,,,0.21546,-15.08113,-1.18058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
