PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-01-25,15:50:07.55,1,1,"Collins, Ethan",1000115647,Right,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8524,-2.662565,-0.746558,2158.375995,220.058749,1:15,6.90782,-0.142,6.56751,-18.77056,15.89292,12.39477,2.90091,0.2065,81.05675,-6.248354,1.507926,0.423748,,,,,,,,,,,,-6.69311,9.46875,0.18879,50,6.71642,1.19783,-129.03358,-6.49188,-11.22392,28.18999,-16.29558,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,86a3f350-7e39-11ec-b1d5-479ab0fc270a,88.95016,,,7.79565,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:50:07.55,2022-01-25T15:50:07.5516544-08:00,2022-01-25T23:50:07.5516544Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,cb3e3623-a560-4ddf-9ee8-8651d1907637,53.92954,-129.88923,14.09499,6.90596,-5.99726,-8.14779,0.14726,1.53851,-5.61196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-01-25,15:50:25.98,1,2,"Collins, Ethan",1000115647,Right,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.91358,-2.606076,-0.597873,1377.115236,227.976957,1:30,6.68845,0.34848,6.09875,-31.52325,10.17323,9.69989,1.64945,0.60383,74.76634,-8.471397,1.153225,0.464752,,,,,,,,,,,,-5.17914,6.48343,-0.30741,50,6.47141,0.8713,-118.82928,-6.35289,-7.33578,24.767,-22.99085,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,91a97400-7e39-11ec-b1d5-479ab0fc270a,81.10232,,,7.14724,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:50:25.98,2022-01-25T15:50:25.9839104-08:00,2022-01-25T23:50:25.9839104Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,22f04403-7807-431a-bdf3-aa896ab1980d,54.39798,-119.74242,12.3835,6.69001,-5.50524,-11.49543,-0.34452,1.14177,-3.66789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-01-25,15:50:44.39,1,3,"Collins, Ethan",1000115647,Right,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,1,Top,0,0,2,Fastball,Cutter,BallinDirt,Undefined,Undefined,Undefined,0,0,,88.82618,-4.828474,-1.719903,2203.784889,220.670721,1:15,6.78233,-0.17314,6.69282,-20.76844,13.74347,10.86075,0.62353,-0.84139,81.71066,-8.741047,0.261151,0.42282,,,,,,,,,,,,-6.27107,8.95941,0.28351,50,6.45163,3.47506,-128.76331,-11.44347,-10.52511,26.81624,-17.13696,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,9c9bbad0-7e39-11ec-b1d5-479ab0fc270a,89.14526,,,7.11552,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:50:44.39,2022-01-25T15:50:44.3931264-08:00,2022-01-25T23:50:44.3931264Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,671eb5ec-6a18-41ff-ba0b-b9d5680d5e43,53.8073,-129.5538,13.40812,6.78151,-10.93831,-8.56848,0.1765,3.78531,-5.26255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-01-25,15:51:17.76,1,4,"Collins, Ethan",1000115647,Right,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.01203,-0.740196,-0.892379,2541.616297,93.159775,9:00,6.55419,0.65319,5.89178,-46.04274,2.58362,-18.08745,2.02992,-1.68272,69.8123,-9.197768,-4.143931,0.501888,,,,,,,,,,,,8.96839,2.05768,-0.57114,50,6.46844,2.37539,-110.39327,-2.82198,10.97962,21.10488,-29.65491,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,b08821f0-7e39-11ec-b1d5-479ab0fc270a,75.10122,,,6.19972,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:51:17.76,2022-01-25T15:51:17.7667200-08:00,2022-01-25T23:51:17.7667200Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,1f116e66-7dad-4697-a4b0-c0620f71d777,54.60699,-111.27055,10.55244,6.56012,-1.5893,-14.82745,-0.66039,1.919,5.48981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-01-25,15:51:33.27,1,5,"Collins, Ethan",1000115647,Right,POM_COL1,"Lo, Kevin",1000115609,Left,POM_COL1,Undefined,1,Top,0,2,2,Fastball,Cutter,InPlay,Undefined,LineDrive,Out,1,0,,88.3533,-3.624351,-0.488386,2133.95442,198.477019,12:30,6.84975,-0.2295,6.63255,-13.39182,21.45186,6.7937,2.41094,-0.11052,80.94832,-6.228459,0.748294,0.424848,94.32122,12.168092,-15.889025,2706.07521,103.54264,17.83134,-37.13144,240.71128,,-24.626642,2.306366,-3.72815,12.67296,0.25994,50,6.59849,0.84178,-128.28716,-8.415,-6.21161,26.59232,-11.05914,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,b9c05cb0-7e39-11ec-b1d5-479ab0fc270a,88.71983,18.27017,,7.40498,,,,1.51646,2.46381,0.1094,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:51:33.27,2022-01-25T15:51:33.2759680-08:00,2022-01-25T23:51:33.2759680Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,042626f3-8efc-4db7-87ca-b262a5ac0d5c,53.8663,-129.08611,13.29616,6.84633,-8.08273,-5.52957,0.23184,1.02841,-3.10581,121.251246,1.51644,130.06495,-23.42875,5.05591,-0.97169,0.13667,-0.00809,-0.00152,0.0003,2.46385,29.15546,-13.50821,-0.09601,0.16565,-0.00974,-0.01437,0.00573,-0.00069,0.10935,-37.01858,-6.21871,2.57992,-0.71245,0.11796,-0.00159,-0.00398,0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2022-01-25,15:52:06.24,2,1,"Collins, Ethan",1000115647,Right,POM_COL1,"Damelio, Jack",1000115651,Right,POM_COL1,Undefined,1,Top,1,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.30933,-2.245977,0.427563,2131.652907,225.396017,1:30,6.9251,-0.29193,6.48773,-17.7493,17.5545,16.58324,3.3829,1.48255,80.30908,-5.650822,3.437353,0.427644,,,,,,,,,,,,-8.64941,10.27796,0.25472,50,6.75962,-1.57816,-128.28484,-5.48973,-14.2612,29.1599,-15.2277,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,cd68dd00-7e39-11ec-b1d5-479ab0fc270a,88.13981,,,8.00025,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:52:06.24,2022-01-25T15:52:06.2438528-08:00,2022-01-25T23:52:06.2438528Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,020ee596-cd54-4b4e-a0bc-67f11edfdd7f,54.01182,-129.19353,14.57995,6.92329,-5.0152,-7.61385,0.29698,-1.13375,-7.1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-01-25,15:52:23.23,2,2,"Collins, Ethan",1000115647,Right,POM_COL1,"Damelio, Jack",1000115651,Right,POM_COL1,Undefined,1,Top,1,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.44344,-1.617041,-1.499041,2140.645276,206.435889,1:00,6.88612,-0.34965,6.71917,-19.41308,16.09009,7.42284,3.78943,-1.10157,79.77692,-5.343167,-0.145818,0.42885,,,,,,,,,,,,-4.30622,9.2956,0.44652,50,6.77114,3.04045,-127.0558,-4.06895,-7.0152,26.86282,-17.03082,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,d78f6f60-7e39-11ec-b1d5-479ab0fc270a,87.89194,,,7.66652,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:52:23.23,2022-01-25T15:52:23.2304256-08:00,2022-01-25T23:52:23.2304256Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,9fc65089-1037-43bb-be99-830c02b89e1e,53.77642,-127.85174,13.43141,6.88422,-3.56433,-8.51541,0.35336,3.24831,-3.5076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-01-25,15:52:39.66,2,3,"Collins, Ethan",1000115647,Right,POM_COL1,"Damelio, Jack",1000115651,Right,POM_COL1,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,86.33688,-2.337737,-0.905061,2093.113082,213.201699,1:00,6.82211,-0.04374,6.69458,-22.0345,14.40914,8.65449,2.84667,-0.15025,78.97458,-6.529753,0.673182,0.434492,92.08049,17.186451,-21.132759,1298.537519,100.55048,24.93301,-44.60309,268.00416,,-27.687925,2.633846,-4.84548,8.64886,0.10083,50,6.65757,1.67014,-125.46964,-5.69761,-7.69484,26.28773,-18.43925,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,e153bd80-7e39-11ec-b1d5-479ab0fc270a,86.75052,26.13615,,7.3623,,,,0.77271,2.85907,0.12219,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:52:39.66,2022-01-25T15:52:39.6633216-08:00,2022-01-25T23:52:39.6633216Z,LineDrive,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,0a008cd6-6733-4bae-8fb3-c62581054635,53.80386,-126.26409,13.14386,6.82134,-5.14035,-9.21963,0.04684,1.90269,-3.84742,107.685575,0.77247,120.35642,-17.3758,3.89183,-1.34213,0.64718,-0.27294,0.06473,-0.00615,2.8592,39.89857,-18.73124,1.46624,0.05781,-0.22207,0.11939,-0.02882,0.00261,0.12222,-46.51778,-2.80286,1.94941,-0.6106,0.1087,-0.00443,-0.00234,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2022-01-25,15:53:20.00,3,1,"Collins, Ethan",1000115647,Right,POM_COL1,"Millikan, Caleb",1000115589,Left,POM_COL1,Undefined,1,Top,2,0,0,Fastball,Cutter,InPlay,Undefined,FlyBall,Single,0,0,,87.7783,-3.204445,-0.135588,2117.1138,218.817491,1:15,6.88893,-0.31781,6.40074,-16.41702,19.26714,14.56402,2.57097,0.77117,80.29718,-6.348103,2.504237,0.429941,62.0635,37.73585,0.76424,,109.93216,52.53684,-3.86064,207.63379,,-3.155265,3.868113,-7.67119,11.34859,0.3211,50,6.65136,-0.25535,-127.4477,-7.54941,-12.57739,26.96679,-13.56738,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,f95fe610-7e39-11ec-b1d5-479ab0fc270a,87.66878,52.53531,,7.48112,,,,1.69639,2.6802,-0.75322,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:53:20.00,2022-01-25T15:53:20.0043648-08:00,2022-01-25T23:53:20.0043648Z,FlyBall,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,a53d647b-ffa4-4214-b921-ea22bbcd4dd0,54.09823,-128.31192,13.48339,6.88633,-7.1146,-6.78369,0.32282,0.14772,-6.28869,164.593207,1.69738,71.9493,-10.68242,2.44886,-0.09324,-0.20036,0.0809,-0.01331,0.00082,2.67905,55.74282,-16.85934,1.03885,-0.35609,0.13491,-0.02509,0.00148,3E-05,-0.75304,0.95463,-2.26571,0.58531,-0.05485,-0.02952,0.01423,-0.00248,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2022-01-25,15:54:05.07,4,1,"Collins, Ethan",1000115647,Right,POM_COL1,"Kim, Isaac",1000115624,Right,POM_COL1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.27262,-0.268303,0.316892,2174.07846,215.121972,1:15,6.95557,0.04286,6.59821,-21.02048,14.60123,9.49725,4.95806,1.12462,79.89381,-4.276909,2.044283,0.429565,,,,,,,,,,,,-4.8539,8.07996,-0.06768,50,6.92822,-1.06919,-126.92653,-1.15144,-7.92376,25.81336,-18.9839,POM_COL1,POM_COL1,PomonaPitzer,TeamExclusive,Team,20220125-PomonaPitzer-Private-1,144916e0-7e3a-11ec-b1d5-479ab0fc270a,87.74559,,,7.37882,,,,,,,62a47251-01dc-4baf-ab76-fbc4bf592d1d,2022-01-25,23:54:05.07,2022-01-25T15:54:05.0701952-08:00,2022-01-25T23:54:05.0701952Z,,v3,pom_pitprac,pom_pitprac,,"Nishi, Ryan",1000115618,Right,POM_COL1,bf0bddf5-0112-441a-8dd4-5746825fed98,53.89816,-127.71685,12.90668,6.95457,-0.57022,-9.49195,-0.03866,-0.82659,-3.96188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
