PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-26,14:07:56.83,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.51419,0.237445,-0.731435,1847.058053,147.613159,11:00,5.42415,-1.1204,5.67449,-27.96911,12.40607,-7.0641,3.31478,-2.39101,76.36112,-4.969648,-1.994024,0.457329,,,,,,,,,,,,3.3641,6.62343,1.18651,50,5.42673,1.83938,-121.26509,-0.39592,5.00799,23.77344,-22.31406,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,cf82a920-ad48-11ec-8af4-4bc646c89190,82.41864,,,7.15307,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:07:56.83,2022-03-26T14:07:56.8328744-07:00,2022-03-26T21:07:56.8328744Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,07b08ea0-70d2-4bab-94c7-6c10c0e4e237,54.82194,-122.20675,11.88672,5.42491,0.48794,-11.15703,1.11758,1.64102,2.50399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-26,14:08:11.06,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.30245,-1.511499,1.379347,1888.007693,147.327304,11:00,5.40234,-1.04327,5.91019,-26.46167,14.12186,-8.15705,1.79357,-0.44252,75.6954,-6.476343,-0.08589,0.458507,,,,,,,,,,,,4.58051,8.10985,0.93716,50,5.26609,-2.58324,-120.83969,-3.98549,6.71145,25.54119,-20.29135,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,d7fc9cf0-ad48-11ec-8af4-4bc646c89190,82.20682,,,7.60705,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:08:11.06,2022-03-26T14:08:11.0658600-07:00,2022-03-26T21:08:11.0658600Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,b460c0c1-7855-4852-b5c9-bbda92874f15,54.5856,-121.80507,12.7706,5.40223,-3.21854,-10.14568,1.03959,-2.83692,3.35573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-26,14:08:23.99,1,3,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.19,1.06449,0.807902,1305.433264,116.04088,9:45,5.14376,-1.41745,5.80134,-42.77648,7.16481,-11.21993,2.56931,-1.601,68.45135,-6.865252,-1.203469,0.508629,,,,,,,,,,,,5.92055,3.87201,1.35763,50,5.20605,-1.12313,-109.10899,0.75087,7.07932,20.64873,-27.54422,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,dfb9a960-ad48-11ec-8af4-4bc646c89190,74.10595,,,6.73865,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:08:23.99,2022-03-26T14:08:23.9944744-07:00,2022-03-26T21:08:23.9944744Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,b48c8297-64a7-44bb-988c-bf49c71a8b5e,54.69465,-109.99386,10.32436,5.14858,1.93123,-13.77211,1.41226,-1.4265,3.53966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-26,14:08:38.89,1,4,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.91008,-1.9031,1.473613,1934.537098,153.542455,11:00,5.3986,-0.86627,5.95475,-22.73808,18.3345,-8.38819,1.73763,-0.19839,75.01423,-6.217462,-0.033842,0.461262,,,,,,,,,,,,4.75819,10.43438,0.75381,50,5.23473,-2.76036,-120.20345,-4.62822,6.87027,26.15548,-17.10802,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,e893be90-ad48-11ec-8af4-4bc646c89190,81.71595,,,7.89585,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:08:38.89,2022-03-26T14:08:38.8968488-07:00,2022-03-26T21:08:38.8968488Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,39b04c16-17aa-4ce5-aa81-f843f2ad7860,54.54072,-121.18746,13.07774,5.39674,-3.9846,-8.55401,0.86252,-3.01883,3.43513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-26,14:09:02.15,1,5,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.73398,2.913875,-0.663658,1284.194937,108.177037,9:30,5.10999,-1.3799,5.68739,-47.4468,4.47083,-8.67922,3.87448,-2.72176,67.39753,-5.83576,-2.213968,0.518595,,,,,,,,,,,,4.19347,1.97693,1.44113,50,5.32582,1.55572,-106.94571,4.01314,4.85183,18.61605,-29.88675,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,f6711760-ad48-11ec-8af4-4bc646c89190,72.68178,,,6.33646,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:09:02.15,2022-03-26T14:09:02.1584936-07:00,2022-03-26T21:09:02.1584936Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,f2fede09-8686-4bf7-8bf9-ccb977670c1f,54.81,-107.77973,9.30803,5.11604,5.35211,-14.94337,1.3763,1.33835,2.42592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-26,14:09:19.54,1,6,"Hilton, Jake",1000115590,Left,POM_COL,"Fishel, Jack",1000124702,Right,CAL_TEC,Undefined,1,Top,0,3,2,Fastball,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,83.99288,0.040194,0.739163,1829.368053,161.430916,11:30,5.41063,-0.9288,5.87095,-27.13226,12.47335,-3.77071,3.18695,-0.55642,76.79722,-5.032658,0.062557,0.45295,89.78449,29.289929,6.699777,3591.934869,108.57662,56.48,17.63753,347.61952,,12.383621,4.808535,2.15055,6.74508,0.87126,50,5.39815,-1.42686,-122.03156,-0.75785,3.23945,24.25063,-22.01363,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,00e1d220-ad49-11ec-8af4-4bc646c89190,83.21551,73.85041,,7.19566,,,,1.66012,3.31631,0.55029,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:09:19.54,2022-03-26T14:09:19.5454504-07:00,2022-03-26T21:09:19.5454504Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,d5620dca-26ff-4e91-b8f7-e0f607abd4db,54.62768,-122.94775,12.12532,5.41108,0.07383,-11.00681,0.92748,-1.54925,1.61972,202.552574,1.66341,113.99019,-21.15239,4.77951,-0.62687,-0.03552,0.03084,-0.00459,0.00023,3.31384,64.47256,-15.58949,0.2916,0.0827,-0.0447,0.0186,-0.00358,0.00024,0.54995,13.40776,2.758,-1.33886,0.37097,-0.06595,0.00706,-0.00041,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2022-03-26,14:09:53.20,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Warren, Jack",1000124695,Left,CAL_TEC,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.46552,2.54343,0.590891,2076.975703,335.525278,5:15,5.24824,-1.03102,5.90853,-70.61291,-12.70544,6.59083,1.72628,0.06669,64.15894,-10.36653,1.776816,0.547695,,,,,,,,,,,,-3.20339,-6.67492,0.97986,50,5.41231,-1.25805,-100.9464,2.45535,-3.29611,16.86694,-39.04216,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,14e591d0-ad49-11ec-8af4-4bc646c89190,68.82015,,,5.30657,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:09:53.20,2022-03-26T14:09:53.2063784-07:00,2022-03-26T21:09:53.2063784Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,66a78ec8-768b-4234-93c3-d652554f52bf,54.59503,-101.71128,8.43347,5.26082,4.22582,-19.52108,1.03351,-1.10858,-1.64805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-03-26,14:10:06.91,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Warren, Jack",1000124695,Left,CAL_TEC,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,69.60951,3.138734,0.654955,2035.648007,335.996841,5:15,5.29145,-1.08882,5.79354,-71.57673,-13.54501,6.83304,2.24947,0.08986,64.11077,-9.930742,1.880871,0.548282,95.53666,-7.084034,16.417657,,,,,21.39863,,13.914404,0.138393,-3.32811,-7.43646,1.03064,50,5.50614,-1.37844,-101.08598,3.47505,-3.43011,17.08219,-39.83846,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,1d15d270-ad49-11ec-8af4-4bc646c89190,68.74643,2.58301,,5.49875,,,,2.77276,2.58301,0.01443,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:10:06.91,2022-03-26T14:10:06.9173800-07:00,2022-03-26T21:10:06.9173800Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,86353a9c-9c45-4bd2-b7d9-05fd23d134e3,54.71063,-101.8789,8.5411,5.30191,5.32428,-19.91923,1.09093,-1.21923,-1.71506,106.522642,2.77344,133.31648,-23.67761,,,,,,,2.58304,-17.28398,-9.97763,,,,,,,0.01504,39.24263,-15.70369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2022-03-26,14:10:37.34,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Beutler, Dawson",1000124700,Right,CAL_TEC,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.77672,3.615909,-0.266453,1781.782199,349.35918,5:45,5.25756,-1.04101,5.67399,-73.48528,-11.75442,2.58236,2.50935,-1.07423,62.16359,-9.79963,0.19565,0.565487,,,,,,,,,,,,-1.37583,-6.2791,1.06189,50,5.5174,0.3691,-98.30505,4.05966,-1.33801,16.48329,-38.28061,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,2f358fe0-ad49-11ec-8af4-4bc646c89190,66.65484,,,5.61313,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:10:37.34,2022-03-26T14:10:37.3491240-07:00,2022-03-26T21:10:37.3491240Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,9f86d750-3dae-40d4-b809-6655fd1bfced,54.82801,-99.11128,8.24164,5.27304,5.93204,-19.14031,1.04224,0.43454,-0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-26,14:10:51.98,3,2,"Hilton, Jake",1000115590,Left,POM_COL,"Beutler, Dawson",1000124700,Right,CAL_TEC,Undefined,1,Top,2,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,84.36484,-0.437811,0.652584,2072.384898,167.817691,11:30,5.45224,-0.97181,6.05724,-18.53036,20.59655,-4.16882,3.50277,-0.71516,76.75769,-3.991554,-0.097859,0.450204,,,,,,,,,,,,2.3363,11.11973,0.92333,50,5.40828,-1.23193,-122.53427,-1.41962,3.53568,25.25813,-15.34595,POM_COL,CAL_TEC,PomonaPitzer,D3,Team,20220326-PomonaPitzer-2,37e90a40-ad49-11ec-8af4-4bc646c89190,83.72304,,,7.60715,,,,,,,f7b82c19-057f-4fcf-b87a-d7cca3b235d4,2022-03-26,21:10:51.98,2022-03-26T14:10:51.9875112-07:00,2022-03-26T21:10:51.9875112Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8c70278d-6b24-4247-98c2-17014d8f9a0f,54.43949,-123.446,12.62907,5.44952,-0.86569,-7.67298,0.9701,-1.35955,1.76784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
