PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-06,12:03:27.02,1,1,"Woods, Eamonn",1000115603,Right,POM_COL,"Miller, Jared",1000093369,Right,GEO_FOX,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.31433,0.110562,-1.661768,1693.651174,229.401286,1:45,5.34166,0.4226,5.79026,-26.93096,9.9306,10.2002,3.20031,-0.27368,79.61091,-4.910442,0.165257,0.436977,,,,,,,,,,,,-5.63473,5.39969,-0.29175,50,5.33475,3.24003,-126.75022,-0.65504,-9.14526,26.4705,-23.41027,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,d90fd170-8787-11ec-a452-4f0804f44eef,86.25732,,,7.70342,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:03:27.02,2022-02-06T12:03:27.0230738-08:00,2022-02-06T20:03:27.0230738Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,ea68c245-8012-40d3-b399-e24457a01555,54.70627,-127.7293,13.23525,5.34297,0.21085,-11.70513,-0.41784,3.57829,-4.57263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-06,12:03:42.32,1,2,"Woods, Eamonn",1000115603,Right,POM_COL,"Miller, Jared",1000093369,Right,GEO_FOX,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.8271,0.540148,-1.506719,1648.836192,226.874324,1:30,5.36878,0.62749,5.87353,-26.0145,10.96402,10.49583,3.70278,0.10239,79.48497,-4.318498,0.37593,0.437669,,,,,,,,,,,,-5.73426,5.81587,-0.51149,50,5.39744,2.87583,-126.12389,0.34429,-9.26153,25.00272,-22.78071,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,e236f530-8787-11ec-a452-4f0804f44eef,86.12079,,,7.34212,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:03:42.32,2022-02-06T12:03:42.3202514-08:00,2022-02-06T20:03:42.3202514Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,655e7269-3dcb-4334-9814-bd5c97ac4ef4,54.62351,-127.03714,12.50136,5.36967,1.17639,-11.39035,-0.62272,3.21412,-4.63076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-06,12:03:58.11,1,3,"Woods, Eamonn",1000115603,Right,POM_COL,"Miller, Jared",1000093369,Right,GEO_FOX,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.51426,0.668689,-0.989457,1721.904548,234.821618,1:45,5.30206,0.63884,5.85151,-27.79635,9.36044,11.71918,3.60715,0.69596,79.4634,-4.501043,1.112486,0.438723,,,,,,,,,,,,-6.21303,4.96189,-0.56511,50,5.34017,1.68238,-125.73551,0.54756,-10.00193,24.15758,-24.18621,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,eba1b1a0-8787-11ec-a452-4f0804f44eef,85.91395,,,7.05086,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:03:58.11,2022-02-06T12:03:58.1168338-08:00,2022-02-06T20:03:58.1168338Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,ff5f0f1a-8432-40cd-a236-3b927de226b2,54.64642,-126.62508,12.07879,5.30361,1.43818,-12.09311,-0.63384,2.05069,-5.00097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-06,12:04:11.78,1,4,"Woods, Eamonn",1000115603,Right,POM_COL,"Miller, Jared",1000093369,Right,GEO_FOX,Undefined,1,Top,0,3,0,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,86.65563,0.583904,-1.515185,1750.446976,236.861291,2:00,5.32735,0.50781,5.89279,-27.00454,9.96308,13.58867,3.61931,0.23309,79.6151,-4.445985,0.92341,0.437605,,,,,,,,,,,,-7.30957,5.29607,-0.39336,50,5.35886,2.76632,-125.93842,0.4002,-11.81149,24.10713,-23.6162,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,f3bd31c0-8787-11ec-a452-4f0804f44eef,86.13351,,,7.04053,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:04:11.78,2022-02-06T12:04:11.7851346-08:00,2022-02-06T20:04:11.7851346Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,110464e2-de3e-41d3-806f-f4999c1d404b,54.60544,-126.81693,12.05356,5.3286,1.26082,-11.8081,-0.50201,3.19676,-5.90574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-06,12:04:44.58,2,1,"Woods, Eamonn",1000115603,Right,POM_COL,"King, Brandon",1000114934,Right,GEO_FOX,Undefined,1,Top,0,0,0,Fastball,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,85.7032,-3.318027,-2.538951,1725.033683,231.868806,1:45,5.26267,0.10531,5.91469,-26.8723,10.98422,12.55493,-0.06255,-1.20634,79.30174,-8.279031,-0.283436,0.442835,,,,,,,,,,,,-7.1454,6.83343,0.0909,50,4.98076,5.02324,-124.33298,-8.07661,-11.26815,23.19519,-21.39788,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,074ab000-8788-11ec-a452-4f0804f44eef,85.11628,,,6.40146,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:04:44.58,2022-02-06T12:04:44.5820000-08:00,2022-02-06T20:04:44.5820000Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,5db10f13-df24-4465-8a46-e1d6f8e4aa43,54.58579,-125.18557,11.5976,5.26318,-7.29009,-10.69894,-0.10135,5.43742,-5.63407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.87933,,,1.510596,,,,-0.73889,5.48921,2.59721,127.27838,0.81962,10.22989,-0.56604,96.67844,-8.02287,5.66666,20.68265,-15.86897,2.63986,6.9811,-1.30717,High,High,High,,,High,High,High
6,2022-02-06,12:05:14.72,2,2,"Woods, Eamonn",1000115603,Right,POM_COL,"King, Brandon",1000114934,Right,GEO_FOX,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.4114,-1.051609,-2.487478,1978.920385,238.063312,2:00,5.28599,0.58251,5.97769,-25.83962,11.5328,16.56465,2.15684,-0.34439,78.94976,-5.885866,0.489526,0.439994,,,,,,,,,,,,-9.17256,6.5889,-0.39469,50,5.1885,4.76969,-125.43119,-3.11955,-14.58754,25.78441,-21.69546,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,194c3710-8788-11ec-a452-4f0804f44eef,85.66578,,,7.46165,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:05:14.72,2022-02-06T12:05:14.7284690-08:00,2022-02-06T20:05:14.7284690Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,ed667a3f-5abd-487c-8115-5f54fa0fa31f,54.52029,-126.35699,12.89221,5.28652,-2.34056,-10.84773,-0.57535,5.29346,-7.29377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-06,12:05:36.15,2,3,"Woods, Eamonn",1000115603,Right,POM_COL,"King, Brandon",1000114934,Right,GEO_FOX,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.30185,-1.919564,-3.099989,1869.07164,229.680995,1:45,5.30096,0.39156,5.91606,-23.24832,13.30705,14.35076,1.57887,-1.29231,80.21103,-6.26221,-0.525992,0.435158,,,,,,,,,,,,-8.16882,7.6776,-0.15108,50,5.13362,6.26993,-126.66986,-4.9863,-13.33122,24.79853,-19.6445,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,2608dda0-8788-11ec-a452-4f0804f44eef,86.61783,,,7.09082,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:05:36.15,2022-02-06T12:05:36.1554130-08:00,2022-02-06T20:05:36.1554130Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,7af84709-42e1-4feb-b7ed-8ab4ce093b77,54.58276,-127.56388,12.39927,5.30062,-4.27808,-9.82225,-0.38579,6.75054,-6.66561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-06,12:05:58.28,2,4,"Woods, Eamonn",1000115603,Right,POM_COL,"King, Brandon",1000114934,Right,GEO_FOX,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.07139,-2.053829,-2.942732,1955.455734,232.691149,1:45,5.38032,0.50482,5.87887,-26.16529,11.50154,13.56772,1.28915,-1.09987,79.16546,-6.914217,-0.509572,0.441724,,,,,,,,,,,,-7.75737,6.79229,-0.27494,50,5.19898,5.87548,-124.89303,-5.32546,-12.30026,24.24131,-21.40405,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,333b0250-8788-11ec-a452-4f0804f44eef,85.33035,,,6.90594,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:05:58.28,2022-02-06T12:05:58.2877906-08:00,2022-02-06T20:05:58.2877906Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,dd5e85a2-b14d-4374-ba7d-9138775ee1ff,54.62062,-125.78668,12.12066,5.38076,-4.5364,-10.70202,-0.4999,6.32893,-6.15013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-06,12:06:19.81,2,5,"Woods, Eamonn",1000115603,Right,POM_COL,"King, Brandon",1000114934,Right,GEO_FOX,Undefined,1,Top,0,3,1,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,86.84345,0.753608,-2.272357,1746.951767,227.069911,1:30,5.30012,0.6197,5.85233,-23.74375,13.72481,13.36607,4.02229,-0.37897,78.48557,-3.727738,0.122402,0.44056,,,,,,,,,,,,-7.43556,7.15063,-0.44243,50,5.34765,4.41943,-125.91606,0.91852,-11.82519,27.81405,-20.80199,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,40112450-8788-11ec-a452-4f0804f44eef,85.55581,,,8.35788,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:06:19.81,2022-02-06T12:06:19.8190000-08:00,2022-02-06T20:06:19.8190000Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,ebdc6479-4f92-4344-a50e-dc3446644212,54.64242,-126.9374,13.90702,5.2999,1.68238,-10.40099,-0.61268,4.85365,-5.9126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.76962,2.092144,0.639898,1.452246,-2.22476,3.77368,0.36599,-2.60922,5.44491,1.74846,127.2807,5.39884,4.14149,-2.35979,99.86514,-7.27309,5.54016,18.91552,-13.08039,1.66061,-1.01058,1.86417,High,High,High,,,High,High,High
10,2022-02-06,12:06:58.00,3,1,"Woods, Eamonn",1000115603,Right,POM_COL,"Sangalang, Jeremy",1000093373,Right,GEO_FOX,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.8271,-0.077873,-2.676531,1693.931844,236.67956,2:00,5.14742,0.75594,5.88576,-27.53376,10.3826,13.98678,2.78055,-0.56569,78.531,-5.211189,-0.168644,0.443185,,,,,,,,,,,,-7.8491,5.70406,-0.54779,50,5.12532,5.24633,-124.58954,-1.05942,-12.35406,24.71366,-23.19617,POM_COL,GEO_FOX,PomonaPitzer,D3,Team,20220206-PomonaPitzer-1,56e430a0-8788-11ec-a452-4f0804f44eef,85.04906,,,7.29611,,,,,,,07f098a8-28a7-480e-a457-5f77b964afaa,2022-02-06,20:06:58.00,2022-02-06T12:06:58.0093138-08:00,2022-02-06T20:06:58.0093138Z,,v3,POM_PIT,gfox,,"Nishimura, Matthew",1000115650,Right,POM_COL,aa47df85-fcba-4695-bfd6-0b55f911510c,54.61196,-125.50104,12.35683,5.14862,-0.20389,-11.59809,-0.74969,5.70198,-6.17703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
