PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-05,11:03:56.15,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.06636,-2.49229,1.298369,2077.97159,149.548851,11:00,5.29845,-1.31204,5.91702,-20.01399,18.21395,-9.89044,1.31563,-0.9311,77.78237,-6.298873,-0.478119,0.445002,,,,,,,,,,,,5.44803,10.51355,1.21349,50,5.08738,-2.41428,-124.7171,-5.99594,8.46221,28.32021,-15.84384,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,5e540fe0-86b6-11ec-8f08-6fad8b22437f,84.70176,,,8.28399,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:03:56.15,2022-02-05T11:03:56.1514404-08:00,2022-02-05T19:03:56.1514404Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,e08d280a-722b-4b29-b383-d6d75dcf4c6d,54.57792,-125.75233,14.16011,5.29597,-5.41678,-7.92192,1.3074,-2.72362,4.23111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-05,11:04:13.72,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.20815,-3.399651,3.481875,2051.456819,155.848084,11:15,5.23953,-1.40405,5.97066,-18.38651,19.49194,-8.15768,0.54596,1.14817,78.53451,-6.890946,2.019101,0.442963,,,,,,,,,,,,5.23681,11.41497,1.13271,50,4.95949,-7.26685,-124.77452,-7.93727,8.20921,26.42803,-14.27995,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,68dc4a40-86b6-11ec-8f08-6fad8b22437f,85.09163,,,7.67365,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:04:13.72,2022-02-05T11:04:13.7207716-08:00,2022-02-05T19:04:13.7207716Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,4844242f-2fca-4ffd-9f78-2816444b38c9,54.52739,-125.7298,13.21401,5.23706,-7.42111,-7.13998,1.40074,-7.56358,4.1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-05,11:04:31.25,1,3,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.47021,-2.557295,2.398192,1929.07872,154.323957,11:15,5.21351,-1.27193,6.01632,-19.82166,18.45009,-8.25646,1.18922,0.26279,77.99696,-6.314048,0.913957,0.445257,,,,,,,,,,,,4.9278,10.60512,1.08829,50,5.00197,-4.8595,-123.93063,-6.09395,7.63826,25.54168,-15.7358,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,73370c00-86b6-11ec-8f08-6fad8b22437f,84.65326,,,7.47325,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:04:31.25,2022-02-05T11:04:31.2500132-08:00,2022-02-05T19:04:31.2500132Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,91ba43e7-5729-4355-8c39-e8dcbbd95e50,54.48061,-124.85066,12.77084,5.21126,-5.52714,-7.8679,1.26829,-5.13464,3.81913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-05,11:04:49.54,1,4,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.23225,-1.377384,1.880851,2098.432428,145.227415,10:45,5.24748,-1.33605,5.90501,-22.01493,16.90158,-10.76973,2.13342,-0.48701,77.05062,-5.552524,-0.052161,0.448992,,,,,,,,,,,,6.06115,9.47737,1.19089,50,5.12432,-3.61042,-123.56584,-3.61153,9.25569,27.45223,-17.70162,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,7e1e0830-86b6-11ec-8f08-6fad8b22437f,83.94904,,,8.18164,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:04:49.54,2022-02-05T11:04:49.5469988-08:00,2022-02-05T19:04:49.5469988Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,973a1a66-a6ee-4097-ad6f-89c3d352747c,54.58985,-124.58138,13.72612,5.24581,-2.9567,-8.85081,1.33079,-3.95281,4.62784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-05,11:05:07.92,1,5,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.46604,-1.876102,1.57535,2120.688722,144.787111,10:45,5.29146,-1.34269,5.80272,-19.6382,18.29611,-11.95993,1.90882,-0.87386,78.23023,-5.608756,-0.567612,0.443289,,,,,,,,,,,,6.53776,10.28713,1.22028,50,5.12574,-2.93614,-125.33559,-4.67439,10.28246,27.99551,-15.99464,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,890c3050-86b6-11ec-8f08-6fad8b22437f,85.02896,,,8.2358,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:05:07.92,2022-02-05T11:05:07.9260580-08:00,2022-02-05T19:05:07.9260580Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,40ae2b2d-e34d-45f8-9ab2-ab11d40e718b,54.69223,-126.37932,13.99775,5.2889,-4.07808,-7.99732,1.33689,-3.31949,5.14123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-05,11:05:42.11,1,6,"Hilton, Jake",1000115590,Left,POM_COL,"Moore, Dylan",1000085198,Right,LEW_CLA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,85.58493,-2.937356,3.471021,2125.103588,152.910719,11:00,5.21253,-1.30136,6.35221,-19.39706,18.32186,-8.73323,0.8851,1.16966,78.21485,-6.631222,1.893542,0.442029,,,,,,,,,,,,5.52764,10.75465,1.05322,50,4.98968,-7.18897,-124.02609,-6.88033,8.59142,25.30695,-15.45852,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,9d7a4a90-86b6-11ec-8f08-6fad8b22437f,85.27136,,,7.37008,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:05:42.11,2022-02-05T11:05:42.1164452-08:00,2022-02-05T19:05:42.1164452Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,85428794-e2b8-40fe-86ae-b17e904351cb,54.14516,-124.86903,12.65347,5.21027,-6.36543,-7.72926,1.29744,-7.47514,4.29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-05,11:06:13.44,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Bailey, Justin",1000085219,Right,LEW_CLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.18199,-1.047453,2.137282,2050.340302,149.381187,11:00,5.30569,-1.30988,5.85322,-18.83044,19.05611,-10.52414,2.76246,-0.20011,78.31051,-4.634357,0.25119,0.44301,52.75831,49.558052,-165.169103,3067.735602,,,,,,,,6.05217,10.45024,1.14261,50,5.20978,-4.24169,-125.05527,-2.82761,9.52339,26.71252,-15.73008,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,b0235c40-86b6-11ec-8f08-6fad8b22437f,85.08252,15.73653,,7.87147,,,,2.64943,2.97157,0.19021,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:06:13.44,2022-02-05T11:06:13.4440356-08:00,2022-02-05T19:06:13.4440356Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,1bf3aaa5-28b5-4e0b-9e86-3bac0dfd5539,54.64512,-126.04359,13.35626,5.30363,-2.24563,-7.86504,1.30606,-4.59404,4.7617,32.208594,2.64983,-48.54433,1.04209,,,,,,,2.97307,58.80669,-22.88113,,,,,,,0.1894,-12.8028,3.97107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2022-02-05,11:06:41.17,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Bailey, Justin",1000085219,Right,LEW_CLA,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.17105,0.506421,1.37125,1625.470163,149.923997,11:00,5.23157,-1.3524,6.07934,-28.30505,11.05233,-5.64508,3.3415,-0.5539,76.51098,-4.811097,0.354731,0.451528,,,,,,,,,,,,3.30323,5.94052,1.24931,50,5.25579,-2.70199,-122.209,0.22136,4.96404,25.50418,-23.24675,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,c0a918c0-86b6-11ec-8f08-6fad8b22437f,83.47755,,,7.66007,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:06:41.17,2022-02-05T11:06:41.1735972-08:00,2022-02-05T19:06:41.1735972Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,d42d5acc-16b5-4792-99ef-71bff673d816,54.41697,-123.12734,12.75209,5.23275,1.05842,-11.62337,1.34982,-2.88074,2.48202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-05,11:07:01.41,2,3,"Hilton, Jake",1000115590,Left,POM_COL,"Bailey, Justin",1000085219,Right,LEW_CLA,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.54348,0.477149,1.545803,1645.521006,133.416951,10:30,5.28258,-1.40823,6.0272,-29.34777,10.70816,-9.90461,3.279,-0.80167,75.91184,-5.026974,-0.236182,0.455517,,,,,,,,,,,,5.53496,5.76918,1.29257,50,5.3041,-2.88133,-121.28061,0.11326,8.18694,25.25173,-23.64064,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,ccc19010-86b6-11ec-8f08-6fad8b22437f,82.74645,,,7.63164,,,,,,,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:07:01.41,2022-02-05T11:07:01.4174116-08:00,2022-02-05T19:07:01.4174116Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,0657b368-506b-45dd-bb72-88222610439f,54.46938,-122.20764,12.62587,5.28401,0.98114,-11.82032,1.40386,-3.18188,4.09347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-05,11:07:25.26,2,4,"Hilton, Jake",1000115590,Left,POM_COL,"Bailey, Justin",1000085219,Right,LEW_CLA,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,Bunt,Out,1,0,,82.33496,0.027733,1.852575,1825.881314,149.355647,11:00,5.23383,-1.41311,6.21134,-28.52565,12.25654,-6.48587,2.8823,-0.24326,75.18717,-5.336253,0.681953,0.459628,37.14449,-51.28383,28.439727,,,,,5.84209,,14.262793,0.071054,3.92477,6.73063,1.27748,50,5.22157,-3.63291,-119.6233,-0.7616,5.66812,23.79277,-22.45376,POM_COL,LEW_CLA,PomonaPitzer,D3,Team,20220205-PomonaPitzer-1,daf14ea0-86b6-11ec-8f08-6fad8b22437f,82.00637,3.06896,,7.14778,,,,3.49877,3.06896,0.26771,85743b9a-910e-495f-96c9-1fd3d713d711,2022-02-05,19:07:25.26,2022-02-05T11:07:25.2673956-08:00,2022-02-05T19:07:25.2673956Z,GroundBall,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,4ec66319-7a1a-410b-baca-2426ae872f2d,54.28766,-120.47308,11.89638,5.23445,0.04036,-11.22688,1.41085,-3.83535,2.83406,180,3.49325,30.44487,,,,,,,,3.07679,-43.19189,,,,,,,,0.26472,16.48877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
