PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-13,12:01:08.01,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29988,-4.467715,1.719243,1971.901844,157.271179,11:15,5.6997,-1.60259,5.89141,-18.75509,19.76572,-7.75996,-0.02173,-0.65249,78.41181,-7.991019,0.326259,0.446703,,,,,,,,,,,,4.48705,11.7606,1.46874,50,5.3283,-3.40648,-123.56083,-10.19654,6.94891,24.21781,-13.96084,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,af59d3f0-8d07-11ec-b9ae-cb1ea261558d,84.37914,,,6.88807,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:01:08.01,2022-02-13T12:01:08.0162714-08:00,2022-02-13T20:01:08.0162714Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,6d8ac51b-38e0-4864-8f05-f545df516274,54.60818,-124.46075,12.10891,5.69756,-9.67777,-6.98042,1.60012,-3.66469,3.47446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-13,12:01:27.69,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.74033,-2.937468,2.399809,1861.82975,157.553074,11:15,5.71253,-1.63949,5.89985,-21.42387,18.11261,-7.00504,1.19546,0.00589,77.51732,-6.940155,1.143174,0.452554,,,,,,,,,,,,4.2017,10.38816,1.45054,50,5.46359,-4.82367,-121.54187,-6.87033,6.35308,21.41406,-16.46688,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,bb100700-8d07-11ec-b9ae-cb1ea261558d,83.28827,,,6.22301,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:01:27.69,2022-02-13T12:01:27.6982682-08:00,2022-02-13T20:01:27.6982682Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e2710a08-2b00-40a0-b2f0-dc1cc89c05c0,54.59957,-122.34957,10.70703,5.71102,-6.24924,-8.23344,1.637,-5.0633,3.17654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-13,12:01:43.85,1,3,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.65339,-3.951561,2.63752,1784.878231,162.705176,11:30,5.72452,-1.56841,5.94513,-19.42316,19.61044,-5.71532,0.43095,0.40347,77.77432,-7.605658,1.611748,0.449667,,,,,,,,,,,,3.66764,11.54418,1.36157,50,5.39823,-5.42614,-122.62213,-9.02688,5.59525,23.80039,-14.56268,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,c4a88a30-8d07-11ec-b9ae-cb1ea261558d,83.82303,,,6.87907,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:01:43.85,2022-02-13T12:01:43.8513050-08:00,2022-02-13T20:01:43.8513050Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,72c3dddc-6005-4e7d-b772-91696ba0f9bc,54.55349,-123.50278,11.90019,5.72226,-8.48804,-7.28134,1.56618,-5.63317,2.79762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-13,12:02:07.75,1,4,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,3,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.89297,-1.297264,2.382445,1896.226073,141.442388,10:45,5.7952,-1.46306,5.86112,-25.36139,14.51611,-10.5291,2.47533,-0.12589,76.5999,-6.047657,0.494664,0.454502,,,,,,,,,,,,6.05331,8.18634,1.27591,50,5.67522,-4.64144,-121.71714,-3.53135,9.05709,24.4784,-19.92541,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,d2eb5b90-8d07-11ec-b9ae-cb1ea261558d,82.93137,,,7.29307,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:02:07.75,2022-02-13T12:02:07.7562266-08:00,2022-02-13T20:02:07.7562266Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,27dda30e-68ef-4a92-935d-405c75abfcf6,54.63603,-122.64595,12.2392,5.79487,-2.77531,-9.96271,1.45854,-4.9851,4.52855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-13,12:02:25.15,1,5,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,3,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.69645,-2.183922,2.387482,1788.217329,134.133057,10:30,5.80534,-1.59571,5.83463,-26.59749,12.53457,-11.61481,1.55623,-0.34322,77.58802,-7.131993,0.30493,0.450234,,,,,,,,,,,,6.60961,7.40414,1.40783,50,5.61141,-4.65491,-122.85611,-5.52973,10.09141,24.57776,-20.86952,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,dd4a6310-8d07-11ec-b9ae-cb1ea261558d,83.71752,,,7.10844,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:02:25.15,2022-02-13T12:02:25.1533722-08:00,2022-02-13T20:02:25.1533722Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8c70f16e-1dbf-4585-8485-a46f4b897486,54.66345,-123.78553,12.28888,5.8056,-4.74054,-10.43476,1.59107,-5.03653,5.04571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-13,12:02:43.82,1,6,"Hilton, Jake",1000115590,Left,POM_COL,"Adler, Nick",1000118942,Right,LIN_CCW,Undefined,1,Top,0,3,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,85.64608,-1.576885,0.943545,1802.679635,141.73639,10:45,5.70823,-1.52546,5.76389,-24.94304,13.34985,-9.56245,2.16145,-1.44408,78.40058,-6.228068,-0.769776,0.44538,,,,,,,,,,,,5.11347,7.61776,1.45309,50,5.56262,-1.64887,-124.33328,-4.22045,7.99993,25.05847,-20.2562,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,e87ff470-8d07-11ec-b9ae-cb1ea261558d,84.62988,,,7.2455,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:02:43.82,2022-02-13T12:02:43.8280000-08:00,2022-02-13T20:02:43.8280000Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,0d255cad-10d3-43ed-9fac-f3d5be52e658,54.73297,-125.28355,12.52924,5.7081,-3.4523,-10.1281,1.52137,-1.95224,3.99996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98847,,,1.012036,,,,1.58615,6.0865,-0.83005,69.54291,6.16469,-55.23736,1.63605,71.74392,-4.56703,6.17015,15.41302,-15.1943,-0.90583,-59.18138,5.39647,High,High,High,,,High,High,High
7,2022-02-13,12:03:09.71,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.83319,-1.493281,1.666551,1889.288168,148.153363,11:00,5.80569,-1.46437,5.88654,-24.58238,12.11796,-6.87414,2.36964,-0.48927,80.29372,-6.06122,0.432674,0.43602,83.3962,46.748677,47.83116,4814.295699,,,,,,,,3.94957,6.91162,1.33399,50,5.67093,-3.39543,-126.20926,-4.08392,6.4358,23.21932,-20.91158,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,f7dce860-8d07-11ec-b9ae-cb1ea261558d,86.44659,91.30488,,6.53946,,,,0.38032,2.25869,0.48166,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:03:09.71,2022-02-13T12:03:09.7102746-08:00,2022-02-13T20:03:09.7102746Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,43544faa-8af5-49dd-969c-14dbdf438971,54.613,-127.0551,11.60966,5.80582,-3.32215,-10.45579,1.46195,-3.62988,3.2179,,0.38032,56.26281,-24.50456,8.1999,-2.26539,0.55993,-0.12187,0.02014,-0.00185,2.25869,89.08819,-23.61881,1.63636,0.11699,-0.15036,0.05542,-0.01188,0.00125,0.48166,62.11717,-10.62743,2.02785,-0.26108,-0.00015,0.0115,-0.00292,0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2022-02-13,12:03:29.42,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.09449,-3.452127,2.540437,1833.312107,161.228948,11:15,5.70238,-1.49749,5.83986,-21.65107,15.12847,-4.67823,0.68272,0.47524,79.58219,-7.524616,1.70212,0.43649,,,,,,,,,,,,3.21394,9.24678,1.29322,50,5.40812,-5.45523,-127.42429,-8.36373,5.19952,30.1022,-17.21452,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,038d2800-8d08-11ec-b9ae-cb1ea261558d,86.35342,,,8.5123,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:03:29.42,2022-02-13T12:03:29.4293402-08:00,2022-02-13T20:03:29.4293402Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,dbc6fe08-1d5f-4a61-a951-d6b26ae93430,54.65575,-128.51943,15.0511,5.701,-7.73745,-8.60726,1.49512,-5.64439,2.59976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-13,12:03:57.88,2,3,"Hilton, Jake",1000115590,Left,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.23431,-1.072348,2.486013,2022.424377,139.690909,10:45,5.78348,-1.51093,5.71978,-23.20615,15.01213,-11.6002,2.8497,-0.16049,78.0891,-5.438705,0.412333,0.444946,89.25189,36.802871,-2.169319,,109.97612,77.061,2.28513,305.3559,,5.447567,5.439863,6.68174,8.35725,1.31049,50,5.67972,-4.94295,-125.00768,-3.07015,10.46221,27.66731,-19.08835,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,14826f30-8d08-11ec-b9ae-cb1ea261558d,84.71244,98.34819,,8.14521,,,,0.83949,2.86267,0.17358,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:03:57.88,2022-02-13T12:03:57.8892186-08:00,2022-02-13T20:03:57.8892186Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,bedde54c-085c-4c00-bbe6-30b94f2af2a8,54.77741,-126.06061,13.83365,5.78273,-2.34371,-9.54417,1.50618,-5.34111,5.23111,200.477269,0.84678,104.59356,-21.67476,4.33131,-0.30079,-0.13993,0.04726,-0.00577,0.00026,2.85769,78.50525,-18.18867,1.25684,-0.3009,0.05969,-0.0016,-0.00101,9E-05,0.17127,-3.92093,6.20759,-1.92298,0.30752,-0.00371,-0.00729,0.00106,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2022-02-13,12:04:32.51,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Lavigne, Mike",1000101760,Right,LIN_CCW,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.02848,-1.562745,1.811757,1981.662801,137.839808,10:30,5.72541,-1.49874,5.7502,-24.2382,13.18611,-10.76772,2.24964,-0.70884,78.99442,-6.102105,-0.11609,0.4403,,,,,,,,,,,,6.03492,7.57197,1.35496,50,5.581,-3.53769,-126.20428,-4.22581,9.64303,27.90778,-20.07497,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220213-PomonaPitzer-1,2947d130-8d08-11ec-b9ae-cb1ea261558d,85.60633,,,8.03405,,,,,,,310d3e3c-e14e-4141-9c61-04336b376239,2022-02-13,20:04:32.51,2022-02-13T12:04:32.5146010-08:00,2022-02-13T20:04:32.5146010Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,59198590-2e88-43ee-b3dd-66107a735b6f,54.7467,-127.24959,13.95389,5.7252,-3.47387,-10.03749,1.49424,-3.89888,4.82151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
