PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-12,13:00:58.83,1,1,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.12518,-2.593216,-2.061953,2252.35375,201.285271,12:45,5.49386,2.28961,6.22083,-19.42662,16.73525,6.09776,1.47894,0.8943,80.32056,-6.259775,-0.961146,0.43281,,,,,,,,,,,,-3.69323,9.68926,-2.13825,50,5.28976,4.31703,-126.52763,-6.28259,-6.02977,24.09398,-16.35486,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,e10b5b60-8c46-11ec-b08c-797c01707b6d,87.08781,,,6.80462,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:00:58.83,2022-02-12T13:00:58.8367098-08:00,2022-02-12T21:00:58.8367098Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,ca9b1e8c-9459-494a-b83b-a50ea3a28b0e,54.27767,-127.3396,12.04699,5.4922,-5.73143,-8.17743,-2.28716,4.52023,-3.01489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-12,13:01:13.18,1,2,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.05259,-0.310093,-1.460206,2194.935243,214.066001,1:15,5.46119,2.24042,6.10611,-23.48647,13.21859,8.1226,3.21714,1.5667,79.23073,-4.74346,0.00342,0.436048,,,,,,,,,,,,-4.58567,7.27079,-2.13224,50,5.42507,2.88865,-126.40928,-1.3922,-7.38561,26.8822,-20.46386,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,e997c5c0-8c46-11ec-b08c-797c01707b6d,86.44102,,,7.82186,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:01:13.18,2022-02-12T13:01:13.1801338-08:00,2022-02-12T21:01:13.1801338Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,0076265d-3a81-40e8-9da3-fe90660da65f,54.38993,-127.33942,13.4411,5.46099,-0.68414,-10.23193,-2.23661,3.14419,-3.69281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-12,13:01:27.58,1,3,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,2,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.00428,0.121457,-2.281411,2215.899583,205.217202,12:45,5.43986,2.37157,5.83649,-26.81312,10.00229,4.19197,3.31841,0.59933,79.91149,-4.864319,-1.530593,0.436703,,,,,,,,,,,,-2.72339,5.43012,-2.18791,50,5.43403,4.85678,-126.34901,-0.62129,-4.4272,24.38748,-23.34672,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,f2339970-8c46-11ec-b08c-797c01707b6d,86.31137,,,7.09279,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:01:27.58,2022-02-12T13:01:27.5894522-08:00,2022-02-12T21:01:27.5894522Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,cd50961e-5146-4674-84ef-78131b353a4a,54.66053,-127.24539,12.19374,5.44109,0.23684,-11.67336,-2.36941,5.0195,-2.2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-12,13:01:45.51,1,4,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.68071,0.135171,-0.844379,2124.865186,187.232635,12:15,5.29796,2.27627,6.02201,-20.60903,16.07647,1.9052,3.70575,1.65291,79.74752,-3.75303,-0.50167,0.435932,,,,,,,,,,,,-1.18764,8.55906,-2.21116,50,5.29713,1.77927,-126.02069,-0.30891,-1.92586,23.60613,-18.29492,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,fcdeec30-8c46-11ec-b08c-797c01707b6d,86.46406,,,6.93319,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:01:45.51,2022-02-12T13:01:45.5153402-08:00,2022-02-12T21:01:45.5153402Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,fe332de3-06cd-4f00-ac79-440ee3bfe457,54.4749,-126.85616,11.80306,5.2966,0.33858,-9.14746,-2.27534,1.84743,-0.96293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-02-12,13:02:00.91,1,5,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.57138,-1.389449,-1.769594,2272.485298,198.541819,12:30,5.24074,2.4763,6.22453,-21.20694,13.62146,4.23461,2.19063,1.19591,81.81596,-5.374247,-1.004964,0.424755,,,,,,,,,,,,-2.63402,7.72918,-2.34602,50,5.12609,3.80985,-128.77559,-3.76095,-4.46787,24.20463,-19.06359,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,060acae0-8c47-11ec-b08c-797c01707b6d,88.73929,,,6.75542,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:02:00.91,2022-02-12T13:02:00.9107706-08:00,2022-02-12T21:02:00.9107706Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,c7b33e1d-3939-48f9-b658-4b5cc95be990,54.27407,-129.57646,12.10232,5.2401,-3.13019,-9.53179,-2.47452,3.95768,-2.23393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-12,13:02:18.70,1,6,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,3,2,Fastball,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,87.63865,-1.34731,-3.00512,2258.919616,203.123546,12:45,5.3945,2.25367,5.99264,-24.59844,11.33359,4.4028,2.09411,-0.16688,81.04351,-5.921176,-2.214704,0.431432,,,,,,,,,,,,-3.02299,6.48583,-2.01919,50,5.2745,6.5074,-127.29385,-3.7865,-5.01223,23.56012,-21.42034,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,10b6b9e0-8c47-11ec-b08c-797c01707b6d,87.36592,,,6.59514,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:02:18.70,2022-02-12T13:02:18.7077370-08:00,2022-02-12T21:02:18.7077370Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,ae8282d8-6868-49fa-bbf3-405fd34d1957,54.50719,-128.12535,11.78006,5.39479,-3.03052,-10.71017,-2.25197,6.68429,-2.50612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-12,13:02:42.20,1,7,"Super, Brett",1000115652,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,3,2,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,88.02233,-0.944185,-3.897091,2112.540292,194.050776,12:30,5.34299,2.26505,6.18859,-25.9423,9.62489,2.14512,2.30727,-1.15993,81.05591,-5.780984,-3.511325,0.429236,,,,,,,,,,,,-2.13713,5.55945,-1.97198,50,5.25845,8.61675,-127.72581,-2.92463,-3.55026,24.92573,-22.93861,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,1eb72b10-8c47-11ec-b08c-797c01707b6d,87.81282,,,6.96642,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:02:42.20,2022-02-12T13:02:42.2096122-08:00,2022-02-12T21:02:42.2096122Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e82a8516-810c-4485-9f51-1b1cb05e49ff,54.31057,-128.56427,12.46287,5.34385,-2.15301,-11.4693,-2.26385,8.73618,-1.77513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-12,13:03:13.77,2,1,"Super, Brett",1000115652,Right,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.60638,-0.911564,-2.45755,2245.617098,183.768202,12:15,5.45938,2.14158,6.15067,-19.17391,17.76568,1.09252,3.01846,-0.03945,79.10664,-4.561134,-2.260825,0.437439,,,,,,,,,,,,-1.25165,9.78721,-1.95517,50,5.37999,5.35206,-125.72337,-2.52896,-2.00169,25.68821,-16.52217,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,316df860-8c47-11ec-b08c-797c01707b6d,86.16617,,,7.49974,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:03:13.77,2022-02-12T13:03:13.7724666-08:00,2022-02-12T21:03:13.7724666Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,624e7a8e-80eb-4ea7-9c27-231d6832af47,54.34588,-126.60822,12.84411,5.4573,-1.95984,-8.26109,-2.14072,5.42101,-1.00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-12,13:03:32.39,2,2,"Super, Brett",1000115652,Right,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,2,0,,75.61176,2.396573,0.271954,2578.986141,65.589307,8:15,5.33388,2.10547,5.42264,-54.93243,-5.31091,-14.98166,3.00231,1.11173,69.59417,-7.602841,-2.395219,0.506998,69.61454,12.138051,-10.365679,1424.400164,,,,123.16028,,-7.637193,1.401981,7.63477,-2.90906,-2.11872,50,5.50806,0.04189,-109.80401,2.78462,9.33745,19.12492,-35.73187,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,3c924bb0-8c47-11ec-b08c-797c01707b6d,74.3443,9.41182,,6.0176,,,,0.7359,2.84945,-1.08082,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:03:32.39,2022-02-12T13:03:32.3939578-08:00,2022-02-12T21:03:32.3939578Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,c9142d3f-3aa5-4825-ac22-73fe5c63a457,55.07932,-110.68515,9.56246,5.34184,4.4309,-17.86594,-2.11074,-0.38832,4.66872,270.940939,0.7359,98.18946,-9.76667,1.31648,-0.20858,0.0023,0.00845,-0.00364,0.00061,2.84945,21.46859,-18.30879,1.33389,-0.21263,0.0386,-0.00367,0.00043,-8E-05,-1.08082,-17.96035,6.92525,-1.90821,0.51001,-0.09851,0.01549,-0.00134,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2022-02-12,13:04:04.23,3,1,"Super, Brett",1000115652,Right,POM_COL,"Lavigne, Mike",1000101760,Right,LIN_CCW,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.96434,-1.754603,-2.882999,2310.841505,190.637853,12:15,5.49155,2.15365,6.3025,-16.03296,18.76741,3.31752,2.53638,-0.22826,81.35701,-4.830979,-2.284209,0.424584,,,,,,,,,,,,-2.51217,10.56201,-1.94341,50,5.35458,6.36773,-129.10831,-4.37199,-4.24268,26.7375,-14.33632,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220212-PomonaPitzer-1,4f8cd8c0-8c47-11ec-b08c-797c01707b6d,88.775,,,7.60733,,,,,,,96c93f2e-7f45-4b15-9279-4c1c5b639cac,2022-02-12,21:04:04.23,2022-02-12T13:04:04.2358010-08:00,2022-02-12T21:04:04.2358010Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,4641923f-99e0-48e5-9071-8f3c12500195,54.19426,-129.97402,13.36875,5.48862,-3.90781,-7.16816,-2.1518,6.5051,-2.12134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
