PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-22,15:04:48.85,1,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Chase",1000127256,Right,VER_VER,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.56553,-1.537711,-3.011679,1932.181292,240.671651,2:00,5.85508,1.13928,4.85039,-27.98068,10.7278,16.95292,2.06532,-0.30162,79.50673,-6.636938,-0.029118,0.44779,,,,,,,,,,,,-9.13288,6.05764,-0.85691,50,5.67951,5.81447,-125.44143,-4.44189,-14.62242,24.22877,-22.47533,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,3a9273e0-c288-11ec-9e42-89ce4c87080f,84.17433,,,7.05879,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:04:48.85,2022-04-22T15:04:48.8558692-07:00,2022-04-22T22:04:48.8558692Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,bc9fe7b5-d359-406f-a6a2-9689b8b81ea6,55.64834,-126.52769,12.11439,5.85607,-3.43425,-11.23767,-1.13229,6.47005,-7.31121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-04-22,15:05:04.75,1,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Chase",1000127256,Right,VER_VER,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.10135,-0.750491,-1.477094,2577.490455,30.182758,7:00,5.65892,1.15614,4.6138,-46.15475,0.26736,-0.61331,1.09886,-0.29968,73.5148,-8.996582,-1.584791,0.490381,,,,,,,,,,,,-0.06843,0.68736,-1.00359,50,5.53879,2.98681,-114.82436,-3.25094,-0.09225,19.34754,-31.24753,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,441217e0-c288-11ec-9e42-89ce4c87080f,76.86355,,,5.58655,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:05:04.75,2022-04-22T15:05:04.7507556-07:00,2022-04-22T22:05:04.7507556Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,f9dea9f0-cc98-4dbe-9829-8080cd2d823d,55.88675,-115.81201,9.67377,5.66403,-1.65581,-15.62376,-1.15618,2.99153,-0.04613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-22,15:05:22.65,1,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Chase",1000127256,Right,VER_VER,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.77392,0.180904,-2.257114,1967.403743,240.324695,2:00,5.56873,1.14524,4.84693,-26.96462,12.05351,18.74737,3.49308,0.56958,78.39614,-4.791629,1.041291,0.449578,,,,,,,,,,,,-9.85682,6.273,-0.93895,50,5.56429,4.06122,-125.63471,-0.61333,-15.59561,27.84426,-22.24881,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,4eb75020-c288-11ec-9e42-89ce4c87080f,83.83967,,,8.37778,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:05:22.65,2022-04-22T15:05:22.6588772-07:00,2022-04-22T22:05:22.6588772Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,329928da-da49-4be3-b00a-b2fb769de2ad,55.6491,-126.88054,13.92213,5.56947,0.38214,-11.12441,-1.13627,4.75901,-7.79781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-04-22,15:05:41.85,1,4,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Chase",1000127256,Right,VER_VER,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,87.35492,-1.548794,-2.987945,2010.68179,240.407016,2:00,5.70964,1.22485,4.86928,-28.44533,9.69749,14.90686,1.87118,-0.36305,79.92604,-6.736211,-0.364312,0.444506,92.28598,5.472366,31.275468,4073.644346,,,,120.22281,,36.219728,1.01612,-8.20367,5.57134,-0.94405,50,5.53322,5.9162,-126.53568,-4.52229,-13.30294,25.78181,-23.13969,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,5a2dbb10-c288-11ec-9e42-89ce4c87080f,84.79621,4.53803,,7.42888,,,,0.52373,1.74493,0.42263,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:05:41.85,2022-04-22T15:05:41.8566244-07:00,2022-04-22T22:05:41.8566244Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,476456aa-0a16-47d3-b312-469629ea2fc3,55.62956,-127.67756,12.89091,5.71082,-3.49743,-11.56985,-1.21912,6.50539,-6.65147,,0.68802,112.93326,-18.01281,,,,,,,1.78375,12.39049,-13.95653,,,,,,,0.3796,70.549,-0.96113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-04-22,15:06:11.38,2,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Slessor, Cameron",1000127276,Right,VER_VER,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.34599,0.981997,-1.258392,2847.279707,16.090245,6:30,5.99776,0.99909,4.47741,-61.11236,-9.21241,-3.12095,1.84139,-0.46064,69.5051,-9.903222,-1.805388,0.518507,,,,,,,,,,,,1.16661,-4.28744,-0.86346,50,6.0417,2.53034,-109.2775,-0.41225,1.40952,19.405,-37.35419,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,6bc0eff0-c288-11ec-9e42-89ce4c87080f,72.69414,,,5.84089,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:06:11.38,2022-04-22T15:06:11.3831012-07:00,2022-04-22T22:06:11.3831012Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,aad8c106-7df8-4dba-9f8a-95e8893c37a2,56.02402,-110.34203,9.7025,6.0081,1.63696,-18.67709,-1.00015,2.45301,0.70476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-22,15:06:28.39,2,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Slessor, Cameron",1000127276,Right,VER_VER,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.3187,1.521196,-0.472442,2995.658583,25.023383,6:45,6.01174,0.86413,4.54731,-60.01858,-9.61768,-5.21252,2.45868,-0.02,70.31705,-9.195609,-1.38695,0.510964,,,,,,,,,,,,2.40272,-4.6091,-0.8098,50,6.113,1.13323,-110.71146,0.67093,2.98304,19.71015,-37.89631,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,75decfc0-c288-11ec-9e42-89ce4c87080f,73.76725,,,6.00165,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:06:28.39,2022-04-22T15:06:28.3914852-07:00,2022-04-22T22:06:28.3914852Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8a125e27-cacd-4234-9671-8a8c37726500,55.95398,-111.76643,9.85507,6.02281,2.6993,-18.94816,-0.86619,0.97356,1.49152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-04-22,15:06:46.24,2,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Slessor, Cameron",1000127276,Right,VER_VER,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.53599,-1.057362,-1.220196,2054.735817,218.117702,1:15,5.74882,1.19756,4.7174,-22.35781,15.8756,11.46394,2.88192,0.99478,79.72157,-5.183205,0.79331,0.445034,65.90067,8.292549,13.10726,2537.046953,,,,96.79816,,15.503891,1.110818,-6.00874,8.46567,-1.08523,50,5.62285,2.16532,-126.87389,-3.17396,-9.76244,26.7438,-18.41988,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,8086c720-c288-11ec-9e42-89ce4c87080f,84.69569,6.00321,,7.81442,,,,1.03839,2.83749,-1.00252,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:06:46.24,2022-04-22T15:06:46.2452324-07:00,2022-04-22T22:06:46.2452324Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,fb1cc327-ace3-4ace-8b6a-a0e636381579,55.78075,-128.08662,13.3719,5.74784,-2.33868,-9.20994,-1.19346,2.60802,-4.88122,250.656345,1.03839,93.15182,-10.80207,1.8824,-0.37726,0.06423,-0.01856,0.00735,-0.00138,2.83749,13.94019,-15.71857,0.84495,-0.0734,0.0147,0.00139,-0.00047,-1E-05,-1.00252,21.68955,3.1446,-1.10097,0.3367,-0.07453,0.01776,-0.00406,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-04-22,15:07:17.54,3,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Tanner",1000127246,Left,VER_VER,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.02404,-1.458725,-2.839861,2024.743564,241.722978,2:00,5.74751,1.13743,4.67514,-26.02245,11.89001,19.76804,2.1916,0.08551,80.26773,-6.213691,0.627279,0.443162,,,,,,,,,,,,-10.47241,6.60099,-0.86715,50,5.57591,5.37248,-127.45763,-4.26784,-17.19323,26.68125,-21.33678,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,932bba20-c288-11ec-9e42-89ce4c87080f,85.05346,,,7.75632,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:07:17.54,2022-04-22T15:07:17.5443556-07:00,2022-04-22T22:07:17.5443556Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8b69696f-60ba-45ab-863c-283fdc71c9a2,55.82324,-128.67085,13.34063,5.74792,-3.29764,-10.66839,-1.12922,6.15428,-8.59662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-04-22,15:07:31.58,3,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Tanner",1000127246,Left,VER_VER,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.74174,-1.537771,-1.934071,2285.875509,276.120017,3:15,5.72624,1.07065,4.89456,-48.12613,-0.19484,15.58706,0.26,0.53947,71.93791,-10.173424,0.820392,0.498289,,,,,,,,,,,,-8.26993,0.73224,-0.89503,50,5.53478,3.17602,-112.77197,-4.75632,-10.66786,20.18524,-31.2295,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,9b975610-c288-11ec-9e42-89ce4c87080f,75.64378,,,5.80383,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:07:31.58,2022-04-22T15:07:31.5859044-07:00,2022-04-22T22:07:31.5859044Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,31d8a62a-4e7c-44b9-a402-eba3d8558bf1,55.60634,-113.77103,10.09262,5.73194,-3.21063,-15.61475,-1.06529,3.70402,-5.33393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-04-22,15:07:51.68,3,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Siffert, Tanner",1000127246,Left,VER_VER,Undefined,1,Top,2,1,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,78.05351,-0.215105,-3.117284,2197.287525,255.531596,2:30,5.57164,1.11536,5.22312,-40.45841,5.63276,17.34595,1.99758,-0.37275,73.13281,-7.537961,-0.043901,0.48863,,,,,,,,,,,,-9.44378,3.18063,-0.84152,50,5.5209,5.51597,-113.45643,-1.7981,-12.58941,16.33224,-27.93398,POM_COL,VER_VER,PomonaPitzer,D3,Undefined,20220422-PomonaPitzer-1,a786e8a0-c288-11ec-9e42-89ce4c87080f,77.13899,,,4.9207,,,,,,,829e048e-3387-4347-b938-02cd561f370e,2022-04-22,22:07:51.68,2022-04-22T15:07:51.6820580-07:00,2022-04-22T22:07:51.6820580Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8a037e5b-111e-47f6-bdc2-c08eb0710ae5,55.27983,-114.21394,8.16612,5.57425,-0.50248,-13.96699,-1.1109,6.09989,-6.2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
