PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-20,12:02:25.60,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.74789,-0.943161,1.732261,1786.376581,162.552345,11:30,5.28241,-0.86727,6.03527,-25.83017,15.33847,-4.3517,2.25608,0.37461,74.69983,-5.830202,0.949306,0.461801,,,,,,,,,,,,2.76465,8.62063,0.73421,50,5.19496,-3.45253,-119.96032,-2.71398,3.97022,26.34496,-19.79428,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,481049b0-a880-11ec-bb58-f78f8f4b17ca,81.62058,,,8.04806,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:02:25.60,2022-03-20T12:02:25.6058222-07:00,2022-03-20T19:02:25.6058222Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,bf980409-8c84-41e3-982b-e700e5da9ee8,54.45771,-120.93533,13.17248,5.28185,-1.9814,-9.89714,0.8647,-3.59947,1.98511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-20,12:02:42.46,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Schoenfeld, Teddy",1000123775,Right,MAS_INS,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,68.90607,3.785103,0.413937,1895.070099,307.210584,4:15,4.94713,-1.35567,6.0119,-67.24413,-8.34642,13.43914,2.85511,0.14773,63.16721,-8.587975,2.83101,0.552358,88.48336,19.847957,-10.878526,2708.085125,106.27044,32.53329,-28.40031,295.06479,,-20.964271,3.352287,-6.81154,-4.90217,1.31574,50,5.20755,-1.15166,-99.9916,4.76337,-6.86046,16.90402,-37.11143,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,52246580-a880-11ec-bb58-f78f8f4b17ca,68.23917,36.49647,,5.73886,,,,1.17504,2.92257,-0.18284,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:02:42.46,2022-03-20T12:02:42.4688494-07:00,2022-03-20T19:02:42.4688494Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,6e24ed5d-6c5b-4ff4-9a40-79906a4b1b69,54.49072,-100.74792,8.45201,4.95729,6.4238,-18.55571,1.36041,-0.84471,-3.43023,128.680968,1.17463,119.88763,-20.37265,4.84572,-1.26582,0.3919,-0.11214,0.02018,-0.00151,2.92305,44.04551,-15.01835,-0.00051,0.51036,-0.28919,0.0966,-0.01638,0.00107,-0.18288,-23.03608,-6.62447,2.68099,-0.82859,0.21294,-0.04509,0.00631,-0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2022-03-20,12:03:14.25,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Sonandres, Jake",1000123782,Right,MAS_INS,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.69494,-2.167618,0.456766,1854.785743,149.835235,11:00,5.40829,-0.929,5.96902,-23.84698,14.3782,-7.59666,1.41036,-1.13856,77.99015,-6.64788,-0.909798,0.444986,,,,,,,,,,,,4.02484,8.42418,0.89695,50,5.22337,-0.68204,-124.32858,-5.42672,6.24971,26.78019,-19.09317,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,650ec5f0-a880-11ec-bb58-f78f8f4b17ca,84.70478,,,7.70479,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:03:14.25,2022-03-20T12:03:14.2507374-07:00,2022-03-20T19:03:14.2507374Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,b11d653d-bcaa-449f-a49e-2bd35d382cc4,54.52717,-125.29994,13.39009,5.40764,-4.73418,-9.54658,0.9258,-0.90872,3.12485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-20,12:03:30.74,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Sonandres, Jake",1000123782,Right,MAS_INS,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.05859,-2.369123,1.404137,1831.995185,162.629942,11:30,5.32581,-0.94411,6.02805,-23.78915,15.01879,-4.27457,1.14743,0.00031,77.28926,-6.848741,0.634648,0.448365,,,,,,,,,,,,2.62835,8.85642,0.83662,50,5.12766,-2.85311,-123.34787,-5.80532,4.00925,26.80367,-18.66455,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,6ee6ea30-a880-11ec-bb58-f78f8f4b17ca,84.06642,,,7.76933,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:03:30.74,2022-03-20T12:03:30.7457390-07:00,2022-03-20T19:03:30.7457390Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,9e483a64-0d39-4946-b791-b8da2ccb9fc9,54.46822,-124.31502,13.40183,5.32498,-5.13184,-9.33228,0.94218,-2.99778,2.00463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-03-20,12:03:45.34,2,3,"Hilton, Jake",1000115590,Left,POM_COL,"Sonandres, Jake",1000123782,Right,MAS_INS,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.30718,0.645306,1.100678,1427.554418,126.121819,10:15,4.93122,-1.23955,6.4186,-38.789,9.9317,-11.31383,2.29216,-1.1704,68.41878,-6.653949,-0.951065,0.502375,,,,,,,,,,,,6.20697,5.50575,1.16558,50,4.96002,-1.71467,-109.36687,0.21261,7.43514,21.26821,-25.57889,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,779a1670-a880-11ec-bb58-f78f8f4b17ca,75.02846,,,6.8884,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:03:45.34,2022-03-20T12:03:45.3477230-07:00,2022-03-20T19:03:45.3477230Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,53b2fbb6-d630-4a35-9def-025045d62ba0,54.07721,-110.1569,10.6341,4.93447,1.16277,-12.78945,1.2344,-1.99085,3.71757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-20,12:03:59.37,2,4,"Hilton, Jake",1000115590,Left,POM_COL,"Sonandres, Jake",1000123782,Right,MAS_INS,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.25735,-2.599374,2.533321,1387.557033,117.65591,10:00,4.83032,-1.36964,6.43822,-39.00864,8.19126,-12.73705,-0.81305,-0.10157,70.34181,-9.839537,0.219739,0.494472,,,,,,,,,,,,7.53615,5.40425,1.19567,50,4.62755,-4.50155,-110.72732,-6.06105,9.32611,20.36488,-25.48623,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,7ff44d40-a880-11ec-bb58-f78f8f4b17ca,76.22762,,,5.91554,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:03:59.37,2022-03-20T12:03:59.3725294-07:00,2022-03-20T19:03:59.3725294Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,fa857d16-f093-4854-878a-d83a898056ef,54.06331,-111.47214,10.18244,4.83218,-5.12893,-12.74312,1.36654,-4.84263,4.66305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-20,12:04:20.94,2,5,"Hilton, Jake",1000115590,Left,POM_COL,"Sonandres, Jake",1000123782,Right,MAS_INS,Undefined,1,Top,1,2,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.19652,-0.997512,1.226683,1828.535524,163.133816,11:30,5.23567,-0.87023,6.0607,-22.67218,16.46847,-4.61618,2.42279,-0.1194,77.02865,-5.278286,0.395529,0.450283,90.8014,-6.403776,-33.038214,,,,,24.61152,,-30.671442,0.174391,2.74402,9.15855,0.77757,50,5.14613,-2.44397,-122.33196,-2.78166,4.15399,24.36097,-18.30956,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,8ccf7850-a880-11ec-bb58-f78f8f4b17ca,83.70836,2.40112,,7.16787,,,,2.555,2.40112,0.25257,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:04:20.94,2022-03-20T12:04:20.9492846-07:00,2022-03-20T19:04:20.9492846Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1f94e9ab-196c-4abe-b888-90b5297141a3,54.43815,-123.21259,12.18049,5.23472,-2.11978,-9.15478,0.86863,-2.59413,2.07699,129.184162,2.55572,110.89105,-23.88302,,,,,,,2.4002,-14.78398,5.88254,,,,,,,0.25353,-72.2267,-7.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2022-03-20,12:04:54.41,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Finch, Michael",1000123758,Right,MAS_INS,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,67.98991,4.166528,-0.363749,1976.412772,331.359507,5:00,5.04445,-1.16873,6.05107,-73.96221,-13.37682,8.37957,2.74477,-0.80717,62.21907,-9.433265,1.145485,0.560216,,,,,,,,,,,,-4.37847,-7.38945,1.19278,50,5.33042,0.35217,-98.62097,5.12367,-4.279,16.81191,-39.39565,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,a0cc8140-a880-11ec-bb58-f78f8f4b17ca,67.28199,,,5.77084,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:04:54.41,2022-03-20T12:04:54.4118126-07:00,2022-03-20T19:04:54.4118126Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,815169f9-c058-4948-9264-63f035fca1b3,54.45189,-99.37699,8.40595,5.06018,6.89526,-19.69783,1.17261,0.54459,-2.1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-03-20,12:05:11.64,3,2,"Hilton, Jake",1000115590,Left,POM_COL,"Finch, Michael",1000123758,Right,MAS_INS,Undefined,1,Top,2,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.50911,-0.17623,1.377506,1333.449167,107.480257,9:30,4.96537,-1.33743,6.68255,-44.11983,4.52792,-9.68784,1.12748,-0.88453,68.8029,-8.418124,-0.390226,0.501999,,,,,,,,,,,,5.50142,2.89079,1.24898,50,4.93626,-2.30569,-108.41526,-1.45796,6.55642,18.71987,-28.72889,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,ab07ad10-a880-11ec-bb58-f78f8f4b17ca,75.08472,,,5.70621,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:05:11.64,2022-03-20T12:05:11.6424046-07:00,2022-03-20T19:05:11.6424046Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,75d0ed5e-13fe-47c1-89ac-1ebd6103f4fc,53.81706,-109.07235,9.35993,4.96974,-0.44953,-14.36445,1.33395,-2.53583,3.27821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-20,12:05:26.23,3,3,"Hilton, Jake",1000115590,Left,POM_COL,"Finch, Michael",1000123758,Right,MAS_INS,Undefined,1,Top,2,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.07769,0.309885,1.636762,1331.795537,106.503197,9:30,5.03,-1.19182,6.59429,-42.66439,4.33677,-9.64256,1.75868,-0.49533,69.86266,-7.669881,-0.118589,0.49343,,,,,,,,,,,,5.52111,2.66673,1.08359,50,5.03381,-2.84383,-110.62209,-0.53576,6.82698,20.12393,-28.87659,POM_COL,MAS_INS,PomonaPitzer,D3,Team,20220320-PomonaPitzer-1,b3c47640-a880-11ec-bb58-f78f8f4b17ca,76.38858,,,6.21502,,,,,,,4e10091d-9e0d-44d6-aa37-07b7e994dc76,2022-03-20,19:05:26.23,2022-03-20T12:05:26.2380910-07:00,2022-03-20T19:05:26.2380910Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1384d525-a751-49fd-a940-0db3867f26b0,53.9042,-111.33006,10.06197,5.03479,0.48013,-14.4383,1.18786,-3.08401,3.41349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
