PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-11,14:02:21.85,1,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.80254,-1.950851,-2.313641,2062.897785,232.072739,1:45,5.7269,1.06025,4.76819,-25.17474,13.64914,15.87253,1.7772,0.18823,79.27416,-6.562681,0.476383,0.448457,72.76183,46.336898,-44.600227,,,,,,,,,-8.52213,7.63587,-0.84339,50,5.50983,4.35134,-125.73739,-5.23396,-13.61595,25.97041,-19.97411,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,49d90280-8b86-11ec-a6bd-e94fb1f8cbdf,84.04915,89.62242,,7.52838,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:02:21.85,2022-02-11T14:02:21.8533224-08:00,2022-02-11T22:02:21.8533224Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,ca9597bd-8685-4e4d-834f-5eef582fcbef,55.73103,-126.91558,12.98521,5.72673,-4.3278,-9.98705,-1.0548,4.96906,-6.80798,,6.6979,52.4614,-17.73974,4.08072,-0.83385,0.15607,-0.0301,0.00555,-0.00054,11.86622,77.20048,-13.70204,-0.04381,0.20248,-0.07231,0.02072,-0.00369,0.00032,-6.67022,-51.73437,-1.64876,0.9381,-0.31442,0.08389,-0.01953,0.00354,-0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2022-02-11,14:02:41.29,1,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.54463,0.859699,-0.711474,2865.892323,36.162767,7:15,5.77641,0.88722,4.53762,-56.28798,-6.49052,-5.79296,1.9044,-0.27296,70.99656,-9.176456,-1.727668,0.507896,,,,,,,,,,,,2.63996,-2.9404,-0.80732,50,5.81231,1.62326,-111.1275,-0.45348,3.32428,18.61507,-35.87663,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,55765660-8b86-11ec-a6bd-e94fb1f8cbdf,74.21288,,,5.54807,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:02:41.29,2022-02-11T14:02:41.2943208-08:00,2022-02-11T22:02:41.2943208Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,7e24da15-a4e1-4256-84f6-378082c8e783,55.96381,-112.12205,9.30754,5.78533,1.4633,-17.93832,-0.8893,1.44565,1.66214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-11,14:03:01.31,1,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,0,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.90901,-0.680931,-2.861092,2084.55973,241.168745,2:00,5.67256,0.85652,4.64137,-26.85045,11.09914,17.94261,2.78709,-0.36942,80.28422,-5.579367,0.282946,0.443379,,,,,,,,,,,,-9.59666,5.96961,-0.58097,50,5.57874,5.51006,-127.35557,-2.5767,-15.76795,26.05489,-22.36563,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,61582d50-8b86-11ec-a6bd-e94fb1f8cbdf,85.01184,,,7.62479,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:03:01.31,2022-02-11T14:03:01.3180264-08:00,2022-02-11T22:03:01.3180264Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,19f87f1d-2f87-4152-951e-d34b7f0d08a5,55.85775,-128.54838,13.02744,5.67326,-1.55278,-11.18281,-0.84975,6.23193,-7.88397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-11,14:03:25.89,1,4,"Deliyannis, Harry",1000115586,Right,POM_COL,"Kahn, Daniel",1000101762,Left,LIN_CCW,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.4708,1.411418,-1.348122,2207.684748,262.884206,2:45,5.58826,1.12437,5.02896,-43.49494,3.43992,15.60068,3.29604,1.15219,71.76704,-6.505137,1.408125,0.493082,,,,,,,,,,,,-8.07182,1.7841,-1.00846,50,5.68856,2.027,-113.80893,1.2649,-10.57536,21.09652,-29.83661,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,7005f580-8b86-11ec-a6bd-e94fb1f8cbdf,76.44251,,,6.70376,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:03:25.89,2022-02-11T14:03:25.8930000-08:00,2022-02-11T22:03:25.8930000Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,555084f4-0205-474f-b24c-2d5febe63bca,55.46928,-114.81828,10.54826,5.59389,2.69241,-14.91831,-1.11755,2.53297,-5.28768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.49475,2.242405,1.240525,1.00188,-1.69799,2.92699,-1.23308,-1.555,5.56478,-3.6484,72.61521,9.09362,-52.1645,-1.46396,78.68672,-4.6969,5.65091,17.72048,-14.217,-3.73782,-52.51126,4.12762,High,High,High,,,High,High,High
5,2022-02-11,14:03:52.78,2,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.77439,0.194686,-1.370465,2227.110249,160.16248,11:15,5.71562,1.01139,5.20406,-31.68061,9.39489,-2.89752,3.25872,-0.51921,76.24512,-5.635849,-1.883773,0.461278,,,,,,,,,,,,1.03146,5.05599,-0.88233,50,5.71021,3.03374,-121.44962,-0.71413,1.53297,24.88298,-24.65978,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,800c21c0-8b86-11ec-a6bd-e94fb1f8cbdf,81.71304,,,7.52927,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:03:52.78,2022-02-11T14:03:52.7865192-08:00,2022-02-11T22:03:52.7865192Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,2b6a05fe-a711-4f12-ab7b-3459ea077beb,55.29084,-122.52883,12.44149,5.71799,0.3554,-12.32989,-1.01246,2.96726,0.76648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-11,14:04:08.13,2,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.28506,-1.373053,-2.677135,2043.495575,237.817113,2:00,5.79122,1.01715,4.61262,-27.48529,11.19591,15.73788,2.1936,-0.21865,79.54617,-6.382858,0.08024,0.447632,78.74174,54.06991,46.37673,,,,,,,,,-8.47166,6.23575,-0.75708,50,5.62505,5.15915,-126.3717,-4.11418,-13.65656,26.50797,-22.12183,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,89328230-8b86-11ec-a6bd-e94fb1f8cbdf,84.20402,95.00931,,7.73889,,,,0.72448,2.11573,0.21746,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:04:08.13,2022-02-11T14:04:08.1321832-08:00,2022-02-11T22:04:08.1321832Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,30f3d6eb-cc99-4423-86ae-ad20f47f5e48,55.88548,-127.60028,13.25399,5.79197,-3.08889,-11.06092,-1.01086,5.7921,-6.82828,,0.72448,46.75362,-13.65737,3.0497,-0.59212,0.01159,0.08532,-0.04627,0.0087,2.11573,93.51446,-25.53423,3.31437,-0.80906,0.24437,-0.099,0.03372,-0.00543,0.21746,49.05682,-7.46206,1.54727,-0.37096,0.1427,-0.07547,0.02874,-0.00487,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2022-02-11,14:04:43.81,2,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Jacques, Tanner",1000118914,Right,LIN_CCW,Undefined,1,Top,1,1,1,Cutter,Slider,InPlay,Undefined,LineDrive,Double,0,0,,84.60418,-0.832483,-1.577675,2306.413544,193.348406,12:30,5.99598,0.9054,5.08068,-32.35541,8.04193,1.59374,2.51461,-0.44933,77.26356,-6.74848,-1.295798,0.457455,95.53665,16.544507,10.914482,2792.544985,106.7124,27.45615,26.69192,297.22682,,19.058311,3.107663,-1.25095,4.61918,-0.7573,50,5.89185,3.30896,-122.67146,-2.97015,-1.89894,25.13001,-25.16218,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,9e815f80-8b86-11ec-a6bd-e94fb1f8cbdf,82.39603,31.43209,,7.34062,,,,0.53771,2.44461,0.45492,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:04:43.81,2022-02-11T14:04:43.8115176-08:00,2022-02-11T22:04:43.8115176Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,fece3ed4-0bdc-43e9-8ad2-2e4549d96304,55.41705,-123.7762,12.565,5.9981,-1.864,-12.58109,-0.9046,3.39244,-0.94947,224.723212,0.53772,131.88909,-22.48012,4.87137,-1.01814,0.19636,-0.03281,0.00393,-0.00023,2.44461,39.90031,-14.26164,0.31878,0.05763,-0.02828,0.00739,-0.00087,4E-05,0.45491,25.43243,4.2057,-1.5184,0.43221,-0.10062,0.01828,-0.0022,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2022-02-11,14:05:28.80,3,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Lavigne, Mike",1000101760,Right,LIN_CCW,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.95156,-0.192723,-1.652419,2102.326645,232.121284,1:45,6.03878,0.76473,4.70057,-25.57604,12.42194,14.32139,3.72442,0.38915,79.84253,-4.890894,0.861532,0.443661,,,,,,,,,,,,-7.42264,6.51453,-0.6106,50,5.99704,2.97192,-127.39719,-1.41768,-12.13878,27.37471,-21.52036,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,b9481430-8b86-11ec-a6bd-e94fb1f8cbdf,84.95766,,,8.10902,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:05:28.80,2022-02-11T14:05:28.8000360-08:00,2022-02-11T22:05:28.8000360Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,387568c9-0137-4c36-a3c9-6dd3e79260f6,55.79467,-128.63631,13.68736,6.03917,-0.44357,-10.76018,-0.75756,3.52138,-6.06939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-11,14:05:48.75,3,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Lavigne, Mike",1000101760,Right,LIN_CCW,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.15164,-3.152427,-2.733861,2158.946801,224.534665,1:30,5.96106,0.80698,4.95563,-23.69253,15.54619,14.00469,1.00181,-0.61092,78.75064,-7.508536,-0.264561,0.450847,,,,,,,,,,,,-7.71496,8.97272,-0.55413,50,5.6361,5.31847,-124.65086,-7.72076,-12.11769,25.45682,-18.08087,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,c52b98d0-8b86-11ec-a6bd-e94fb1f8cbdf,83.60365,,,7.40101,,,,,,,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:05:48.75,2022-02-11T14:05:48.7517032-08:00,2022-02-11T22:05:48.7517032Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,3232f1c2-d5bf-4c64-845e-523fdb7da332,55.54232,-125.77765,12.72841,5.96012,-6.92046,-9.04044,-0.80141,5.85484,-6.05885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-02-11,14:06:13.01,3,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Lavigne, Mike",1000101760,Right,LIN_CCW,Undefined,1,Top,1,2,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,86.96459,-0.528213,-2.022715,2111.123151,237.439738,2:00,5.87419,0.83233,4.63766,-27.09312,11.91591,16.57375,3.11411,0.29035,78.92413,-5.49003,0.883288,0.449525,86.10443,24.412586,-13.64278,2064.581123,106.74898,43.48638,-26.54504,315.90026,,-14.646816,3.970469,-8.7206,6.36237,-0.64129,50,5.79597,3.66124,-125.95011,-2.21219,-13.91348,27.19847,-22.02309,POM_COL,LIN_CCW,PomonaPitzer,D3,Team,20220211-PomonaPitzer-1,d3a18820-8b86-11ec-a6bd-e94fb1f8cbdf,83.84947,52.14813,,8.04046,,,,1.22708,3.16143,-0.2997,e083c0bc-81a5-4316-ae9a-50f43960d65f,2022-02-11,22:06:13.01,2022-02-11T14:06:13.0105192-08:00,2022-02-11T22:06:13.0105192Z,LineDrive,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,74bc38b7-e93b-418c-9690-2491648aa44a,55.86004,-127.20927,13.59924,5.87479,-1.19262,-11.01155,-0.8257,4.30536,-6.95674,176.474395,1.22669,111.76498,-18.14821,4.41498,-1.03629,0.27984,-0.06951,0.01073,-0.00069,3.16225,52.1659,-14.14744,-0.21824,0.48991,-0.28363,0.08898,-0.01393,0.00085,-0.29965,-27.12616,3.77224,-0.95387,0.22588,-0.05965,0.01444,-0.0022,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
