PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-03-11,14:35:57.44,1,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Snyder, Andrew",1000123194,Left,OCC_T,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.3273,-2.660429,-1.475098,2102.895297,239.818008,2:00,5.88129,1.05819,4.90727,-27.88435,10.63749,15.9293,1.03909,0.99038,79.23717,-7.760695,1.335715,0.446709,,,,,,,,,,,,-8.33508,6.47662,-0.92813,50,5.59826,2.51464,-126.37195,-6.92978,-13.32287,28.53771,-21.82181,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,9ecca2e0-a18b-11ec-bac1-73ff1e52c188,84.37802,,,8.09013,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:35:57.44,2022-03-11T14:35:57.4401314-08:00,2022-03-11T22:35:57.4401314Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,d4176da4-0cf8-4e8d-82ef-16e0d7a2f337,55.58987,-127.62803,14.26886,5.88214,-5.9693,-10.91091,-1.05171,3.10104,-6.66143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-03-11,14:36:13.79,1,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Snyder, Andrew",1000123194,Left,OCC_T,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.62725,-1.112829,-2.071474,2101.627852,244.200221,2:15,5.80638,1.09308,4.71821,-28.26714,10.19835,18.27981,2.39394,0.6498,79.32428,-6.284988,1.139866,0.446382,,,,,,,,,,,,-9.54945,5.73957,-0.90089,50,5.66936,3.70418,-126.83708,-3.57194,-15.394,28.47198,-22.92168,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,a88b99d0-a18b-11ec-bac1-73ff1e52c188,84.43981,,,8.30297,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:36:13.79,2022-03-11T14:36:13.7957154-08:00,2022-03-11T22:36:13.7957154Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1a25c04b-1a16-4431-9f0f-81777d556350,55.77812,-128.12757,14.23599,5.80771,-2.53302,-11.46084,-1.08459,4.40192,-7.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-03-11,14:36:30.41,1,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Snyder, Andrew",1000123194,Left,OCC_T,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.03842,-1.831139,-3.119085,2127.086527,224.198524,1:30,5.7964,1.0637,4.87573,-21.91667,15.83375,14.14387,2.23421,-0.71188,80.02688,-5.887857,-0.631535,0.442214,,,,,,,,,,,,-7.84193,8.70497,-0.76941,50,5.5983,6.26816,-127.38674,-4.87404,-12.83099,27.20784,-17.931,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,b274d510-a18b-11ec-bac1-73ff1e52c188,85.23581,,,8.01154,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:36:30.41,2022-03-11T14:36:30.4126754-08:00,2022-03-11T22:36:30.4126754Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,d3165e75-d7b8-44a2-be67-c5810208d3ca,55.62063,-128.58162,13.60392,5.79506,-4.08657,-8.9655,-1.05706,6.83165,-6.4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-03-11,14:36:45.48,1,4,"Deliyannis, Harry",1000115586,Right,POM_COL,"Snyder, Andrew",1000123194,Left,OCC_T,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.45276,-1.378225,-2.387027,2128.039321,238.744152,2:00,5.83839,0.76186,4.90846,-25.70159,11.73749,17.18036,2.3919,-0.06502,80.16772,-6.108709,0.640463,0.440387,93.64751,33.815987,17.814542,2956.22829,104.60605,69.04814,34.02284,370.058,,18.009951,5.459609,-9.27477,6.58744,-0.54394,50,5.68266,4.54104,-128.08465,-4.05666,-15.25959,28.82934,-21.33584,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,bb6f91a0-a18b-11ec-bac1-73ff1e52c188,85.58944,98.48032,,8.28504,,,,2.68465,2.60831,0.05446,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:36:45.48,2022-03-11T14:36:45.4837538-08:00,2022-03-11T22:36:45.4837538Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,b49e4b77-ae7d-4081-bb50-b3bd0bc2d77a,55.59005,-129.33674,14.41467,5.83872,-3.13002,-10.66792,-0.75555,5.20378,-7.62979,186.322306,2.68822,108.56959,-21.47144,5.01522,-0.67814,-0.01105,0.02162,-0.00314,0.00015,2.60506,76.49392,-16.45317,0.6141,-0.12497,0.03434,-0.00227,-0.00042,5E-05,0.0562,34.87829,-5.19376,0.72029,0.02153,-0.04296,0.01033,-0.00109,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2022-03-11,14:37:29.94,2,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Andrade, Antontio",1000123195,Right,OCC_T,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.14915,0.393922,-2.629707,2123.755512,232.970883,1:45,5.91938,0.7257,4.88938,-24.34808,12.76501,15.11749,4.26342,-0.50388,80.05935,-4.124585,0.030301,0.438465,,,,,,,,,,,,-8.21126,6.54634,-0.48093,50,5.93834,5.17846,-128.9432,-0.02611,-13.62151,30.48274,-21.3144,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,d5e910b0-a18b-11ec-bac1-73ff1e52c188,85.96453,,,9.0898,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:37:29.94,2022-03-11T14:37:29.9430690-08:00,2022-03-11T22:37:29.9430690Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,b8770d66-9368-4614-99bd-26dac890e15a,55.60463,-130.26142,15.24137,5.91953,0.89563,-10.6572,-0.71761,5.76752,-6.81075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-03-11,14:37:47.11,2,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Andrade, Antontio",1000123195,Right,OCC_T,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.79986,-2.525814,-2.683075,2127.060361,227.341476,1:30,5.87416,0.86786,4.70686,-23.59025,14.77099,14.5532,1.50672,-0.4679,79.61326,-6.864645,-0.128966,0.445777,,,,,,,,,,,,-7.93099,8.39308,-0.6099,50,5.5978,5.25049,-126.9446,-6.49333,-12.83001,28.08319,-18.59654,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,e02b8f80-a18b-11ec-bac1-73ff1e52c188,84.55445,,,8.18659,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:37:47.11,2022-03-11T14:37:47.1151394-08:00,2022-03-11T22:37:47.1151394Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,65a8ed60-5d8e-4d65-8a3d-8ac7ca5b8eb7,55.78954,-128.21899,14.0416,5.87331,-5.64944,-9.29827,-0.86137,5.8327,-6.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-03-11,14:38:03.78,2,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Andrade, Antontio",1000123195,Right,OCC_T,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.89791,-0.641196,-2.683081,2423.074813,90.973362,9:00,5.68817,1.14354,4.93004,-42.29967,1.64799,-3.52461,1.55641,-1.68825,74.18154,-8.312242,-3.304263,0.477133,,,,,,,,,,,,0.86602,1.48362,-0.87913,50,5.59087,5.70632,-118.48063,-2.90634,1.21082,26.09984,-30.09974,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,ea1abe30-a18b-11ec-bac1-73ff1e52c188,78.99779,,,7.71637,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:38:03.78,2022-03-11T14:38:03.7878562-08:00,2022-03-11T22:38:03.7878562Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,3312c7d5-a3dc-4604-b62f-9118071f5690,55.56623,-119.70052,13.04992,5.69383,-1.49949,-15.04987,-1.14452,5.64972,0.60541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-03-11,14:38:23.77,2,4,"Deliyannis, Harry",1000115586,Right,POM_COL,"Andrade, Antontio",1000123195,Right,OCC_T,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.40607,2.134761,0.75406,2979.311019,32.576605,7:00,6.08346,0.81955,4.61339,-59.01834,-10.85036,-7.98359,3.1961,0.87125,71.31473,-8.45398,-0.647482,0.499517,,,,,,,,,,,,4.10166,-5.38776,-0.88936,50,6.24851,-1.14423,-113.56117,1.94272,5.30064,22.81024,-39.13674,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,f604d280-a18b-11ec-bac1-73ff1e52c188,75.4577,,,7.09134,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:38:23.77,2022-03-11T14:38:23.7780000-08:00,2022-03-11T22:38:23.7780000Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,11951455-af74-48cf-837e-386f4b7ba6e7,55.88626,-114.73741,11.40512,6.0963,3.96086,-19.56837,-0.82331,-1.41757,2.65032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.11507,,,1.058643,,,,-0.61343,5.88396,-0.09425,69.98453,4.03607,-54.79406,-0.58592,70.15071,-3.28904,5.93576,13.39173,-14.32953,-0.16471,-57.63406,5.6785,High,High,High,,,High,High,High
9,2022-03-11,14:38:51.01,3,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Solomon, Ari",1000123196,Right,OCC_T,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.27697,0.098449,-2.526499,2189.305569,230.212833,1:45,5.88575,0.9625,4.82953,-23.90856,13.96729,15.12009,3.9867,-0.17169,79.41182,-4.33824,0.131587,0.442948,,,,,,,,,,,,-8.16827,7.22154,-0.72557,50,5.87583,4.89789,-127.70563,-0.66737,-13.30985,29.56428,-20.40682,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,06434cd0-a18c-11ec-bac1-73ff1e52c188,85.09455,,,8.86516,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:38:51.01,2022-03-11T14:38:51.0128930-08:00,2022-03-11T22:38:51.0128930Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,04dd2189-e01e-40be-9c39-a087a5aa61ca,55.66491,-129.01041,14.78214,5.88541,0.23325,-10.20341,-0.9547,5.4853,-6.65492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-03-11,14:39:07.31,3,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Solomon, Ari",1000123196,Right,OCC_T,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.76595,-1.737873,-1.676571,2577.761073,12.806015,6:30,5.7299,1.13219,4.91765,-47.53495,-1.33831,-0.67417,0.12432,-0.5096,72.7723,-10.297304,-1.795746,0.489189,,,,,,,,,,,,-0.20043,0.30902,-0.96802,50,5.52054,3.40863,-115.49381,-5.24518,-0.26684,24.38125,-31.76266,POM_COL,OCC_T,PomonaPitzer,D3,Team,20220311-PomonaPitzer-1,0ffb8d00-a18c-11ec-bac1-73ff1e52c188,77.0509,,,6.99366,,,,,,,8a8acfec-adba-4bd7-aa49-f37197056648,2022-03-11,22:39:07.31,2022-03-11T14:39:07.3170722-08:00,2022-03-11T22:39:07.3170722Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,230c8fd4-eeeb-44bc-9b84-b4aecfffeb5c,55.5808,-116.66599,12.19063,5.73601,-3.71812,-15.88133,-1.1322,3.42146,-0.13342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
