PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-26,15:06:27.07,1,1,"Hilton, Jake",1000115590,Left,POM_COL,"Anderson, Jared",1000121380,Right,RED_UNI,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.78637,-2.502634,1.914612,2029.901738,147.455387,11:00,5.48341,-0.90151,5.85925,-18.82655,21.11666,-12.45453,1.58669,-0.15996,75.74152,-6.131921,-0.318814,0.454876,,,,,,,,,,,,6.98304,12.08851,0.75322,50,5.26948,-3.57738,-122.66256,-5.85433,10.37151,29.9512,-14.21965,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,ba439430-9758-11ec-a966-b1784989f2b6,82.86314,,,9.04485,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:06:27.07,2022-02-26T15:06:27.0724944-08:00,2022-02-26T23:06:27.0724944Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e2693a9c-d1fb-41be-8a50-32eac54360b1,54.63377,-123.78885,14.9756,5.47957,-5.31962,-7.10982,0.89507,-3.96739,5.18575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-02-26,15:06:42.04,1,2,"Hilton, Jake",1000115590,Left,POM_COL,"Anderson, Jared",1000121380,Right,RED_UNI,Undefined,1,Top,0,0,1,Fastball,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.66194,0.383159,0.859426,2171.795883,134.407694,10:30,5.58837,-0.66055,6.20484,-22.36233,16.85623,-15.72064,4.07855,-1.17729,75.9143,-3.90852,-1.978469,0.450731,,,,,,,,,,,,8.3154,8.98859,0.60301,50,5.60591,-1.2026,-122.79402,0.223,12.44245,28.84843,-18.72427,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,c3368890-9758-11ec-a966-b1784989f2b6,83.62516,,,8.74765,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:06:42.04,2022-02-26T15:06:42.0479824-08:00,2022-02-26T23:06:42.0479824Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,c713fba9-3c87-4f40-be49-35b81168f0c3,54.28854,-123.79744,14.42422,5.58683,0.87428,-9.36213,0.65237,-1.63537,6.22122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-02-26,15:06:56.98,1,3,"Hilton, Jake",1000115590,Left,POM_COL,"Anderson, Jared",1000121380,Right,RED_UNI,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.28739,-4.780837,3.018799,2049.327214,133.671211,10:30,5.36282,-0.65412,6.1111,-22.13387,18.00359,-17.19111,-0.91871,0.7072,75.82649,-8.976166,-0.078567,0.455981,,,,,,,,,,,,10.13284,11.46197,0.43195,50,4.98345,-5.78301,-121.73893,-10.8049,14.83895,29.2835,-15.38867,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,cc289290-9758-11ec-a966-b1784989f2b6,82.66237,,,8.4609,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:06:56.98,2022-02-26T15:06:56.9818960-08:00,2022-02-26T23:06:56.9818960Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e2e07ba1-0fef-4199-98d0-32307d837daa,54.38843,-122.79,14.64175,5.36136,-10.25255,-7.69433,0.64908,-6.31562,7.41947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-02-26,15:07:16.08,1,4,"Hilton, Jake",1000115590,Left,POM_COL,"Anderson, Jared",1000121380,Right,RED_UNI,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.62411,-0.993138,2.385355,2065.354846,150.271778,11:00,5.45248,-0.77098,5.92785,-21.01233,19.93796,-10.45233,2.77908,0.57252,74.54898,-5.039079,0.51001,0.460575,83.87677,43.155706,6.885033,,107.35729,94.18988,23.96682,279.26418,,19.816031,5.662007,6.19674,11.01827,0.58615,50,5.3615,-4.62035,-121.0589,-2.65971,8.95056,29.50777,-16.25925,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,d78533f0-9758-11ec-a966-b1784989f2b6,81.83785,110.37046,,9.07513,,,,1.32831,3.62238,-0.59219,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:07:16.08,2022-02-26T15:07:16.0815440-08:00,2022-02-26T23:07:16.0815440Z,FlyBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,03ccb17f-aee2-42b7-b720-bc0aa4e48944,54.56622,-122.16683,14.75388,5.44991,-2.04923,-8.12962,0.76594,-4.95641,4.47528,,1.33177,89.02207,-20.19385,4.57769,-0.52434,-0.06784,0.0355,-0.00487,0.00023,3.61502,84.26823,-18.96766,1.50404,-0.48481,0.14906,-0.02471,0.00191,-6E-05,-0.59256,10.76494,4.83572,-1.73314,0.3549,-0.02962,-0.00321,0.00085,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
5,2022-02-26,15:07:50.77,2,1,"Hilton, Jake",1000115590,Left,POM_COL,"Nakashima, Esteban",1000121379,Right,RED_UNI,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.68549,-2.097916,2.567901,1999.373839,146.118415,10:45,5.43173,-0.8016,6.00952,-21.46623,19.15753,-11.80575,1.69649,0.59514,75.04841,-6.206969,0.446033,0.458735,,,,,,,,,,,,6.89587,10.98823,0.6061,50,5.25525,-4.95464,-121.13382,-5.01571,10.02636,28.39419,-16.19755,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,ec269330-9758-11ec-a966-b1784989f2b6,82.16611,,,8.63708,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:07:50.77,2022-02-26T15:07:50.7740496-08:00,2022-02-26T23:07:50.7740496Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,38cb594d-f95b-4d2a-8350-bda3425dcef5,54.48422,-122.18041,14.19709,5.42913,-4.41867,-8.09878,0.79553,-5.32421,5.01318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-02-26,15:08:07.66,2,2,"Hilton, Jake",1000115590,Left,POM_COL,"Nakashima, Esteban",1000121379,Right,RED_UNI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,73.70324,-0.065466,2.176684,1453.516439,119.055174,10:00,5.12611,-1.02864,6.35574,-39.24006,12.13524,-18.43064,1.7958,-0.56018,66.59791,-7.460761,-1.161414,0.51588,,,,,,,,,,,,10.26863,6.90492,0.87877,50,5.10337,-3.44167,-106.92265,-1.12747,11.67005,21.58166,-24.32677,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,f6420200-9758-11ec-a966-b1784989f2b6,73.06437,,,7.10533,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:08:07.66,2022-02-26T15:08:07.6641616-08:00,2022-02-26T23:08:07.6641616Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,584f7965-9bd8-4095-886a-4ca132cdce5a,54.14007,-107.75506,10.79083,5.12876,-0.18919,-12.16338,1.02019,-3.89178,5.83503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-02-26,15:08:23.51,2,3,"Hilton, Jake",1000115590,Left,POM_COL,"Nakashima, Esteban",1000121379,Right,RED_UNI,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.33222,0.844415,1.042356,1374.285923,107.599142,9:30,4.97935,-0.99849,6.40002,-42.44361,8.25721,-19.92064,2.2191,-1.69988,66.76366,-7.157563,-2.569523,0.512482,,,,,,,,,,,,10.59115,4.63709,0.93135,50,5.02138,-1.26234,-107.81713,0.46647,12.16004,23.04571,-26.85005,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,ffb968a0-9758-11ec-a966-b1784989f2b6,73.54876,,,7.56857,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:08:23.51,2022-02-26T15:08:23.5178832-08:00,2022-02-26T23:08:23.5178832Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,255a3bbe-2f91-4f37-881a-33268355dc65,54.09384,-108.68866,11.52285,4.98454,1.48187,-13.42502,0.98779,-1.7222,6.08002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-02-26,15:08:41.57,2,4,"Hilton, Jake",1000115590,Left,POM_COL,"Nakashima, Esteban",1000121379,Right,RED_UNI,Undefined,1,Top,1,1,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.16697,-2.05007,2.182021,2119.743548,140.47473,10:45,5.53198,-0.94114,5.91882,-20.23312,19.61107,-14.77666,1.94122,-0.14662,75.39256,-5.959008,-0.470474,0.454312,,,,,,,,,,,,8.36221,11.27536,0.77461,50,5.35657,-4.07434,-123.14451,-4.94981,12.39144,32.41811,-15.46574,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,0a70a240-9759-11ec-a966-b1784989f2b6,82.96605,,,9.77441,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:08:41.57,2022-02-26T15:08:41.5743824-08:00,2022-02-26T23:08:41.5743824Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,8e23dc1c-4fdb-4028-93ff-c6bee57ad7c7,54.57394,-124.34279,16.20906,5.52896,-4.37815,-7.73287,0.93367,-4.53237,6.19572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-02-26,15:09:03.19,2,5,"Hilton, Jake",1000115590,Left,POM_COL,"Nakashima, Esteban",1000121379,Right,RED_UNI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.19736,-0.73518,2.51681,2079.165814,140.626583,10:45,5.57258,-0.74099,5.97679,-19.94304,17.98883,-13.65867,3.22845,0.45535,77.84234,-4.545399,0.063898,0.443275,,,,,,,,,,,,7.73367,9.83111,0.54911,50,5.50336,-4.92228,-124.9687,-2.16131,12.08758,27.92226,-16.8082,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,174abbe0-9759-11ec-a966-b1784989f2b6,85.03166,,,8.35502,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:09:03.19,2022-02-26T15:09:03.1910000-08:00,2022-02-26T23:09:03.1910000Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,d61ad848-3cec-4121-828a-8947615405d5,54.51837,-125.97421,13.96113,5.57029,-1.55603,-8.4041,0.73421,-5.35757,6.04379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4318,2.792386,1.689651,1.102734,-1.58295,2.98324,-0.45508,-1.76276,5.74203,-2.12133,72.61625,6.97173,-52.16274,-1.69342,71.37443,-3.58856,5.80255,15.83444,-13.37055,-2.22926,-50.57913,4.7614,High,High,High,,,High,High,High
10,2022-02-26,15:09:34.51,3,1,"Hilton, Jake",1000115590,Left,POM_COL,"Kirkland, Mark",1000055131,Left,RED_UNI,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.51484,-0.230361,2.494425,1876.919141,131.851575,10:30,5.42495,-0.54559,5.95949,-24.48667,14.70536,-14.97017,3.17058,0.52143,76.90049,-4.844993,-0.193565,0.450578,,,,,,,,,,,,8.33674,7.99225,0.35548,50,5.393,-4.73128,-122.63457,-1.22334,12.64344,25.1863,-20.05301,POM_COL,RED_UNI,PomonaPitzer,D3,Team,20220226-PomonaPitzer-2,29fc0af0-9759-11ec-a966-b1784989f2b6,83.65348,,,7.61435,,,,,,,156fa620-b853-40ed-ba0b-4ac3b86927ec,2022-02-26,23:09:34.51,2022-02-26T15:09:34.5176400-08:00,2022-02-26T23:09:34.5176400Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,f6ca25ac-8156-48a2-80c6-bcc597084b84,54.53687,-123.56282,12.59315,5.42447,-0.48428,-10.0265,0.53844,-5.19726,6.32172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
