PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-04-09,13:45:53.58,1,1,"Collins, Ethan",1000115647,Right,POM_COL,"Sherman, Nate",1000126249,Right,WHI_COL1,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.92629,-1.480429,-0.189435,2276.983134,203.928697,12:45,5.80291,0.57707,6.43715,-25.60596,9.59323,3.78945,2.30831,0.71877,80.97692,-6.282321,0.498392,0.42701,,,,,,,,,,,,-2.02831,5.74437,-0.56518,50,5.68616,0.27683,-127.87698,-4.07342,-3.37335,25.28705,-22.62041,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,0c8f1d50-b846-11ec-b537-c76278cba205,88.27068,,,6.94938,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:45:53.58,2022-04-09T13:45:53.5880000-07:00,2022-04-09T20:45:53.5880000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,a838f2a0-a17a-4bea-8dbe-b1c68228fa4b,54.06118,-128.67755,12.64352,5.80379,-3.35727,-11.31021,-0.57564,0.38363,-1.68667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-04-09,13:46:10.19,1,2,"Collins, Ethan",1000115647,Right,POM_COL,"Sherman, Nate",1000126249,Right,WHI_COL1,Undefined,1,Top,0,0,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,87.95988,-0.225204,1.529601,2234.965175,224.601758,1:30,5.84862,0.44935,6.55658,-24.90808,9.86182,8.79276,3.56638,2.58487,81.48775,-4.90252,3.126526,0.424398,,,,,,,,,,,,-4.29819,5.53335,-0.55855,50,5.82225,-3.73564,-128.06552,-1.22789,-7.21529,23.77196,-22.88529,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,167bb3f0-b846-11ec-b537-c76278cba205,88.8139,,,6.47213,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:46:10.19,2022-04-09T13:46:10.1900000-07:00,2022-04-09T20:46:10.1900000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,ae93f2cd-5f01-4f84-bcfd-2120263b3652,53.94471,-128.79567,11.88598,5.84917,-0.52497,-11.44264,-0.44722,-3.51402,-3.60764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-04-09,13:47:01.90,2,1,"Collins, Ethan",1000115647,Right,POM_COL,"Stirton, James",1000126257,Right,WHI_COL1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.42876,-1.075064,-0.751562,2234.607835,187.833507,12:15,5.90657,0.67434,6.23702,-20.66367,14.30036,1.82717,3.1927,0.13328,81.49337,-4.971297,-0.421413,0.425581,68.84041,33.646166,37.060643,4541.751913,80.8281,52.36535,74.61103,214.0765,,48.951917,4.010393,-1.14354,8.02213,-0.61922,50,5.81606,1.61543,-128.61791,-3.02392,-1.92994,24.7996,-18.63516,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,35448ff0-b846-11ec-b537-c76278cba205,88.56703,53.02821,,6.93538,,,,0.02511,3.38345,-0.1351,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:47:01.90,2022-04-09T13:47:01.9070000-07:00,2022-04-09T20:47:01.9070000Z,FlyBall,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,6975c108-c4e6-41bb-aa10-0d9ab2bcb19b,54.26197,-129.43707,12.3998,5.90577,-2.40837,-9.31758,-0.67363,1.67918,-0.96497,,0.02653,67.02995,-14.74798,2.95306,-0.2009,-0.19063,0.07671,-0.01181,0.00069,3.3822,55.97643,-17.58802,1.43321,-0.48092,0.20079,-0.04694,0.00548,-0.00026,-0.13448,50.63588,-3.079,-0.39084,0.43785,-0.20061,0.05375,-0.00728,0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2022-04-09,13:47:36.05,2,2,"Collins, Ethan",1000115647,Right,POM_COL,"Stirton, James",1000126257,Right,WHI_COL1,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.09871,-1.338605,-0.301516,2569.905345,27.253314,7:00,6.09407,0.4136,5.89317,-65.51425,-12.64749,-7.42733,-0.60852,-0.4853,67.47285,-13.228736,-1.644078,0.523314,,,,,,,,,,,,3.76083,-5.71878,-0.38488,50,5.94814,0.80624,-106.18519,-4.42751,4.22678,20.83399,-38.60135,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,49a53cb0-b846-11ec-b537-c76278cba205,72.02638,,,5.62586,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:47:36.05,2022-04-09T13:47:36.0520000-07:00,2022-04-09T20:47:36.0520000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,872fec94-a801-4b02-9af8-abf6d25bd724,54.60967,-107.08581,10.417,6.10346,-2.75884,-19.30067,-0.41578,0.62352,2.11339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-04-09,13:48:06.09,2,3,"Collins, Ethan",1000115647,Right,POM_COL,"Stirton, James",1000126257,Right,WHI_COL1,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.72779,-0.045034,-1.211248,2345.484806,213.001557,1:00,5.96917,0.64901,6.09796,-20.36934,15.21792,9.07465,4.23006,0.2848,80.11678,-3.929811,0.423585,0.429357,,,,,,,,,,,,-4.99965,8.20595,-0.56015,50,5.95496,2.33387,-128.74745,-0.69316,-8.29313,29.6641,-18.56249,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,5b85f550-b846-11ec-b537-c76278cba205,87.7881,,,8.611,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:48:06.09,2022-04-09T13:48:06.0970000-07:00,2022-04-09T20:48:06.0970000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,c64cf160-4ca3-4761-a023-a35c59d69d5b,54.3962,-129.7564,14.83205,5.9678,-0.0618,-9.28125,-0.64432,2.61594,-4.14657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2022-04-09,13:48:28.43,2,4,"Collins, Ethan",1000115647,Right,POM_COL,"Stirton, James",1000126257,Right,WHI_COL1,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,1,,89.34288,-1.880034,-1.25431,2219.263767,223.235726,1:30,5.93925,0.58372,6.594,-20.30407,14.24237,12.22198,2.52368,0.45281,80.69687,-5.772188,0.969501,0.423032,60.01986,-63.485411,-59.390634,,,,,2.1534,,-43.182675,0.031384,-6.81367,8.45575,-0.50256,50,5.80222,2.36165,-129.6962,-4.80238,-11.42409,31.08757,-17.99676,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,68da20f0-b846-11ec-b537-c76278cba205,89.10072,2.48452,,8.64601,,,,0.93906,2.48452,-0.40682,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:48:28.43,2022-04-09T13:48:28.4370000-07:00,2022-04-09T20:48:28.4370000Z,GroundBall,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,91e3285c-3d3c-495a-bf4d-5a0cf72e58f8,53.90247,-130.62825,15.54378,5.93811,-4.26281,-8.99838,-0.5785,2.70416,-5.71204,,0.93856,20.11046,,,,,,,,2.48652,-79.16546,,,,,,,,-0.40596,-33.99225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2022-04-09,13:49:28.35,3,1,"Collins, Ethan",1000115647,Right,POM_COL,"Barrett, Teige",1000126268,Right,WHI_COL1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.68646,-1.851608,-0.783835,2311.528029,210.802567,1:00,5.95849,0.50344,6.50809,-22.18576,13.72934,7.42619,2.40967,0.4029,79.38192,-6.080272,0.565479,0.43133,83.01825,-11.871866,-11.638039,,,,,15.14925,,-12.605496,0.10616,-4.16075,8.16418,-0.45181,50,5.81954,1.46017,-127.32131,-4.72672,-6.73252,29.61971,-18.96365,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,8c90e3d0-b846-11ec-b537-c76278cba205,87.38648,2.66585,,8.30454,,,,2.36355,2.66585,-0.74796,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:49:28.35,2022-04-09T13:49:28.3590000-07:00,2022-04-09T20:49:28.3590000Z,GroundBall,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,cef9a689-161b-4935-9be8-b3acd3016020,53.98936,-128.24602,14.80986,5.95786,-4.13468,-9.48182,-0.50068,1.67035,-3.36626,180,2.35856,116.99788,,,,,,,,2.66693,-25.11158,,,,,,,,-0.74693,-24.09718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
8,2022-04-09,13:50:04.39,4,1,"Collins, Ethan",1000115647,Right,POM_COL,"Berber, Maximus",1000126258,Right,WHI_COL1,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.68662,0.883985,0.077165,2154.118312,218.988086,1:15,6.04385,0.36221,6.44985,-22.81938,12.60241,9.13863,4.95445,1.19466,79.45606,-3.488557,1.734375,0.428358,,,,,,,,,,,,-4.66638,6.65638,-0.37096,50,6.09629,-0.55461,-128.66408,1.34184,-7.66237,31.78422,-21.24398,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,a212df10-b846-11ec-b537-c76278cba205,87.99286,,,9.23056,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:50:04.39,2022-04-09T13:50:04.3950000-07:00,2022-04-09T20:50:04.3950000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,08f5423c-5afd-4261-9229-3bffe7642cc5,54.0425,-129.65886,15.89211,6.04389,2.00673,-10.62199,-0.35735,-0.31479,-3.83118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-04-09,13:50:22.19,4,2,"Collins, Ethan",1000115647,Right,POM_COL,"Berber, Maximus",1000126258,Right,WHI_COL1,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.62807,-0.559786,0.383561,2139.705708,205.339354,12:45,6.0395,0.32518,6.34854,-22.24592,13.23922,5.65843,3.67036,1.14979,79.78961,-4.804432,1.408145,0.428741,,,,,,,,,,,,-2.78193,7.44359,-0.35529,50,5.98847,-1.09615,-128.61182,-1.89388,-4.5802,30.91181,-19.91875,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,aca48f50-b846-11ec-b537-c76278cba205,87.91429,,,8.83846,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:50:22.19,2022-04-09T13:50:22.1920000-07:00,2022-04-09T20:50:22.1920000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,2b1f97bd-d156-4728-a17a-bcae921b7d64,54.14483,-129.60419,15.45591,6.039,-1.25442,-9.95938,-0.32246,-0.9491,-2.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-04-09,13:50:43.40,4,3,"Collins, Ethan",1000115647,Right,POM_COL,"Berber, Maximus",1000126258,Right,WHI_COL1,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.66209,-2.681138,-1.66451,2170.203885,211.829037,1:00,5.94088,0.4124,6.61435,-21.91076,13.15457,7.38544,1.65658,-0.49705,80.27661,-6.855636,-0.320152,0.426197,,,,,,,,,,,,-4.42032,8.1517,-0.30204,50,5.74945,3.45536,-128.62941,-6.62406,-7.29772,30.31525,-18.71598,POM_COL,WHI_COL1,PomonaPitzer,D3,Team,20220409-PomonaPitzer-2,b94a0460-b846-11ec-b537-c76278cba205,88.439,,,8.38547,,,,,,,329b9c4e-0ca6-4f10-b8e7-08c08240eccf,2022-04-09,20:50:43.40,2022-04-09T13:50:43.4090000-07:00,2022-04-09T20:50:43.4090000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,e15e2b36-baaf-4d9a-a978-24168212fe7c,53.8824,-129.54118,15.15763,5.94021,-6.06115,-9.35799,-0.40927,3.67485,-3.64886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
