PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-02-18,14:03:08.33,1,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,87.32628,-3.916312,-1.723505,1962.130424,,,6.67199,0.46544,4.74488,,,,1.12867,1.26349,79.8412,-7.91567,3.410839,0.446875,,,,,,,,,,,,-14.92658,9.72493,-0.3197,50,6.25891,2.44522,-126.34551,-9.45653,-24.02839,26.73323,-16.51915,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,8fe84d00-9106-11ec-8352-43f04b5a8647,84.34672,,,7.48508,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:03:08.33,2022-02-18T14:03:08.3381676-08:00,2022-02-18T22:03:08.3381676Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1a8cd441-dde1-4a88-a6b3-1739750bc218,55.75597,-127.55759,13.36661,6.67069,-8.70755,-8.25958,-0.45527,3.53467,-12.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2022-02-18,14:03:24.40,1,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Morrison, Aidan",1000099654,Right,WHI_PIR,Undefined,1,Top,0,1,0,Fastball,,InPlay,Undefined,Popup,Out,1,0,,86.48137,-2.693937,-2.794455,1957.006697,,,6.49682,0.49399,4.79341,,,,2.75234,-0.88342,78.89319,-5.398338,-0.112462,0.449903,80.91824,69.162335,0.662514,,,,,,,,,-8.32524,13.36564,-0.22938,50,6.21657,5.40832,-125.17953,-6.3355,-13.21235,25.22661,-10.96248,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,997b2ae0-9106-11ec-8352-43f04b5a8647,83.77897,97.09819,,7.58818,,,,1.89566,2.79748,0.88238,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:03:24.40,2022-02-18T14:03:24.4028332-08:00,2022-02-18T22:03:24.4028332Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,e0f281e2-6e80-4e8d-bad3-02e529555e15,55.70538,-126.32407,12.61331,6.49273,-5.83813,-5.48124,-0.48836,6.00777,-6.60617,,1.89568,42.20971,-7.13988,2.45497,1.68078,-3.92962,3.632,-1.68184,0.31289,2.79749,110.91571,-33.30038,4.56874,-0.20579,-1.05296,1.06588,-0.49524,0.09082,0.88239,0.48686,-4.06437,1.02417,0.43213,-1.10553,1.02606,-0.4746,0.08807,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Low,Low,,,
3,2022-02-18,14:04:01.65,2,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,88.04331,-3.951528,-3.460831,2073.994749,,,6.45779,0.48395,4.69605,,,,1.37878,-0.46162,79.79847,-6.922615,1.469678,0.445117,,,,,,,,,,,,-14.77174,12.56839,-0.15943,50,6.04279,6.32916,-127.10937,-9.31178,-23.98749,27.86352,-11.76456,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,afae9bd0-9106-11ec-8352-43f04b5a8647,84.67982,,,8.24484,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:04:01.65,2022-02-18T14:04:01.6501164-08:00,2022-02-18T22:04:01.6501164Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,9642fd26-9a74-4610-9a65-aecb6bedb4f8,55.80288,-128.37511,13.93176,6.45365,-8.77736,-5.88228,-0.47169,7.41882,-11.99374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2022-02-18,14:04:16.45,2,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,1,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,86.6205,-2.929165,-2.432956,1939.102291,,,6.40506,0.59367,4.68525,,,,2.25768,-0.93847,79.35224,-5.97975,-0.793291,0.449402,,,,,,,,,,,,-5.22815,12.2478,-0.35528,50,6.09328,4.88805,-125.38644,-6.96687,-8.35656,24.4007,-12.59746,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,b87ffe70-9106-11ec-8352-43f04b5a8647,83.87247,,,7.26826,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:04:16.45,2022-02-18T14:04:16.4520364-08:00,2022-02-18T22:04:16.4520364Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,aa6c4de3-96df-4db5-b987-f20f53b107db,55.81228,-126.51248,12.20035,6.40137,-6.38553,-6.29873,-0.58975,5.27368,-4.17828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2022-02-18,14:04:38.38,2,3,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,1,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,79.58246,0.939392,-2.119617,2371.895892,,,6.39088,0.75898,4.71682,,,,3.95829,-0.89031,70.43193,-6.392531,-1.355003,0.497391,,,,,,,,,,,,-2.89087,4.11481,-0.54874,50,6.45165,4.04944,-114.79223,0.43455,-3.73017,27.7727,-26.86455,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,c5a8d450-9106-11ec-8352-43f04b5a8647,75.78027,,,9.15053,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:04:38.38,2022-02-18T14:04:38.3812524-08:00,2022-02-18T22:04:38.3812524Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,5f184c36-9421-4df9-bdbf-0bb570b379de,55.77172,-116.18025,13.88635,6.39638,1.77717,-13.43228,-0.75578,4.23587,-1.86509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
6,2022-02-18,14:04:56.48,2,4,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,2,1,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,86.6866,-2.297367,-1.078663,1920.813314,,,6.52183,0.65816,4.70299,,,,2.49632,1.73936,77.42469,-6.42036,3.358584,0.454823,,,,,,,,,,,,-12.62438,9.95926,-0.57262,50,6.27049,1.12671,-125.22845,-5.80184,-19.53128,31.35406,-16.76597,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,d0634240-9106-11ec-8352-43f04b5a8647,82.87275,,,9.26191,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:04:56.48,2022-02-18T14:04:56.4811180-08:00,2022-02-18T22:04:56.4811180Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,1734e6c1-34fd-4262-8ef5-757583058a87,55.79089,-126.67005,15.67703,6.51952,-5.03098,-8.38298,-0.64507,2.02471,-9.76564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2022-02-18,14:05:17.71,2,5,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,3,1,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.66544,-1.111868,-2.634694,1925.377424,,,6.50851,0.59539,5.01426,,,,3.43584,-0.35751,77.62043,-5.639348,0.616739,0.451146,,,,,,,,,,,,-9.92371,8.23052,-0.35807,50,6.38311,4.89709,-125.29622,-3.28492,-15.45901,30.05595,-19.35271,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,dd086930-9106-11ec-8352-43f04b5a8647,83.54813,,,9.04501,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:05:17.71,2022-02-18T14:05:17.7188780-08:00,2022-02-18T22:05:17.7188780Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,f7bfefef-8fcd-4dc2-b101-2e80e5c4c019,55.4797,-126.60386,15.02798,6.50771,-2.44294,-9.67635,-0.58576,5.56967,-7.7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2022-02-18,14:05:36.53,2,6,"Deliyannis, Harry",1000115586,Right,POM_COL,"Warner, Dawson",1000082215,Right,WHI_PIR,Undefined,1,Top,1,3,2,Fastball,,BallCalled,Walk,Undefined,Undefined,0,0,,87.50332,-2.92183,-3.468469,1985.239738,,,6.51298,0.48647,4.72847,,,,2.01379,-1.68322,79.73265,-6.73365,-1.10147,0.44624,,,,,,,,,,,,-7.60583,9.94603,-0.14901,50,6.2001,7.0252,-126.47505,-7.21344,-12.28991,26.37516,-16.10276,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,e83b3b70-9106-11ec-8352-43f04b5a8647,84.46674,,,7.77066,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:05:36.53,2022-02-18T14:05:36.5330348-08:00,2022-02-18T22:05:36.5330348Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,a709aa5c-8c79-4127-b45e-e978231b8469,55.76873,-127.67239,13.18758,6.51097,-6.48243,-8.05138,-0.48059,7.58312,-6.14495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2022-02-18,14:06:06.07,3,1,"Deliyannis, Harry",1000115586,Right,POM_COL,"Sweum, Jaxsen",1000069385,Right,WHI_PIR,Undefined,1,Top,1,0,0,Slider,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.65485,-1.12508,-2.672155,2319.44602,,,6.13428,1.02081,4.92704,,,,1.88802,-0.9928,68.96527,-8.164684,-1.584545,0.508061,,,,,,,,,,,,-4.03559,6.78461,-0.76578,50,5.9941,4.96466,-112.02193,-3.48608,-4.95198,26.70403,-23.84883,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,f9ed9110-9106-11ec-8352-43f04b5a8647,74.18888,,,8.68958,,,,,,,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:06:06.07,2022-02-18T14:06:06.0780460-08:00,2022-02-18T22:06:06.0780460Z,,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,3da0cb90-d536-4476-84d2-3f05534f417c,55.56338,-113.34037,13.35201,6.13715,-2.3086,-11.92442,-1.01694,5.20915,-2.47599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2022-02-18,14:06:31.29,3,2,"Deliyannis, Harry",1000115586,Right,POM_COL,"Sweum, Jaxsen",1000069385,Right,WHI_PIR,Undefined,1,Top,1,0,1,Slider,,InPlay,Undefined,GroundBall,Single,0,0,,79.31512,-0.197762,-2.557216,2357.806635,,,6.11554,0.97941,4.87587,,,,2.65838,-0.99156,71.86557,-7.35319,-1.605966,0.492249,90.08325,-10.29553,-27.164337,,,,,18.84767,,-19.817622,0.123089,-3.49748,4.21788,-0.73287,50,6.06325,4.90169,-114.80023,-1.78459,-4.60604,23.86309,-26.61929,POM_COL,WHI_PIR,PomonaPitzer,D3,Team,20220218-PomonaPitzer-1,08ea8ab0-9107-11ec-8352-43f04b5a8647,76.57194,2.91307,,7.44955,,,,3.46358,2.91307,0.93159,89d54f38-ddb0-4900-b038-8699161bcde2,2022-02-18,22:06:31.29,2022-02-18T14:06:31.2999340-08:00,2022-02-18T22:06:31.2999340Z,GroundBall,v3,POM_PIT,,,"Nishi, Ryan",1000115618,Right,POM_COL,afb6a9e0-b57a-4087-9758-e95e20c3c242,55.62165,-115.96289,11.93155,6.11861,-0.48763,-13.30965,-0.97716,5.1261,-2.30302,,3.45846,115.91471,,,,,,,,2.91411,-23.66631,,,,,,,,0.93422,-59.48089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
